test_loc,test_name,ref_loc,ref_name,method,TSM,MeanOS,MedianOS,std,MeanOS_RAW,MedianOS_RAW,std_RAW
Sets/1/,Alto_Sax_06_HPTSM_138.1_per.wav,Source/Solo/,Alto_Sax_06.wav,HPTSM,138.1,4.2239,4.5016,0.62811,4.1801,4.5019,0.88748
Sets/1/,Alto_Sax_06_HPTSM_78.21_per.wav,Source/Solo/,Alto_Sax_06.wav,HPTSM,78.21,4.6477,4.8447,0.51478,4.5295,4.79,0.72503
Sets/1/,Alto_Sax_06_PV_99.61_per.wav,Source/Solo/,Alto_Sax_06.wav,PV,99.61,4.8056,4.8425,0.34171,4.8655,4.9127,0.14645
Sets/1/,Alto_Sax_07_FESOLA_166.7_per.wav,Source/Solo/,Alto_Sax_07.wav,FESOLA,166.7,4.2412,4.3674,0.56097,4.2241,4.351,0.445
Sets/1/,Alto_Sax_07_WSOLA_53.83_per.wav,Source/Solo/,Alto_Sax_07.wav,WSOLA,53.83,4.1062,4.0651,0.64913,3.9216,4.0289,0.74867
Sets/1/,Alto_Sax_07_WSOLA_65.24_per.wav,Source/Solo/,Alto_Sax_07.wav,WSOLA,65.24,4.4356,4.5392,0.4913,4.4342,4.6641,0.6521
Sets/1/,Alto_Sax_08_FESOLA_38.38_per.wav,Source/Solo/,Alto_Sax_08.wav,FESOLA,38.38,3.2803,3.212,1.0994,3.3351,3.5495,1.354
Sets/1/,Alto_Sax_16_PV_192.4_per.wav,Source/Solo/,Alto_Sax_16.wav,PV,192.4,3.1755,3.0195,0.90493,3.1402,3.0695,1.1727
Sets/1/,Alto_Sax_17_WSOLA_192.4_per.wav,Source/Solo/,Alto_Sax_17.wav,WSOLA,192.4,4.355,4.8321,1.0312,4.1607,4.7954,1.2104
Sets/1/,Ardour_1_PV_IPL_78.21_per.wav,Source/Music/,Ardour_1.wav,IPL,78.21,3.7883,3.9468,0.70144,3.8258,4.0286,0.7244
Sets/1/,Ardour_1_uTVS_38.38_per.wav,Source/Music/,Ardour_1.wav,uTVS,38.38,2.8459,2.795,0.81389,3.0354,3.1516,0.86936
Sets/1/,Ardour_1_uTVS_99.61_per.wav,Source/Music/,Ardour_1.wav,uTVS,99.61,4.6516,4.7892,0.56782,4.5722,4.7231,0.53395
Sets/1/,Ardour_1_WSOLA_166.7_per.wav,Source/Music/,Ardour_1.wav,WSOLA,166.7,4.1016,4.2149,0.49251,4.2591,4.3591,0.58004
Sets/1/,Bass_2_HPTSM_78.21_per.wav,Source/Solo/,Bass_2.wav,HPTSM,78.21,2.5456,2.3401,0.85962,2.57,2.2912,0.84163
Sets/1/,Brass_and_perc_10_FESOLA_38.38_per.wav,Source/Music/,Brass_and_perc_10.wav,FESOLA,38.38,1.2195,1.172,0.19317,1.2718,1.1804,0.26839
Sets/1/,Brass_and_perc_10_PV_166.7_per.wav,Source/Music/,Brass_and_perc_10.wav,PV,166.7,4.4182,4.4278,0.31753,4.1895,4.0422,0.34227
Sets/1/,Brass_and_perc_10_PV_IPL_138.1_per.wav,Source/Music/,Brass_and_perc_10.wav,IPL,138.1,4.4086,4.4369,0.60016,4.6279,4.8111,0.63795
Sets/1/,Brass_and_perc_5_FESOLA_78.21_per.wav,Source/Music/,Brass_and_perc_5.wav,FESOLA,78.21,3.5654,3.8379,0.57163,3.7009,3.9833,0.48734
Sets/1/,Brass_and_perc_5_PV_IPL_82.58_per.wav,Source/Music/,Brass_and_perc_5.wav,IPL,82.58,4.1297,4.2719,0.95743,4.0258,4.0532,0.91691
Sets/1/,Brass_and_perc_6_PV_53.83_per.wav,Source/Music/,Brass_and_perc_6.wav,PV,53.83,2.7961,2.8804,0.59223,2.7965,2.6855,0.76666
Sets/1/,Brass_and_perc_6_uTVS_192.4_per.wav,Source/Music/,Brass_and_perc_6.wav,uTVS,192.4,3.9479,3.9028,0.76934,3.8435,3.7463,0.95521
Sets/1/,C_minor_Aeolian_HPTSM_65.24_per.wav,Source/Music/,C_minor_Aeolian.wav,HPTSM,65.24,2.5501,2.3548,0.74753,2.7557,2.6023,0.71305
