Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-06-20_19-54-46COMB_256_1e-5,4752,MeanOS,0.523038021,0.556936791,0.66764397,0.828515021,0.803140646,0.787293492,799,1.00E-05,0.847466684,0,Relu,645,0.563999235,0.58745294,0.614774124,0.79737008,0.778332333,0.825521535,0.625507109
models/FCN/2020-06-20_19-57-02COMB_256_1e-5,4752,MeanOS,0.544078316,0.564112434,0.614969076,0.811945859,0.802897031,0.821439108,799,1.00E-05,0.839513296,1,Relu,799,0.544078316,0.564112434,0.614969076,0.811945859,0.802897031,0.821439108,0.608767566
models/FCN/2020-06-20_19-59-38COMB_256_1e-5,4752,MeanOS,0.518876829,0.516009358,0.640157805,0.830335152,0.840866173,0.805857561,799,1.00E-05,0.846369115,2,Relu,727,0.536563748,0.526350158,0.619231919,0.81725402,0.834145309,0.817821811,0.59549716
models/FCN/2020-06-20_20-02-15COMB_256_1e-5,4752,MeanOS,0.465324829,0.497793121,0.716427731,0.866722077,0.850051741,0.772899715,799,1.00E-05,0.844847757,3,Relu,494,0.538454813,0.560268469,0.67727287,0.816188335,0.805223358,0.808541498,0.637149193
models/FCN/2020-06-20_20-04-51COMB_256_1e-5,4752,MeanOS,0.475852558,0.521297077,0.748708891,0.86039761,0.83412442,0.74687802,798,1.00E-05,0.838195381,4,Relu,540,0.532175099,0.563968996,0.661800332,0.821353345,0.802717436,0.798043722,0.630734546
models/FCN/2020-06-20_20-07-26COMB_256_1e-5,4752,MeanOS,0.57421823,0.58374688,0.592621574,0.788576636,0.786975979,0.833970172,799,1.00E-05,0.841820897,5,Relu,799,0.57421823,0.58374688,0.592621574,0.788576636,0.786975979,0.833970172,0.617894392
models/FCN/2020-06-20_20-10-08COMB_256_1e-5,4752,MeanOS,0.499990404,0.540270241,0.678248529,0.84393041,0.822232884,0.779913171,799,1.00E-05,0.830485089,6,Relu,612,0.545770043,0.571747857,0.620404743,0.810713728,0.798921554,0.812451659,0.615190958
models/FCN/2020-06-20_20-12-47COMB_256_1e-5,4752,MeanOS,0.454843183,0.496655066,0.714557291,0.874108158,0.840528702,0.764980427,799,1.00E-05,0.842641565,7,Relu,454,0.548932079,0.567846501,0.651693826,0.809795927,0.785197603,0.816976145,0.630467462
models/FCN/2020-06-20_20-15-18COMB_256_1e-5,4752,MeanOS,0.517076547,0.537127666,0.67212523,0.832819755,0.815448144,0.797121051,799,1.00E-05,0.821049716,8,Relu,688,0.539883439,0.555930317,0.647830586,0.816161796,0.800557262,0.815094339,0.620948772
models/FCN/2020-06-20_20-17-58COMB_256_1e-5,4752,MeanOS,0.552080515,0.531853537,0.618351551,0.806567495,0.821532738,0.816904081,799,1.00E-05,0.827242235,9,Relu,799,0.552080515,0.531853537,0.618351551,0.806567495,0.821532738,0.816904081,0.603245782
models/FCN/2020-06-20_20-20-43COMB_256_1e-5,4752,MeanOS,0.53253119,0.550901332,0.644284754,0.819585935,0.825312232,0.805957287,799,1.00E-05,0.833446007,10,Relu,765,0.539407984,0.556956208,0.637085798,0.814386428,0.821092152,0.810433185,0.614523642
models/FCN/2020-06-20_20-23-24COMB_256_1e-5,4752,MeanOS,0.577392187,0.613405819,0.690368945,0.784944151,0.768395264,0.790686171,799,1.00E-05,0.801140292,11,Relu,799,0.577392187,0.613405819,0.690368945,0.784944151,0.768395264,0.790686171,0.673996144
models/FCN/2020-06-20_20-26-06COMB_256_1e-5,4752,MeanOS,0.456821253,0.463009417,0.630544754,0.871816902,0.876457372,0.808167398,798,1.00E-05,0.859556082,12,Relu,784,0.459778052,0.466661567,0.626101709,0.870083267,0.875624118,0.808646909,0.567482767
models/FCN/2020-06-20_20-28-43COMB_256_1e-5,4752,MeanOS,0.567735278,0.550513321,0.610153998,0.794698301,0.799367511,0.818436925,799,1.00E-05,0.836954767,13,Relu,799,0.567735278,0.550513321,0.610153998,0.794698301,0.799367511,0.818436925,0.611883555
models/FCN/2020-06-20_20-31-26COMB_256_1e-5,4752,MeanOS,0.493225397,0.517104424,0.670312521,0.848925231,0.834399824,0.787455068,799,1.00E-05,0.817943111,14,Relu,743,0.505216396,0.526486924,0.65800851,0.840817723,0.827776906,0.795283006,0.612038745
models/FCN/2020-06-20_20-34-07COMB_256_1e-5,4752,MeanOS,0.52702181,0.564831836,0.668356223,0.825868665,0.793579623,0.796365905,799,1.00E-05,0.845664425,15,Relu,722,0.547427355,0.577302894,0.640943133,0.810694572,0.783020561,0.813373412,0.628591455
models/FCN/2020-06-20_20-36-51COMB_256_1e-5,4752,MeanOS,0.539451906,0.568130668,0.668694082,0.815634138,0.795305842,0.794600793,799,1.00E-05,0.856962814,16,Relu,693,0.560763095,0.588885392,0.623868068,0.799061853,0.778012624,0.824008728,0.628838719
models/FCN/2020-06-20_20-39-32COMB_256_1e-5,4752,MeanOS,0.497789629,0.53342008,0.720610471,0.845707713,0.824210648,0.767480118,799,1.00E-05,0.826697896,17,Relu,613,0.541735149,0.564446056,0.668710191,0.813956911,0.801066611,0.805347689,0.635330919
models/FCN/2020-06-20_20-42-15COMB_256_1e-5,4752,MeanOS,0.50870796,0.531933729,0.632964411,0.838520681,0.8212022,0.810814446,799,1.00E-05,0.842589802,18,Relu,737,0.526442548,0.543469884,0.608072422,0.825806199,0.812485649,0.824437952,0.593095486
models/FCN/2020-06-20_20-44-57COMB_256_1e-5,4752,MeanOS,0.485816798,0.539755058,0.7238417,0.852100383,0.834708087,0.773962573,799,1.00E-05,0.834231606,19,Relu,593,0.542606111,0.57862618,0.666531722,0.811042794,0.807628903,0.814084919,0.6373956
models/FCN/2020-06-20_20-47-33COMB_256_1e-5,4752,MeanOS,0.512534376,0.537942094,0.704506867,0.83562276,0.818690123,0.768030583,799,1.00E-05,0.820357219,20,Relu,597,0.555975527,0.572586228,0.622413686,0.803354903,0.79163343,0.816423514,0.619821498
models/FCN/2020-06-20_20-50-11COMB_256_1e-5,4752,MeanOS,0.455365287,0.50040301,0.687824424,0.873879662,0.838571384,0.786300903,799,1.00E-05,0.842414502,21,Relu,694,0.476376923,0.514495607,0.673318656,0.860924234,0.828902672,0.793801563,0.616963474
models/FCN/2020-06-20_20-52-48COMB_256_1e-5,4752,MeanOS,0.459701291,0.528672953,0.73308643,0.871136016,0.817777855,0.760805906,799,1.00E-05,0.845827125,22,Relu,367,0.580216168,0.597552689,0.665064821,0.785507323,0.759405439,0.824351195,0.657995198
models/FCN/2020-06-20_20-55-26COMB_256_1e-5,4752,MeanOS,0.496188785,0.52666133,0.723278196,0.846580531,0.830595078,0.76590241,799,1.00E-05,0.830208482,23,Relu,652,0.530390735,0.552275636,0.689906925,0.822233868,0.811851665,0.794996011,0.641495632
models/FCN/2020-06-20_20-58-04COMB_256_1e-5,4752,MeanOS,0.499783706,0.528158857,0.646951427,0.843797287,0.832144246,0.812475407,799,1.00E-05,0.846502552,24,Relu,796,0.500380013,0.52867605,0.646366809,0.843388992,0.831789699,0.812823389,0.602716193
models/FCN/2020-06-20_21-00-51COMB_256_1e-5,4752,MeanOS,0.556985734,0.548178068,0.691759538,0.804396231,0.792205673,0.794685642,799,1.00E-05,0.843429897,25,Relu,658,0.5821369,0.561441282,0.651649443,0.784378272,0.781112574,0.822858964,0.639954915
models/FCN/2020-06-20_21-03-33COMB_256_1e-5,4752,MeanOS,0.467847042,0.518637951,0.800870953,0.866216573,0.825666217,0.700043724,799,1.00E-05,0.834988847,26,Relu,362,0.586327761,0.615286434,0.684913177,0.779928604,0.744129552,0.803828122,0.677435476
models/FCN/2020-06-20_21-06-11COMB_256_1e-5,4752,MeanOS,0.533740822,0.527917263,0.581523414,0.820111511,0.8287411,0.83840183,799,1.00E-05,0.850217409,27,Relu,799,0.533740822,0.527917263,0.581523414,0.820111511,0.8287411,0.83840183,0.576563271
models/FCN/2020-06-20_21-08-58COMB_256_1e-5,4752,MeanOS,0.523020633,0.559417375,0.691511033,0.827562466,0.806484657,0.789248519,799,1.00E-05,0.83154199,28,Relu,673,0.548375207,0.577240376,0.659016951,0.808615328,0.792919647,0.810822869,0.636247302
models/FCN/2020-06-20_21-11-43COMB_256_1e-5,4752,MeanOS,0.498201166,0.536712183,0.61731417,0.846578416,0.805844062,0.809498862,799,1.00E-05,0.851502294,29,Relu,712,0.516187912,0.545134378,0.597676748,0.83419456,0.798907583,0.822434596,0.588754661
models/FCN/2020-06-20_21-14-26COMB_256_1e-5,4752,MeanOS,0.548920408,0.550302983,0.620537242,0.809007625,0.808407142,0.823225615,799,1.00E-05,0.839180688,30,Relu,793,0.550092866,0.550963427,0.618813408,0.808106345,0.807928136,0.824332262,0.607002256
models/FCN/2020-06-20_21-17-11COMB_256_1e-5,4752,MeanOS,0.525332053,0.506170196,0.667294527,0.82560361,0.85020845,0.804407577,799,1.00E-05,0.816366633,31,Relu,799,0.525332053,0.506170196,0.667294527,0.82560361,0.85020845,0.804407577,0.615414137
models/FCN/2020-06-20_21-19-55COMB_256_1e-5,4752,MeanOS,0.538722513,0.534038148,0.583974473,0.817456357,0.815130578,0.841814901,799,1.00E-05,0.843660238,32,Relu,799,0.538722513,0.534038148,0.583974473,0.817456357,0.815130578,0.841814901,0.5821298
models/FCN/2020-06-20_21-22-41COMB_256_1e-5,4752,MeanOS,0.564182335,0.576707114,0.57241118,0.795890066,0.796211765,0.844246346,799,1.00E-05,0.847133844,33,Relu,799,0.564182335,0.576707114,0.57241118,0.795890066,0.796211765,0.844246346,0.603283536
models/FCN/2020-06-20_21-25-24COMB_256_1e-5,4752,MeanOS,0.516269412,0.530608466,0.6672049,0.833073688,0.822046564,0.794618033,799,1.00E-05,0.829465216,34,Relu,799,0.516269412,0.530608466,0.6672049,0.833073688,0.822046564,0.794618033,0.619965139
models/FCN/2020-06-20_21-28-08COMB_256_1e-5,4752,MeanOS,0.532524417,0.520014495,0.647219392,0.820996991,0.835548599,0.79752611,799,1.00E-05,0.82097298,35,Relu,799,0.532524417,0.520014495,0.647219392,0.820996991,0.835548599,0.79752611,0.609722812
models/FCN/2020-06-20_21-30-50COMB_256_1e-5,4752,MeanOS,0.490455776,0.487295282,0.688339439,0.852642625,0.838738589,0.768539466,799,1.00E-05,0.834262564,36,Relu,495,0.570856179,0.544254273,0.627043979,0.793589058,0.793354918,0.813810732,0.620004495
models/FCN/2020-06-20_21-33-29COMB_256_1e-5,4752,MeanOS,0.498841039,0.524005322,0.688255475,0.84621732,0.817098535,0.782822544,799,1.00E-05,0.845399457,37,Relu,580,0.553037994,0.567272183,0.607603861,0.807302744,0.781291247,0.830241706,0.612082157
models/FCN/2020-06-20_21-36-18COMB_256_1e-5,4752,MeanOS,0.509349454,0.511365286,0.739399946,0.838283695,0.834649738,0.750020439,799,1.00E-05,0.803958989,38,Relu,599,0.551224208,0.538108681,0.705499136,0.807407365,0.815503166,0.774110704,0.654268165
models/FCN/2020-06-20_21-38-59COMB_256_1e-5,4752,MeanOS,0.539274618,0.539063785,0.658204099,0.817200166,0.809695267,0.811827242,799,1.00E-05,0.837024539,39,Relu,790,0.540838367,0.540217102,0.656291712,0.816020215,0.808790081,0.812985235,0.619693419
models/FCN/2020-06-20_21-41-45COMB_256_1e-5,4752,MeanOS,0.499218452,0.560877032,0.648132425,0.845094523,0.797410513,0.82777144,799,1.00E-05,0.852501724,40,Relu,784,0.502609055,0.563476218,0.643848238,0.842790224,0.795281482,0.830106287,0.615228733
models/FCN/2020-06-20_21-44-36COMB_256_1e-5,4752,MeanOS,0.550659068,0.573129693,0.723383795,0.806412726,0.802427163,0.775891091,799,1.00E-05,0.845887112,41,Relu,650,0.584899547,0.606758873,0.644203316,0.778924579,0.775623209,0.827697641,0.650475653
models/FCN/2020-06-20_21-47-18COMB_256_1e-5,4752,MeanOS,0.506801372,0.530542104,0.698130681,0.840451829,0.815046667,0.774987769,799,1.00E-05,0.826047027,42,Relu,613,0.544697395,0.55539791,0.648485453,0.813235137,0.79500074,0.806854476,0.623573398
models/FCN/2020-06-20_21-50-04COMB_256_1e-5,4752,MeanOS,0.531143423,0.537672222,0.684936511,0.823312895,0.805164343,0.806879198,799,1.00E-05,0.849182909,43,Relu,623,0.56733558,0.56515119,0.626207938,0.795521541,0.781792697,0.838274034,0.623325023
models/FCN/2020-06-20_21-52-49COMB_256_1e-5,4752,MeanOS,0.513862848,0.529480769,0.645137673,0.834789164,0.825857209,0.804770074,799,1.00E-05,0.837682148,44,Relu,798,0.514072342,0.52961367,0.645018305,0.834636851,0.82576159,0.804878191,0.605524856
models/FCN/2020-06-20_21-55-35COMB_256_1e-5,4752,MeanOS,0.51982186,0.544206054,0.621272078,0.830554113,0.812431931,0.820239917,799,1.00E-05,0.842626208,45,Relu,798,0.520020766,0.544267079,0.621124907,0.830414057,0.812390278,0.820334698,0.59849422
models/FCN/2020-06-20_21-58-27COMB_256_1e-5,4752,MeanOS,0.544879664,0.533821916,0.61666235,0.811678663,0.824757214,0.829145897,799,1.00E-05,0.854247903,46,Relu,772,0.550222277,0.537970707,0.608593354,0.807537023,0.821803346,0.833568562,0.598009428
models/FCN/2020-06-20_22-01-14COMB_256_1e-5,4752,MeanOS,0.459419096,0.513264076,0.706406213,0.870059517,0.844621091,0.76499558,799,1.00E-05,0.836056945,47,Relu,455,0.535524837,0.561758469,0.638772258,0.817879227,0.811019973,0.810698144,0.61683281
models/FCN/2020-06-20_22-03-56COMB_256_1e-5,4752,MeanOS,0.533128859,0.536447353,0.580028244,0.82299441,0.802758142,0.831568648,799,1.00E-05,0.837467645,48,Relu,799,0.533128859,0.536447353,0.580028244,0.82299441,0.802758142,0.831568648,0.581469548
models/FCN/2020-06-20_22-06-41COMB_256_1e-5,4752,MeanOS,0.515855208,0.532592982,0.697680492,0.833106529,0.822546181,0.78021571,799,1.00E-05,0.84802982,49,Relu,620,0.556821122,0.577759821,0.620984126,0.802348656,0.786794756,0.827647567,0.621308124
models/FCN/2020-06-20_22-09-23COMB_256_1e-5,4752,MeanOS,0.476685255,0.540090394,0.740768301,0.858986709,0.828114644,0.755215964,799,1.00E-05,0.813645061,50,Relu,411,0.584004456,0.625620681,0.678431179,0.780310891,0.76214036,0.798634637,0.674220422
models/FCN/2020-06-20_22-11-57COMB_256_1e-5,4752,MeanOS,0.525303639,0.531049026,0.611321066,0.824980104,0.836621394,0.828779974,799,1.00E-05,0.833926436,51,Relu,799,0.525303639,0.531049026,0.611321066,0.824980104,0.836621394,0.828779974,0.587712834
models/FCN/2020-06-20_22-14-43COMB_256_1e-5,4752,MeanOS,0.485822561,0.510542583,0.728504736,0.853872335,0.836432141,0.752908508,799,1.00E-05,0.835537338,52,Relu,489,0.571068543,0.579692011,0.619046857,0.791333129,0.783047725,0.823510513,0.626294702
