Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-06-20_22-11-13COMBINATION_SOURCE,4831,MeanOS,0.396722032,0.478197078,0.957610733,0.908385063,0.863204453,0.616779476,595,0.0001,0.841579197,0,Relu,88,0.610616188,0.608607601,0.641360808,0.764715842,0.768492146,0.830335654,0.659567226
models/FCN/2020-06-20_22-18-49COMBINATION_SOURCE,4831,MeanOS,0.429721654,0.487363872,0.751441492,0.891615025,0.868809884,0.767006271,624,0.0001,0.826718751,1,Relu,423,0.492698559,0.507389998,0.686468474,0.853050646,0.859882689,0.792096117,0.620819052
models/FCN/2020-06-20_22-27-03COMBINATION_SOURCE,4831,MeanOS,0.412372903,0.495628324,1.054400653,0.90062871,0.855444145,0.517188242,682,0.0001,0.818509367,2,Relu,189,0.59881952,0.579531779,0.675931128,0.774963755,0.798647725,0.80840533,0.659458288
models/FCN/2020-06-20_22-35-21COMBINATION_SOURCE,4831,MeanOS,0.41566465,0.476385865,0.675472714,0.900314763,0.849419794,0.791319766,481,0.0001,0.849443213,3,Relu,179,0.535562657,0.523404887,0.61807377,0.826948245,0.819360334,0.817013589,0.594608995
models/FCN/2020-06-20_22-43-40COMBINATION_SOURCE,4831,MeanOS,0.384025411,0.452328674,0.912438821,0.915273489,0.866415471,0.658134963,642,0.0001,0.862346458,4,Relu,176,0.541096926,0.548734944,0.605083595,0.822649174,0.798550132,0.845254448,0.597577546
models/FCN/2020-06-20_22-52-13COMBINATION_SOURCE,4831,MeanOS,0.43602168,0.501478567,0.935792868,0.889632379,0.839927394,0.629602061,529,0.0001,0.820007571,5,Relu,168,0.593546375,0.560377195,0.670570593,0.78126249,0.792892614,0.817081656,0.651511236
models/FCN/2020-06-20_23-00-38COMBINATION_SOURCE,4831,MeanOS,0.386254293,0.457013719,0.824796608,0.913550792,0.873156334,0.685482684,722,0.0001,0.839911428,6,Relu,146,0.55365493,0.561249,0.64278613,0.812429251,0.801710613,0.805825164,0.623471309
models/FCN/2020-06-20_23-09-06COMBINATION_SOURCE,4831,MeanOS,0.393575236,0.487239566,0.842428004,0.910389873,0.860736033,0.686770517,773,0.0001,0.854143078,7,Relu,198,0.546644099,0.571385084,0.593660692,0.816016061,0.802672367,0.842488534,0.60132959
models/FCN/2020-06-20_23-17-42COMBINATION_SOURCE,4831,MeanOS,0.392983643,0.492911,0.811270437,0.910379117,0.853661082,0.710732984,792,0.0001,0.841851694,8,Relu,219,0.559159404,0.596078928,0.622432782,0.80718068,0.776115131,0.821588657,0.629719456
models/FCN/2020-06-20_23-26-32COMBINATION_SOURCE,4831,MeanOS,0.380541544,0.492284412,0.879317012,0.915574306,0.856884375,0.671448298,798,0.0001,0.826544808,9,Relu,188,0.58280303,0.600653454,0.681845502,0.787641959,0.777439905,0.815941919,0.663669044
models/FCN/2020-06-20_23-35-19COMBINATION_SOURCE,4831,MeanOS,0.39441586,0.503159732,0.884264187,0.910121138,0.835252819,0.651453017,625,0.0001,0.820257073,10,Relu,261,0.521717851,0.556488665,0.682710722,0.835900098,0.79389351,0.79545738,0.639471594
models/FCN/2020-06-20_23-44-07COMBINATION_SOURCE,4831,MeanOS,0.384159083,0.508353109,0.82850975,0.915545915,0.840679243,0.696108408,793,0.0001,0.854163048,11,Relu,168,0.560589499,0.600073266,0.605175761,0.806515168,0.767387901,0.84302308,0.626058069
models/FCN/2020-06-20_23-52-53COMBINATION_SOURCE,4831,MeanOS,0.415073391,0.468214332,0.829144267,0.900319324,0.864362257,0.69969308,599,0.0001,0.845887373,12,Relu,223,0.542849125,0.531514503,0.594471982,0.820962087,0.825609953,0.837720984,0.585867498
models/FCN/2020-06-21_00-01-39COMBINATION_SOURCE,4831,MeanOS,0.370545408,0.489912752,1.080527744,0.919947172,0.865176146,0.497558761,707,0.0001,0.842925234,13,Relu,162,0.579378655,0.600533556,0.65457629,0.789574241,0.78987432,0.826585745,0.648190998
models/FCN/2020-06-21_00-10-21COMBINATION_SOURCE,4831,MeanOS,0.412064069,0.485867768,0.862039039,0.902547648,0.84183846,0.681247622,770,0.0001,0.817312535,14,Relu,175,0.576868802,0.580030551,0.649931508,0.79586616,0.762356414,0.811253404,0.643925459
models/FCN/2020-06-21_00-19-09COMBINATION_SOURCE,4831,MeanOS,0.424329174,0.479264836,0.774713186,0.894280377,0.862810676,0.728784421,605,0.0001,0.843981874,15,Relu,239,0.55371991,0.542635504,0.662566606,0.811418154,0.82139211,0.806802877,0.627092669
models/FCN/2020-06-21_00-27-48COMBINATION_SOURCE,4831,MeanOS,0.365503511,0.479358659,0.844928403,0.924011181,0.860965674,0.690895778,770,0.0001,0.857609714,16,Relu,162,0.554787722,0.566294295,0.595737166,0.810889947,0.799900767,0.84734371,0.603364237
models/FCN/2020-06-21_00-36-28COMBINATION_SOURCE,4831,MeanOS,0.416093248,0.501481632,0.846785607,0.90040789,0.841627284,0.709100815,669,0.0001,0.859890781,17,Relu,189,0.551850432,0.599170285,0.623408252,0.81540146,0.77391978,0.823312091,0.629076825
models/FCN/2020-06-21_00-45-19COMBINATION_SOURCE,4831,MeanOS,0.418293868,0.477830709,0.951165754,0.898506489,0.854874622,0.615204228,621,0.0001,0.856393903,18,Relu,194,0.560086377,0.558255765,0.624565624,0.80787371,0.797501619,0.836964753,0.614844252
models/FCN/2020-06-21_00-54-04COMBINATION_SOURCE,4831,MeanOS,0.404936793,0.505475704,0.840306617,0.905167452,0.838647323,0.686227273,586,0.0001,0.775616073,19,Relu,232,0.536601377,0.566123205,0.72457938,0.825193662,0.793731383,0.769141271,0.671631595
models/FCN/2020-06-21_01-02-52COMBINATION_SOURCE,4831,MeanOS,0.388208982,0.482981587,0.792863463,0.913593559,0.846520345,0.71155549,691,0.0001,0.833372102,20,Relu,136,0.557878584,0.577470683,0.644911217,0.810260008,0.769941728,0.809170216,0.634647425
models/FCN/2020-06-21_01-11-46COMBINATION_SOURCE,4831,MeanOS,0.425643359,0.477265612,0.832834176,0.893214052,0.868571625,0.684808738,688,0.0001,0.844561145,21,Relu,175,0.597185244,0.554047675,0.634047435,0.775382947,0.8220497,0.841189728,0.632362873
models/FCN/2020-06-21_01-20-41COMBINATION_SOURCE,4831,MeanOS,0.382695849,0.467516912,0.85785241,0.915329267,0.863210663,0.687528559,613,0.0001,0.855569651,22,Relu,222,0.551265386,0.553992903,0.599590395,0.814173998,0.800735782,0.845189963,0.599704061
