Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-06-20_22-15-04COMBINATION_SOURCE,4831,MeanOS_RAW,0.414669585,0.482941376,0.905758475,0.888224122,0.842599346,0.617190385,531,0.0001,0.83990738,0,Relu,88,0.592686106,0.59825751,0.6115877,0.751278378,0.745606218,0.829706448,0.647170752
models/FCN/2020-06-20_22-22-52COMBINATION_SOURCE,4831,MeanOS_RAW,0.417884873,0.474029984,0.746925304,0.885410923,0.858221541,0.746843968,689,0.0001,0.822094961,1,Relu,460,0.48107867,0.49628433,0.679201053,0.843833505,0.846274791,0.773104432,0.617684067
models/FCN/2020-06-20_22-31-09COMBINATION_SOURCE,4831,MeanOS_RAW,0.400796977,0.492133296,1.185423049,0.894801465,0.840129088,0.342471696,799,0.0001,0.816128634,2,Relu,201,0.580468698,0.562376637,0.651635602,0.762501832,0.786618041,0.80392216,0.643416376
models/FCN/2020-06-20_22-39-34COMBINATION_SOURCE,4831,MeanOS_RAW,0.427615287,0.482200177,0.662464283,0.881141234,0.824762163,0.779064105,449,0.0001,0.850219912,3,Relu,194,0.522685949,0.51755756,0.581932306,0.816300961,0.804390275,0.811930491,0.576574774
models/FCN/2020-06-20_22-47-52COMBINATION_SOURCE,4831,MeanOS_RAW,0.375713812,0.442079885,0.990743237,0.90973886,0.856498876,0.549795127,751,0.0001,0.859993919,4,Relu,199,0.520130764,0.534120355,0.597282433,0.818035648,0.788207863,0.818152893,0.58883353
models/FCN/2020-06-20_22-56-31COMBINATION_SOURCE,4831,MeanOS_RAW,0.431950708,0.497076662,0.947442556,0.878396504,0.824405492,0.564242678,520,0.0001,0.810351251,5,Relu,174,0.576863076,0.552826613,0.661348975,0.76797243,0.774714026,0.80515986,0.645631818
models/FCN/2020-06-20_23-04-53COMBINATION_SOURCE,4831,MeanOS_RAW,0.385519378,0.44859311,0.844862778,0.903746515,0.861225329,0.62979637,772,0.0001,0.836747559,6,Relu,156,0.534040237,0.538290226,0.616634441,0.805230327,0.792714522,0.798042939,0.603714358
models/FCN/2020-06-20_23-13-29COMBINATION_SOURCE,4831,MeanOS_RAW,0.411344213,0.498949803,0.774097843,0.889167963,0.835304279,0.707622929,646,0.0001,0.854214704,7,Relu,247,0.516286443,0.549443613,0.592240627,0.819448855,0.796132164,0.817465812,0.589455213
models/FCN/2020-06-20_23-22-07COMBINATION_SOURCE,4831,MeanOS_RAW,0.404656073,0.496213263,0.765660928,0.893169085,0.830711058,0.717115288,738,0.0001,0.841942628,8,Relu,232,0.542709199,0.579673825,0.596213462,0.796876003,0.758895153,0.817062047,0.614918867
models/FCN/2020-06-20_23-30-57COMBINATION_SOURCE,4831,MeanOS_RAW,0.408089017,0.492289314,0.923366965,0.890112064,0.841273867,0.5887401,671,0.0001,0.8242733,9,Relu,189,0.572518433,0.58770259,0.646490427,0.768997827,0.765066063,0.815601304,0.646303388
models/FCN/2020-06-20_23-39-43COMBINATION_SOURCE,4831,MeanOS_RAW,0.392969641,0.504263794,1.002508059,0.900803716,0.815070618,0.500254923,641,0.0001,0.818465628,10,Relu,211,0.550861642,0.576364762,0.652222457,0.791120073,0.74948353,0.80365617,0.642504795
models/FCN/2020-06-20_23-48-27COMBINATION_SOURCE,4831,MeanOS_RAW,0.390389366,0.487508577,0.802863421,0.901765255,0.833013972,0.690529008,799,0.0001,0.855395331,11,Relu,194,0.538629415,0.566789377,0.573930072,0.803189083,0.765716573,0.82941957,0.599069929
models/FCN/2020-06-20_23-57-13COMBINATION_SOURCE,4831,MeanOS_RAW,0.419322349,0.477592551,0.793646208,0.885778801,0.843042574,0.703456762,612,0.0001,0.843423456,12,Relu,238,0.528910495,0.527837973,0.577153188,0.809478854,0.809863976,0.825754602,0.577525709
models/FCN/2020-06-21_00-05-53COMBINATION_SOURCE,4831,MeanOS_RAW,0.405040625,0.494489982,0.94116611,0.89211225,0.844313884,0.575122087,582,0.0001,0.842592095,13,Relu,155,0.573960318,0.582259296,0.612743279,0.767433946,0.776781117,0.832356728,0.629758703
models/FCN/2020-06-21_00-14-42COMBINATION_SOURCE,4831,MeanOS_RAW,0.431266813,0.496870023,0.796985507,0.878729211,0.814025889,0.697523203,618,0.0001,0.813707889,14,Relu,262,0.523264728,0.538207551,0.66185094,0.815062237,0.776538686,0.775380192,0.628718543
models/FCN/2020-06-21_00-23-27COMBINATION_SOURCE,4831,MeanOS_RAW,0.427918861,0.475737938,0.740588486,0.879928266,0.847612583,0.72535607,616,0.0001,0.840703312,15,Relu,247,0.542251688,0.534533349,0.643611424,0.797032211,0.804279288,0.798410199,0.617130721
models/FCN/2020-06-21_00-32-07COMBINATION_SOURCE,4831,MeanOS_RAW,0.378997978,0.493869232,0.771486712,0.908075342,0.833983136,0.714507825,708,0.0001,0.856031168,16,Relu,164,0.545997876,0.558331358,0.578452722,0.79448992,0.781381405,0.837960286,0.59755417
models/FCN/2020-06-21_00-40-52COMBINATION_SOURCE,4831,MeanOS_RAW,0.410913806,0.510101457,0.84678296,0.890650561,0.813828459,0.673357107,693,0.0001,0.857125915,17,Relu,203,0.532924555,0.587708281,0.61990616,0.806642582,0.749715035,0.808523361,0.626460084
models/FCN/2020-06-21_00-49-39COMBINATION_SOURCE,4831,MeanOS_RAW,0.428273387,0.48001563,0.878003916,0.880410868,0.834378078,0.630734385,561,0.0001,0.854755491,18,Relu,197,0.549169132,0.548000479,0.596493755,0.792688922,0.778688116,0.837895367,0.602786913
models/FCN/2020-06-21_00-58-31COMBINATION_SOURCE,4831,MeanOS_RAW,0.418036801,0.511331076,0.791118302,0.885881586,0.816135398,0.700939692,549,0.0001,0.774940901,19,Relu,252,0.52004529,0.550470111,0.686583732,0.816093532,0.782947373,0.767444829,0.646327525
models/FCN/2020-06-21_01-07-18COMBINATION_SOURCE,4831,MeanOS_RAW,0.39077288,0.474050896,0.729259727,0.902725923,0.831173635,0.720634532,737,0.0001,0.830032543,20,Relu,123,0.558771449,0.56896213,0.601799064,0.785418576,0.74193107,0.817982579,0.622592244
models/FCN/2020-06-21_01-16-12COMBINATION_SOURCE,4831,MeanOS_RAW,0.466467803,0.484664747,0.770577812,0.854465982,0.842794551,0.688754247,492,0.0001,0.843379263,21,Relu,202,0.568778776,0.523735612,0.618996721,0.773371246,0.815959064,0.825811642,0.612621986
models/FCN/2020-06-21_01-25-09COMBINATION_SOURCE,4831,MeanOS_RAW,0.393125739,0.467699772,0.851053272,0.899480693,0.848458771,0.649097634,579,0.0001,0.852022842,22,Relu,258,0.517603476,0.530451091,0.603096003,0.817818562,0.799755691,0.816530331,0.588335976
models/FCN/2020-06-21_01-34-10COMBINATION_SOURCE,4831,MeanOS_RAW,0.409557729,0.513952331,0.764130436,0.888814526,0.837351937,0.711340324,786,0.0001,0.840172742,23,Relu,221,0.552569962,0.578851732,0.597503361,0.785077121,0.787975886,0.825739605,0.613159776
models/FCN/2020-06-21_01-43-11COMBINATION_SOURCE,4831,MeanOS_RAW,0.416333036,0.486982237,0.861895836,0.886987012,0.831657396,0.633899016,681,0.0001,0.821234917,24,Relu,150,0.576947336,0.590828938,0.669832292,0.76776538,0.736772325,0.793218489,0.664686699
models/FCN/2020-06-21_01-52-04COMBINATION_SOURCE,4831,MeanOS_RAW,0.401618979,0.473910465,0.845252109,0.895399318,0.841931143,0.639834219,650,0.0001,0.816519743,25,Relu,129,0.561189443,0.581924056,0.621510097,0.782090296,0.75056489,0.805572002,0.633492871
models/FCN/2020-06-21_02-00-59COMBINATION_SOURCE,4831,MeanOS_RAW,0.393874002,0.468923674,0.963044839,0.898660002,0.860378339,0.543195132,708,0.0001,0.824028034,26,Relu,189,0.568692562,0.575247255,0.616809898,0.771998966,0.782583142,0.817350282,0.626636228
models/FCN/2020-06-21_02-09-54COMBINATION_SOURCE,4831,MeanOS_RAW,0.396849765,0.489992367,0.708804118,0.897102785,0.838320069,0.739268483,738,0.0001,0.800958142,27,Relu,405,0.465095137,0.515290418,0.626290945,0.856252279,0.820049047,0.789605948,0.590714898
models/FCN/2020-06-21_02-18-49COMBINATION_SOURCE,4831,MeanOS_RAW,0.400311755,0.461808412,0.984195455,0.89557407,0.855946986,0.557804973,712,0.0001,0.838589037,28,Relu,220,0.537849664,0.55051387,0.648674605,0.801250978,0.788727223,0.800875562,0.623637336
models/FCN/2020-06-21_02-27-49COMBINATION_SOURCE,4831,MeanOS_RAW,0.403627708,0.475748102,0.790145456,0.894840594,0.840946801,0.667484628,657,0.0001,0.832869441,29,Relu,162,0.57609986,0.55987236,0.613856047,0.768425646,0.7696334,0.825648366,0.625607734
models/FCN/2020-06-21_02-35-50COMBINATION_SOURCE,4831,MeanOS_RAW,0.428627077,0.503289146,0.769142439,0.879657167,0.817165993,0.688194791,553,0.0001,0.818818662,30,Relu,254,0.521889139,0.541305837,0.675375492,0.814976134,0.784535101,0.75975006,0.638804889
models/FCN/2020-06-21_02-43-22COMBINATION_SOURCE,4831,MeanOS_RAW,0.406748548,0.482874001,0.977657818,0.891284851,0.854242277,0.51079551,564,0.0001,0.819629873,31,Relu,176,0.565675001,0.575035456,0.666900414,0.774320529,0.78729275,0.797253919,0.647684856
models/FCN/2020-06-21_02-50-43COMBINATION_SOURCE,4831,MeanOS_RAW,0.402036973,0.455975026,0.888282096,0.894838694,0.857473503,0.598073604,708,0.0001,0.797890424,32,Relu,290,0.51737829,0.523372275,0.649045691,0.817659999,0.809897736,0.768551762,0.614439802
models/FCN/2020-06-21_02-58-17COMBINATION_SOURCE,4831,MeanOS_RAW,0.398916496,0.473499242,0.900907957,0.897234494,0.850087812,0.624023575,728,0.0001,0.852598639,33,Relu,198,0.5472704,0.567692103,0.605035547,0.792670597,0.776898043,0.819420032,0.61264749
models/FCN/2020-06-21_03-05-37COMBINATION_SOURCE,4831,MeanOS_RAW,0.403161497,0.456878186,0.861825642,0.894333229,0.861512782,0.64799882,681,0.0001,0.835679871,34,Relu,194,0.5491863,0.54258644,0.599193439,0.790766881,0.798348613,0.825766816,0.600147525
models/FCN/2020-06-21_03-13-14COMBINATION_SOURCE,4831,MeanOS_RAW,0.416207506,0.481835713,0.890699814,0.888134355,0.82598568,0.613305158,797,0.0001,0.832398483,35,Relu,228,0.559146444,0.549009645,0.613996505,0.785019634,0.76472756,0.818735825,0.617241616
models/FCN/2020-06-21_03-20-56COMBINATION_SOURCE,4831,MeanOS_RAW,0.424155556,0.528656054,0.7731396,0.881038867,0.814167801,0.709818904,564,0.0001,0.820489929,36,Relu,214,0.547781342,0.579816614,0.655980578,0.791512809,0.768418304,0.800040629,0.641625711
models/FCN/2020-06-21_03-28-54COMBINATION_SOURCE,4831,MeanOS_RAW,0.425097853,0.467224592,0.931849178,0.881445857,0.850247657,0.569315718,687,0.0001,0.805638086,37,Relu,211,0.576923253,0.582795943,0.674860771,0.766790957,0.754351631,0.797386508,0.661066484
models/FCN/2020-06-21_03-36-53COMBINATION_SOURCE,4831,MeanOS_RAW,0.424339047,0.506614591,0.856324117,0.882567461,0.811072019,0.654929642,505,0.0001,0.782262768,38,Relu,106,0.589786499,0.590860265,0.699546457,0.756235061,0.728308354,0.776433669,0.683987578
models/FCN/2020-06-21_03-44-52COMBINATION_SOURCE,4831,MeanOS_RAW,0.402089107,0.501242461,0.775855918,0.894427096,0.826707246,0.700420067,762,0.0001,0.847450553,39,Relu,294,0.535111419,0.547242865,0.6053121,0.803510957,0.787245692,0.813635045,0.601256821
models/FCN/2020-06-21_03-52-55COMBINATION_SOURCE,4831,MeanOS_RAW,0.4129224,0.507595275,0.655326704,0.889344232,0.820863084,0.781094082,581,0.0001,0.84114255,40,Relu,249,0.498864029,0.54090086,0.613254144,0.833961895,0.794432516,0.794185782,0.596088238
models/FCN/2020-06-21_04-00-54COMBINATION_SOURCE,4831,MeanOS_RAW,0.392298829,0.476369958,0.870846553,0.899436294,0.856011919,0.650126004,590,0.0001,0.810456967,41,Relu,129,0.563566034,0.563929017,0.700632924,0.777337576,0.794215759,0.771799332,0.662222359
models/FCN/2020-06-21_04-08-51COMBINATION_SOURCE,4831,MeanOS_RAW,0.411348885,0.509333897,0.886531607,0.890104557,0.811095849,0.608353114,655,0.0001,0.830023955,42,Relu,216,0.530820873,0.566016647,0.612945807,0.807858484,0.759780951,0.806065022,0.614374905
models/FCN/2020-06-21_04-16-57COMBINATION_SOURCE,4831,MeanOS_RAW,0.406801132,0.490309651,1.139836212,0.892967659,0.833284562,0.398866039,688,0.0001,0.801791836,43,Relu,123,0.570994858,0.574569858,0.684276942,0.774062798,0.763490949,0.791505902,0.660053909
models/FCN/2020-06-21_04-25-06COMBINATION_SOURCE,4831,MeanOS_RAW,0.400505627,0.505433881,0.840368995,0.896270023,0.819862651,0.640117905,654,0.0001,0.837392571,44,Relu,160,0.54521027,0.583695101,0.611511196,0.795990933,0.750592715,0.815217307,0.624810834
models/FCN/2020-06-21_04-33-29COMBINATION_SOURCE,4831,MeanOS_RAW,0.407980423,0.463541994,0.717507804,0.891210523,0.85593571,0.753876824,791,0.0001,0.860253002,45,Relu,249,0.51460989,0.525931009,0.581817142,0.821234973,0.811801627,0.833194099,0.573655467
models/FCN/2020-06-21_04-42-00COMBINATION_SOURCE,4831,MeanOS_RAW,0.392041649,0.446502044,0.918063181,0.899910162,0.869176809,0.580393814,667,0.0001,0.7563244,46,Relu,184,0.535482906,0.536571849,0.710091314,0.802128239,0.804199974,0.749653869,0.657602891
models/FCN/2020-06-21_04-50-30COMBINATION_SOURCE,4831,MeanOS_RAW,0.400257084,0.499088076,0.817513088,0.895361307,0.829915112,0.666770232,646,0.0001,0.82672832,47,Relu,200,0.56564618,0.585620547,0.637735434,0.776675757,0.755729578,0.807641044,0.641793707
models/FCN/2020-06-21_04-58-43COMBINATION_SOURCE,4831,MeanOS_RAW,0.366959852,0.459913065,0.723087506,0.914306893,0.857852378,0.744992879,718,0.0001,0.845237963,48,Relu,265,0.484306698,0.525837946,0.644815379,0.843283792,0.815228524,0.784648111,0.606609302
models/FCN/2020-06-21_05-07-09COMBINATION_SOURCE,4831,MeanOS_RAW,0.427985617,0.475227179,0.772986818,0.88126287,0.841909641,0.727531249,673,0.0001,0.85541807,49,Relu,218,0.546288845,0.541307512,0.578199195,0.794248464,0.794010915,0.832221592,0.590301862
models/FCN/2020-06-21_05-15-47COMBINATION_SOURCE,4831,MeanOS_RAW,0.417081816,0.493620349,0.752306394,0.886270936,0.834914802,0.742633112,568,0.0001,0.85233612,50,Relu,186,0.524503423,0.540849657,0.599279044,0.814329332,0.799868899,0.833265234,0.590353671
models/FCN/2020-06-21_05-24-16COMBINATION_SOURCE,4831,MeanOS_RAW,0.422325218,0.496684262,0.793909782,0.883827119,0.821124374,0.704543017,798,0.0001,0.847555254,51,Relu,280,0.550857456,0.555532181,0.570100726,0.79097071,0.768897544,0.835668913,0.598094542
models/FCN/2020-06-21_05-32-44COMBINATION_SOURCE,4831,MeanOS_RAW,0.383681206,0.45268584,0.974143924,0.905114308,0.862779546,0.547025495,717,0.0001,0.832221999,52,Relu,101,0.575980141,0.574082453,0.642782777,0.767360291,0.766428676,0.823735841,0.641101787
models/FCN/2020-06-21_05-41-20COMBINATION_SOURCE,4831,MeanOS_RAW,0.390184315,0.50747375,0.731408298,0.902044807,0.813663132,0.727661842,666,0.0001,0.852520503,53,Relu,198,0.538206301,0.565698992,0.56980855,0.801768335,0.761243798,0.830596799,0.598266479
models/FCN/2020-06-21_05-49-54COMBINATION_SOURCE,4831,MeanOS_RAW,0.422226804,0.48288342,0.996568349,0.882678157,0.844924913,0.525411327,687,0.0001,0.856736747,54,Relu,228,0.565198899,0.585599923,0.592424018,0.776316908,0.762542154,0.841335721,0.622319235
models/FCN/2020-06-21_05-58-34COMBINATION_SOURCE,4831,MeanOS_RAW,0.394600763,0.502013904,0.848590099,0.898175795,0.833221463,0.653034551,742,0.0001,0.844095411,55,Relu,231,0.54249962,0.566801403,0.601133989,0.796166149,0.780612141,0.825407111,0.608456283
models/FCN/2020-06-21_06-07-08COMBINATION_SOURCE,4831,MeanOS_RAW,0.412805594,0.485132573,0.707774448,0.889262793,0.829749844,0.744523985,665,0.0001,0.822752296,56,Relu,588,0.428308118,0.490513476,0.686117648,0.880272265,0.827023471,0.752282323,0.633641194
models/FCN/2020-06-21_06-15-41COMBINATION_SOURCE,4831,MeanOS_RAW,0.404969127,0.483931131,0.831294357,0.893290345,0.841803302,0.671388724,555,0.0001,0.848039708,57,Relu,158,0.524978445,0.536700423,0.61116483,0.812201727,0.807541961,0.817888139,0.594650245
models/FCN/2020-06-21_06-24-24COMBINATION_SOURCE,4831,MeanOS_RAW,0.397326693,0.490632661,0.875813335,0.897720248,0.831445036,0.631660979,693,0.0001,0.832472695,58,Relu,251,0.559013271,0.561104689,0.591754105,0.783070917,0.773361626,0.814410689,0.61020553
