Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-06-20_09-22-03TO_TEST,4752,MeanOS_RAW,0.399601644,0.485268405,0.698136868,0.89102961,0.842757947,0.739675539,679,0.0001,0.833073544,0,Relu,281,0.503272202,0.531893648,0.571441353,0.820017207,0.807568724,0.81698045,0.570858144
models/FCN/2020-06-20_09-25-42TO_TEST,4752,MeanOS_RAW,0.382034862,0.496324885,0.856590646,0.90077771,0.836023757,0.637385133,768,0.0001,0.819708787,1,Relu,265,0.504452798,0.563848926,0.622663847,0.819314406,0.783185535,0.80786735,0.609603115
models/FCN/2020-06-20_09-30-14TO_TEST,4752,MeanOS_RAW,0.455301689,0.496363577,0.640317587,0.856972855,0.820080061,0.798381825,514,0.0001,0.801584676,2,Relu,503,0.460325798,0.503864626,0.617419028,0.854894901,0.818743086,0.796794958,0.580652382
models/FCN/2020-06-20_09-34-50TO_TEST,4752,MeanOS_RAW,0.412455306,0.46466714,0.581736674,0.884364869,0.846946046,0.817605157,659,0.0001,0.842617409,3,Relu,762,0.398704001,0.467352534,0.572660287,0.893619814,0.847415081,0.817178333,0.536451142
models/FCN/2020-06-20_09-39-28TO_TEST,4752,MeanOS_RAW,0.38724485,0.466001755,0.669500284,0.898522628,0.849545354,0.774241317,659,0.0001,0.834360577,4,Relu,476,0.424363491,0.479155532,0.649028361,0.877658019,0.840815569,0.781159163,0.596177431
models/FCN/2020-06-20_09-44-03TO_TEST,4752,MeanOS_RAW,0.3853956,0.470975529,0.68413794,0.900421539,0.833592197,0.756107164,682,0.0001,0.85544661,5,Relu,244,0.498632395,0.538721286,0.547536714,0.826902977,0.775140915,0.836589052,0.56593267
models/FCN/2020-06-20_09-48-39TO_TEST,4752,MeanOS_RAW,0.423066364,0.50341179,0.742463873,0.877423814,0.821265248,0.71878248,535,0.0001,0.840705253,6,Relu,245,0.52238676,0.542464378,0.567819494,0.805356577,0.788841669,0.826042276,0.580494675
models/FCN/2020-06-20_09-53-17TO_TEST,4752,MeanOS_RAW,0.383198531,0.467011346,0.838697528,0.900318871,0.855314008,0.666342378,648,0.0001,0.841602307,7,Relu,164,0.539920248,0.556844071,0.608402963,0.789616274,0.788225933,0.801103705,0.608915713
models/FCN/2020-06-20_09-57-57TO_TEST,4752,MeanOS_RAW,0.419073614,0.506479592,0.69225421,0.879930725,0.819083576,0.74933498,635,0.0001,0.841110909,8,Relu,304,0.526596743,0.545371066,0.587071897,0.802025713,0.786080418,0.821359733,0.591162713
models/FCN/2020-06-20_10-02-38TO_TEST,4752,MeanOS_RAW,0.374519511,0.468847758,0.76350315,0.904752663,0.862723597,0.703247416,730,0.0001,0.824225625,9,Relu,234,0.523551047,0.548144441,0.619739109,0.8019769,0.808295123,0.810562504,0.603721454
