Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-06-20_20-01-28COMB_Unique_512,4752,MeanOS,0.357070951,0.44820137,0.793783412,0.924887088,0.879746383,0.718924449,798,1.00E-05,0.838081163,0,Relu,188,0.574233308,0.562394228,0.717342867,0.788239952,0.804502579,0.789471786,0.669770059
models/FCN/2020-06-20_20-04-33COMB_Unique_512,4752,MeanOS,0.358674964,0.456730815,0.797689122,0.923415248,0.880516639,0.702375479,798,1.00E-05,0.846173354,1,Relu,224,0.550425688,0.56569053,0.633505717,0.806335163,0.810845435,0.825731618,0.61797432
models/FCN/2020-06-20_20-07-45COMB_Unique_512,4752,MeanOS,0.365124756,0.470574222,0.651680191,0.920769287,0.864841427,0.806984139,798,1.00E-05,0.843574772,2,Relu,781,0.370316328,0.473754164,0.64524953,0.918890835,0.864056319,0.80559069,0.594717667
models/FCN/2020-06-20_20-11-09COMB_Unique_512,4752,MeanOS,0.36080327,0.48549348,0.822254647,0.923037354,0.861514822,0.675606954,793,1.00E-05,0.807941013,3,Relu,320,0.495066223,0.559777509,0.674324003,0.847446704,0.811610814,0.78297129,0.634907411
models/FCN/2020-06-20_20-14-31COMB_Unique_512,4752,MeanOS,0.368214516,0.471813104,0.725443185,0.919514192,0.864684887,0.756930976,799,1.00E-05,0.839505935,4,Relu,252,0.559802078,0.567700212,0.671404957,0.800245811,0.7992308,0.806074026,0.641348893
models/FCN/2020-06-20_20-17-49COMB_Unique_512,4752,MeanOS,0.354867486,0.475577232,0.780824524,0.925516626,0.871333631,0.713940865,788,1.00E-05,0.800544849,5,Relu,217,0.555393265,0.581285899,0.697862947,0.802199379,0.803050382,0.780363491,0.660835043
models/FCN/2020-06-20_20-21-11COMB_Unique_512,4752,MeanOS,0.362569235,0.431194715,0.645938827,0.922338788,0.884804745,0.794295897,798,1.00E-05,0.851471984,6,Relu,579,0.41216709,0.455733279,0.633636043,0.898518564,0.873052811,0.801074113,0.573889143
models/FCN/2020-06-20_20-24-38COMB_Unique_512,4752,MeanOS,0.371041789,0.460036593,0.701026236,0.917799198,0.877514298,0.765419063,719,1.00E-05,0.846287816,7,Relu,355,0.484713997,0.509653846,0.618169333,0.854372257,0.848876433,0.817717762,0.577555595
models/FCN/2020-06-20_20-28-05COMB_Unique_512,4752,MeanOS,0.372269416,0.469478881,0.695304077,0.91765017,0.864865702,0.765218814,783,1.00E-05,0.849977786,8,Relu,478,0.459896163,0.500035821,0.656881526,0.870553442,0.847233336,0.798928925,0.600282283
models/FCN/2020-06-20_20-31-31COMB_Unique_512,4752,MeanOS,0.422768388,0.518914007,0.664226594,0.891832015,0.82923052,0.786881169,798,1.00E-05,0.856307955,9,Relu,722,0.447914184,0.527861027,0.660842739,0.877489048,0.822545457,0.7893345,0.616193555
models/FCN/2020-06-20_20-35-01COMB_Unique_512,4752,MeanOS,0.361073297,0.448803324,0.699021169,0.923354622,0.872569328,0.764951626,771,1.00E-05,0.833088149,10,Relu,208,0.560132471,0.561904359,0.633634133,0.800835421,0.792139917,0.823858096,0.621837832
models/FCN/2020-06-20_20-38-18COMB_Unique_512,4752,MeanOS,0.407342706,0.464867854,0.764427341,0.900246552,0.866477708,0.727675353,795,1.00E-05,0.868938957,11,Relu,377,0.553000172,0.551178339,0.631125252,0.80605264,0.807611333,0.8377646,0.612715647
models/FCN/2020-06-20_20-41-42COMB_Unique_512,4752,MeanOS,0.391305123,0.48988781,0.70887394,0.908639374,0.849953467,0.761158614,797,1.00E-05,0.828509455,12,Relu,721,0.411500449,0.498971337,0.697718191,0.898700884,0.845156115,0.760627251,0.644694172
models/FCN/2020-06-20_20-45-05COMB_Unique_512,4752,MeanOS,0.388263978,0.462300792,0.820921637,0.909806236,0.870084987,0.678956581,798,1.00E-05,0.840706601,13,Relu,269,0.572775275,0.567713618,0.651870958,0.789766509,0.796409445,0.824102831,0.635494376
models/FCN/2020-06-20_20-48-25COMB_Unique_512,4752,MeanOS,0.376837652,0.467896552,0.653436099,0.916736721,0.851778965,0.795242028,798,1.00E-05,0.844826147,14,Relu,579,0.43193003,0.49187189,0.632728489,0.888300996,0.837929641,0.805816546,0.583655159
models/FCN/2020-06-20_20-51-50COMB_Unique_512,4752,MeanOS,0.37788055,0.48632282,0.719676865,0.915143835,0.849895674,0.753525921,799,1.00E-05,0.865453037,15,Relu,324,0.513204956,0.573311174,0.628995146,0.836010115,0.783864226,0.817735809,0.615033905
models/FCN/2020-06-20_20-55-10COMB_Unique_512,4752,MeanOS,0.396860349,0.466655587,0.78538204,0.906339712,0.860589227,0.694201347,795,1.00E-05,0.849489026,16,Relu,288,0.576551938,0.574187997,0.663661611,0.788276452,0.781183119,0.826148805,0.645289699
models/FCN/2020-06-20_20-58-36COMB_Unique_512,4752,MeanOS,0.428318004,0.494210202,0.786080885,0.888391791,0.851945621,0.717555842,795,1.00E-05,0.829974026,17,Relu,419,0.558976459,0.558573949,0.636124825,0.800777119,0.810523344,0.82067617,0.619652086
models/FCN/2020-06-20_21-02-09COMB_Unique_512,4752,MeanOS,0.384418772,0.467122586,0.710875636,0.911235731,0.87262637,0.760929007,799,1.00E-05,0.841694902,18,Relu,635,0.418581452,0.483651085,0.68278589,0.895127668,0.863453022,0.771633132,0.62347382
models/FCN/2020-06-20_21-05-34COMB_Unique_512,4752,MeanOS,0.381911003,0.457851956,0.768000943,0.913034221,0.871487326,0.720793634,798,1.00E-05,0.830205491,19,Relu,308,0.529154471,0.538252647,0.69841394,0.823615365,0.817089867,0.779825753,0.643687729
models/FCN/2020-06-20_21-09-02COMB_Unique_512,4752,MeanOS,0.384132371,0.47223011,0.789262719,0.91285454,0.851836262,0.709338057,798,1.00E-05,0.835710429,20,Relu,284,0.576886217,0.595799024,0.647935368,0.788429716,0.749675887,0.80919927,0.651322541
models/FCN/2020-06-20_21-12-30COMB_Unique_512,4752,MeanOS,0.407240831,0.5244424,0.647805385,0.900720088,0.816280343,0.794445273,798,1.00E-05,0.861650096,21,Relu,793,0.410219949,0.5252769,0.645967015,0.899917228,0.815839698,0.793961158,0.609429115
models/FCN/2020-06-20_21-16-06COMB_Unique_512,4752,MeanOS,0.381970695,0.465669387,0.753039643,0.913112415,0.867229526,0.731131883,799,1.00E-05,0.829470706,22,Relu,295,0.553331108,0.583124589,0.672354722,0.805433305,0.78177464,0.809268894,0.647245302
models/FCN/2020-06-20_21-19-35COMB_Unique_512,4752,MeanOS,0.389776282,0.50672217,0.666252209,0.908463964,0.850861796,0.780123895,799,1.00E-05,0.864865227,23,Relu,308,0.552619269,0.596413505,0.609198325,0.804526479,0.786161357,0.843565296,0.620923482
models/FCN/2020-06-20_21-23-03COMB_Unique_512,4752,MeanOS,0.394883495,0.478808141,0.748001106,0.907454151,0.843632326,0.74782368,796,1.00E-05,0.852665476,24,Relu,369,0.549121987,0.549613174,0.643252602,0.811143114,0.788035711,0.816801552,0.620286019
models/FCN/2020-06-20_21-26-34COMB_Unique_512,4752,MeanOS,0.402738513,0.461435886,0.731863181,0.902926712,0.868410904,0.744260765,797,1.00E-05,0.83684222,25,Relu,340,0.550102812,0.541424925,0.607104483,0.80840847,0.813721089,0.821937454,0.59952615
models/FCN/2020-06-20_21-30-01COMB_Unique_512,4752,MeanOS,0.380154073,0.492710009,0.774818579,0.914403672,0.841659199,0.732807923,791,1.00E-05,0.874526403,26,Relu,260,0.554105443,0.593563604,0.618893595,0.806122,0.759205991,0.839264468,0.629877897
models/FCN/2020-06-20_21-33-21COMB_Unique_512,4752,MeanOS,0.356539739,0.453427341,0.83708816,0.925144644,0.872995815,0.675749774,795,1.00E-05,0.838092571,27,Relu,234,0.540268452,0.54680873,0.628123692,0.816020531,0.808599162,0.81670872,0.60773594
models/FCN/2020-06-20_21-36-39COMB_Unique_512,4752,MeanOS,0.391787177,0.469356559,0.769230529,0.908365122,0.861964901,0.724630867,795,1.00E-05,0.837182148,28,Relu,345,0.558941157,0.55847617,0.662519755,0.801627789,0.799620534,0.805665869,0.634006775
models/FCN/2020-06-20_21-39-59COMB_Unique_512,4752,MeanOS,0.373412543,0.458940589,0.694605604,0.917550027,0.863628101,0.764102205,761,1.00E-05,0.856508058,29,Relu,202,0.570422485,0.538361469,0.648281714,0.792897561,0.80900392,0.828672055,0.626434951
models/FCN/2020-06-20_21-43-15COMB_Unique_512,4752,MeanOS,0.377457086,0.468933177,0.786976848,0.915184569,0.862232773,0.71709013,791,1.00E-05,0.85055436,30,Relu,307,0.569468382,0.545916314,0.624111744,0.793232185,0.808831849,0.840502461,0.615694821
models/FCN/2020-06-20_21-46-35COMB_Unique_512,4752,MeanOS,0.385084771,0.470432252,0.761066512,0.911778351,0.85675498,0.744583362,798,1.00E-05,0.856705247,31,Relu,360,0.541579755,0.546693684,0.613656792,0.815594045,0.801109731,0.850207678,0.600851366
