Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-04-17_09-42-33RMSE_ANCHOR_REF_ADAMW,4752,MeanOS,0.378060322,0.488590215,0.768023453,0.91449267,0.859562,0.711270663,798,0.0001,0.803509081,0,Relu,382,0.474437784,0.530796701,0.686575598,0.861257415,0.832992248,0.761397045,0.637121371
models/FCN/2020-04-17_09-45-54RMSE_ANCHOR_REF_ADAMW,4752,MeanOS,0.368525881,0.494120693,0.946585763,0.918760069,0.85169852,0.602762285,799,0.0001,0.791169244,1,Relu,324,0.492155732,0.548396563,0.693786756,0.849282651,0.813636534,0.771150017,0.645415251
models/FCN/2020-04-17_09-49-47RMSE_ANCHOR_REF_ADAMW,4752,MeanOS,0.406552521,0.470856217,0.90560028,0.901492695,0.857325621,0.629442302,792,0.0001,0.801354596,2,Relu,324,0.527149634,0.541420871,0.704759896,0.826330187,0.809326051,0.768188664,0.651019217
models/FCN/2020-04-17_09-55-44RMSE_ANCHOR_REF_ADAMW,4752,MeanOS,0.387031955,0.46929422,0.72237833,0.910525107,0.859133036,0.762056937,713,0.0001,0.818602619,3,Relu,393,0.462483482,0.49848408,0.674802519,0.869633755,0.840686262,0.782765701,0.615208613
models/FCN/2020-04-17_10-01-41RMSE_ANCHOR_REF_ADAMW,4752,MeanOS,0.389132316,0.464147217,0.983844563,0.909039054,0.868105132,0.59805601,555,0.0001,0.828428953,4,Relu,117,0.612847671,0.604194621,0.709255345,0.75471563,0.765227691,0.790481084,0.690972696
models/FCN/2020-04-17_10-07-36RMSE_ANCHOR_REF_ADAMW,4752,MeanOS,0.380673301,0.492478006,0.658403386,0.91387527,0.839392219,0.798951526,596,0.0001,0.840353327,5,Relu,516,0.400455482,0.497794645,0.648128531,0.905188823,0.836057435,0.797139688,0.601989616
models/FCN/2020-04-17_10-13-32RMSE_ANCHOR_REF_ADAMW,4752,MeanOS,0.381831299,0.465870925,0.773318429,0.91312228,0.866208046,0.731328654,719,0.0001,0.803144406,6,Relu,253,0.515136337,0.521550358,0.687769354,0.833952452,0.829085898,0.795822174,0.627861033
models/FCN/2020-04-17_10-19-27RMSE_ANCHOR_REF_ADAMW,4752,MeanOS,0.37003929,0.46226197,0.77191824,0.917534563,0.877548408,0.720369662,629,0.0001,0.814095674,7,Relu,259,0.476274599,0.506655516,0.713816453,0.860360777,0.853302691,0.753684676,0.647466878
models/FCN/2020-04-17_10-25-22RMSE_ANCHOR_REF_ADAMW,4752,MeanOS,0.379343892,0.484038478,0.678640429,0.913961879,0.853313574,0.774096895,798,0.0001,0.786827047,8,Relu,744,0.388459448,0.487399679,0.675188614,0.910046002,0.851563801,0.773559957,0.626222781
models/FCN/2020-04-17_10-31-26RMSE_ANCHOR_REF_ADAMW,4752,MeanOS,0.373719651,0.474235696,0.851751333,0.915208087,0.876790697,0.665681675,715,0.0001,0.769723456,9,Relu,238,0.517005487,0.553943493,0.763587087,0.83007186,0.828344301,0.731820189,0.696932738
models/FCN/2020-04-17_10-37-22RMSE_ANCHOR_REF_ADAMW,4752,MeanOS,0.343796837,0.473650321,0.991897704,0.92918155,0.875737616,0.567733266,795,0.0001,0.778933752,10,Relu,175,0.574907705,0.61832099,0.702211686,0.784711007,0.776274566,0.777587543,0.681230672
