Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-06-20_16-20-50ANCHOR_REF,4752,MeanOS,0.375937392,0.479859304,0.823151385,0.915478491,0.865086556,0.671232482,796,0.0001,0.79594003,0,Relu,140,0.621518519,0.642707516,0.689398017,0.745016709,0.742804917,0.776281708,0.69997982
models/FCN/2020-06-20_16-22-25ANCHOR_REF,4752,MeanOS,0.363670503,0.490183465,0.84518172,0.921014549,0.854122631,0.687162234,793,0.0001,0.781950243,1,Relu,170,0.616872234,0.660595492,0.751328823,0.751542603,0.714326445,0.743851625,0.739048142
models/FCN/2020-06-20_16-24-01ANCHOR_REF,4752,MeanOS,0.409651297,0.478174213,0.961711844,0.899586959,0.853087172,0.595493134,687,0.0001,0.791204815,2,Relu,325,0.516305942,0.532696119,0.80712924,0.833868664,0.816476887,0.704298454,0.728316737
models/FCN/2020-06-20_16-25-40ANCHOR_REF,4752,MeanOS,0.402389169,0.480770529,0.723127514,0.902870912,0.851782358,0.758275404,612,0.0001,0.805437763,3,Relu,545,0.417860024,0.485547994,0.712135901,0.895885334,0.850240111,0.754521646,0.65137234
models/FCN/2020-06-20_16-27-23ANCHOR_REF,4752,MeanOS,0.36636026,0.454458054,0.890893478,0.92023571,0.873936222,0.673419931,669,0.0001,0.805068156,4,Relu,109,0.645993185,0.637229755,0.766439365,0.723491305,0.737309506,0.738343361,0.744962862
models/FCN/2020-06-20_16-29-06ANCHOR_REF,4752,MeanOS,0.347540309,0.473818778,0.684547538,0.928714721,0.852535042,0.775365452,780,0.0001,0.821199119,5,Relu,550,0.388846459,0.489708167,0.664631388,0.910733229,0.841230688,0.784287293,0.616882766
models/FCN/2020-06-20_16-30-50ANCHOR_REF,4752,MeanOS,0.380496492,0.462165811,0.702748943,0.913250363,0.868303561,0.764839633,701,0.0001,0.777455591,6,Relu,507,0.42491714,0.479175336,0.685028489,0.892691149,0.859931209,0.772315844,0.62274681
models/FCN/2020-06-20_16-32-37ANCHOR_REF,4752,MeanOS,0.383995463,0.45808776,0.889149484,0.910913337,0.880102794,0.638754298,539,0.0001,0.79602503,7,Relu,183,0.516480799,0.530829256,0.772475898,0.831919248,0.837080845,0.727703509,0.697062048
models/FCN/2020-06-20_16-34-23ANCHOR_REF,4752,MeanOS,0.400973356,0.495280807,0.702535236,0.903183339,0.845184016,0.7586369,684,0.0001,0.780890559,8,Relu,777,0.387808685,0.494989734,0.686834704,0.910512673,0.846901798,0.763185263,0.640630774
models/FCN/2020-06-20_16-36-09ANCHOR_REF,4752,MeanOS,0.385771871,0.480014004,0.959034855,0.909565189,0.87354859,0.602627088,571,0.0001,0.73501352,9,Relu,146,0.595380162,0.616964042,0.865288804,0.766171599,0.783558166,0.661831221,0.797719535
models/FCN/2020-06-20_16-37-54ANCHOR_REF,4752,MeanOS,0.341797991,0.491723629,0.867317408,0.929819237,0.86522261,0.655260667,794,0.0001,0.742249869,10,Relu,293,0.489927172,0.556484619,0.760973858,0.849410278,0.823754694,0.740170498,0.697568386
models/FCN/2020-06-20_16-39-42ANCHOR_REF,4752,MeanOS,0.378510635,0.470094633,0.800534285,0.914249109,0.863248092,0.708372481,668,0.0001,0.785679997,11,Relu,140,0.616714343,0.614009166,0.725488605,0.751603312,0.752849101,0.748121842,0.706907286
models/FCN/2020-06-20_16-41-28ANCHOR_REF,4752,MeanOS,0.401706354,0.511976825,0.887294264,0.903277299,0.825065026,0.655385115,532,0.0001,0.774202278,12,Relu,128,0.593721767,0.602652867,0.778413414,0.773076776,0.747648709,0.711043072,0.732696697
models/FCN/2020-06-20_16-43-15ANCHOR_REF,4752,MeanOS,0.373058253,0.467997504,1.067323546,0.917188137,0.869480582,0.485665244,799,0.0001,0.786559857,13,Relu,140,0.669824433,0.670611512,0.761279361,0.696968465,0.708312332,0.749384263,0.762437696
models/FCN/2020-06-20_16-45-01ANCHOR_REF,4752,MeanOS,0.375475069,0.478077771,0.840842246,0.916288783,0.857271478,0.692548409,555,0.0001,0.767622883,14,Relu,92,0.624141154,0.6302447,0.716443071,0.745668836,0.73256608,0.756226989,0.711175128
models/FCN/2020-06-20_16-46-48ANCHOR_REF,4752,MeanOS,0.422348193,0.50381077,0.878165157,0.891634862,0.846745816,0.638133876,547,0.0001,0.722248684,15,Relu,245,0.532013859,0.548180952,0.811578645,0.820475215,0.81536287,0.689027063,0.737377459
models/FCN/2020-06-20_16-48-35ANCHOR_REF,4752,MeanOS,0.369997089,0.487013273,0.81569908,0.918164448,0.859076693,0.692794464,768,0.0001,0.819352078,16,Relu,141,0.60458461,0.63510674,0.712240662,0.761188175,0.747049004,0.771342337,0.70227125
models/FCN/2020-06-20_16-50-23ANCHOR_REF,4752,MeanOS,0.373315912,0.482568883,0.858500033,0.917523433,0.8423928,0.687986157,707,0.0001,0.781089227,17,Relu,320,0.46868262,0.527321815,0.798958609,0.866692933,0.811968489,0.716233147,0.728280189
models/FCN/2020-06-20_16-52-10ANCHOR_REF,4752,MeanOS,0.406546438,0.486930141,0.860048149,0.90068024,0.848740261,0.655119696,604,0.0001,0.787067367,18,Relu,181,0.596914349,0.594205882,0.745108692,0.770337971,0.761593268,0.73977408,0.70653677
models/FCN/2020-06-20_16-53-59ANCHOR_REF,4752,MeanOS,0.386088654,0.491222723,0.753591341,0.911438034,0.83676406,0.749113531,565,0.0001,0.802000886,19,Relu,449,0.413829444,0.500697769,0.732646821,0.898346163,0.832796602,0.750270285,0.6744754
models/FCN/2020-06-20_16-55-47ANCHOR_REF,4752,MeanOS,0.380187569,0.48969613,0.911927849,0.913996605,0.840029461,0.629026782,576,0.0001,0.765049064,20,Relu,150,0.614706171,0.601800813,0.75415166,0.755489729,0.745491715,0.728136972,0.722140683
models/FCN/2020-06-20_16-57-36ANCHOR_REF,4752,MeanOS,0.371919559,0.458108382,0.778830265,0.917255738,0.873500952,0.732346101,595,0.0001,0.734803016,21,Relu,483,0.396943849,0.466145372,0.756029721,0.905942132,0.869735827,0.733761807,0.690369792
models/FCN/2020-06-20_16-59-21ANCHOR_REF,4752,MeanOS,0.40466128,0.490067014,0.992397955,0.902372998,0.844817,0.568505923,666,0.0001,0.784940644,22,Relu,251,0.519668415,0.541873685,0.833698326,0.831818034,0.806224626,0.691313537,0.753282157
models/FCN/2020-06-20_17-01-05ANCHOR_REF,4752,MeanOS,0.369322336,0.468416158,0.721512735,0.919073311,0.860901843,0.753970743,629,0.0001,0.839299758,23,Relu,233,0.484265754,0.528195562,0.695381592,0.856932764,0.821960896,0.778328945,0.638406942
models/FCN/2020-06-20_17-02-49ANCHOR_REF,4752,MeanOS,0.39254736,0.453213919,0.887757209,0.906146138,0.889417851,0.648678355,683,0.0001,0.760239094,24,Relu,338,0.48635377,0.496783445,0.820443415,0.853313487,0.86683633,0.68375421,0.738951816
models/FCN/2020-06-20_17-04-33ANCHOR_REF,4752,MeanOS,0.404700821,0.500045808,0.853038522,0.902789572,0.836285149,0.666074237,613,0.0001,0.797143474,25,Relu,152,0.640310087,0.638786145,0.718418362,0.729490597,0.713838007,0.77060481,0.722191039
models/FCN/2020-06-20_17-06-17ANCHOR_REF,4752,MeanOS,0.396687606,0.474954875,0.817999483,0.905142891,0.860563128,0.708412313,664,0.0001,0.787544071,26,Relu,238,0.570604498,0.586112436,0.722868537,0.791038473,0.777952262,0.74862175,0.685026026
models/FCN/2020-06-20_17-08-00ANCHOR_REF,4752,MeanOS,0.374893282,0.467522673,0.695622469,0.915821217,0.869280158,0.768274856,577,0.0001,0.801399195,27,Relu,294,0.454775864,0.502393415,0.681280083,0.874274263,0.849672458,0.769966003,0.623636291
models/FCN/2020-06-20_17-09-44ANCHOR_REF,4752,MeanOS,0.399796595,0.481095221,0.909290006,0.904557933,0.8440799,0.643456851,532,0.0001,0.762747448,28,Relu,84,0.598453951,0.625892034,0.78117456,0.769903557,0.714867422,0.707865763,0.746031551
models/FCN/2020-06-20_17-11-27ANCHOR_REF,4752,MeanOS,0.371976574,0.46525636,1.077459551,0.917781928,0.871184287,0.512385489,727,0.0001,0.65910869,29,Relu,130,0.634899408,0.67759639,0.864500484,0.733421914,0.700068472,0.652996417,0.823709995
models/FCN/2020-06-20_17-13-11ANCHOR_REF,4752,MeanOS,0.39927963,0.497622034,0.940028025,0.90482245,0.839860235,0.601025654,763,0.0001,0.694585287,30,Relu,483,0.455099534,0.521112563,0.854409821,0.873874695,0.825073019,0.656134952,0.790838422
models/FCN/2020-06-20_17-14-56ANCHOR_REF,4752,MeanOS,0.396073561,0.466872352,0.80953149,0.905637697,0.870113027,0.708321171,743,0.0001,0.787048506,31,Relu,135,0.637488963,0.640562409,0.712702494,0.730421157,0.738720135,0.772509902,0.71531273
models/FCN/2020-06-20_17-16-41ANCHOR_REF,4752,MeanOS,0.390506734,0.454984474,0.779435786,0.910000387,0.863246736,0.739922964,792,0.0001,0.82041988,32,Relu,750,0.396121265,0.466969955,0.761943259,0.907296238,0.860925773,0.736672891,0.695406247
