Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-06-20_09-29-17ANCHOR_TEST,4752,MeanOS,0.37879302,0.469744251,0.800522441,0.913571621,0.87104613,0.696417631,793,0.0001,0.813581035,0,Relu,166,0.58528403,0.610252815,0.692029432,0.777595032,0.770537828,0.788346379,0.675653739
models/FCN/2020-06-20_09-33-05ANCHOR_TEST,4752,MeanOS,0.374235199,0.481363774,1.103416248,0.916438452,0.859823952,0.463564324,799,0.0001,0.8196816,1,Relu,225,0.542326672,0.580892154,0.720341976,0.813341931,0.788039859,0.774211239,0.673926012
models/FCN/2020-06-20_09-36-54ANCHOR_TEST,4752,MeanOS,0.415384908,0.479731281,0.781417198,0.896410335,0.851248429,0.716625985,621,0.0001,0.783101253,2,Relu,424,0.468437861,0.499490749,0.758857799,0.865795599,0.841348317,0.723154679,0.68706805
models/FCN/2020-06-20_09-40-51ANCHOR_TEST,4752,MeanOS,0.416466188,0.492950613,0.68619145,0.895826144,0.843257426,0.778547913,546,0.0001,0.830782574,3,Relu,604,0.405131912,0.49363629,0.673413407,0.902105138,0.844939488,0.77836586,0.622054619
models/FCN/2020-06-20_09-44-39ANCHOR_TEST,4752,MeanOS,0.377386523,0.456347226,0.982088102,0.915003058,0.872945353,0.562473581,635,0.0001,0.833010199,4,Relu,137,0.598299414,0.598096679,0.652332843,0.768183621,0.769907639,0.809962759,0.657014778
models/FCN/2020-06-20_09-48-27ANCHOR_TEST,4752,MeanOS,0.383688421,0.489607107,0.79020666,0.912351995,0.841066128,0.721639604,549,0.0001,0.823527674,5,Relu,230,0.499749378,0.547540972,0.668418272,0.845942628,0.795538851,0.79967983,0.626707834
models/FCN/2020-06-20_09-52-20ANCHOR_TEST,4752,MeanOS,0.385335702,0.464241324,0.731579598,0.911750399,0.866972555,0.750780918,688,0.0001,0.797342545,6,Relu,329,0.482443254,0.507256699,0.703455437,0.856048303,0.838435819,0.769636001,0.63777074
models/FCN/2020-06-20_09-56-14ANCHOR_TEST,4752,MeanOS,0.362493785,0.47270164,0.845334922,0.921007019,0.871663009,0.691317018,741,0.0001,0.839140047,7,Relu,95,0.613466582,0.6188717,0.640604915,0.751488193,0.769814925,0.829268304,0.665895371
models/FCN/2020-06-20_10-00-03ANCHOR_TEST,4752,MeanOS,0.391451189,0.492879226,0.744010095,0.908378362,0.847235519,0.722199071,727,0.0001,0.817574617,8,Relu,549,0.431257704,0.503680766,0.741106716,0.887234285,0.839780511,0.72712848,0.683280449
models/FCN/2020-06-20_10-03-47ANCHOR_TEST,4752,MeanOS,0.382291639,0.480209699,0.804084746,0.911979884,0.873544944,0.705620052,622,0.0001,0.796143266,9,Relu,266,0.497040677,0.525952355,0.74976166,0.844231208,0.848462286,0.752441074,0.675633576
models/FCN/2020-06-20_10-07-34ANCHOR_TEST,4752,MeanOS,0.352277201,0.484249133,0.953396186,0.925216415,0.869735555,0.5841695,750,0.0001,0.752265407,10,Relu,173,0.582175329,0.614750625,0.759227338,0.779538015,0.780440517,0.745349779,0.715100103
models/FCN/2020-06-20_10-11-21ANCHOR_TEST,4752,MeanOS,0.371194316,0.462658412,0.788528244,0.918639096,0.867961425,0.711068846,786,0.0001,0.8077327,11,Relu,147,0.598931372,0.613924636,0.665336402,0.767396938,0.751866156,0.792954053,0.67127843
models/FCN/2020-06-20_10-15-07ANCHOR_TEST,4752,MeanOS,0.388689573,0.506379107,1.02998625,0.910915768,0.829269341,0.546180871,535,0.0001,0.812345125,12,Relu,135,0.575027569,0.605060384,0.652742236,0.789395656,0.744639919,0.804302768,0.656882847
models/FCN/2020-06-20_10-18-57ANCHOR_TEST,4752,MeanOS,0.36183173,0.451870353,0.829348398,0.922163319,0.878965598,0.686532148,793,0.0001,0.823289283,13,Relu,198,0.595568623,0.618251329,0.689253803,0.769947773,0.758460551,0.7962568,0.680654598
models/FCN/2020-06-20_10-22-44ANCHOR_TEST,4752,MeanOS,0.375343333,0.478576854,0.854535284,0.916655023,0.856826451,0.676206723,629,0.0001,0.796073845,14,Relu,124,0.573700169,0.581558343,0.722923582,0.789773407,0.777783711,0.76426543,0.681525547
models/FCN/2020-06-20_10-26-32ANCHOR_TEST,4752,MeanOS,0.41396358,0.491663819,0.778360545,0.896457169,0.854547125,0.705848253,584,0.0001,0.786677651,15,Relu,366,0.478564264,0.514088993,0.694002782,0.857932374,0.839852362,0.76469001,0.635060193
models/FCN/2020-06-20_10-30-22ANCHOR_TEST,4752,MeanOS,0.369200839,0.467844411,0.921085362,0.918250149,0.870811394,0.610855687,794,0.0001,0.841188863,16,Relu,159,0.578744911,0.59791851,0.666157031,0.783859443,0.780613587,0.812374932,0.655078675
models/FCN/2020-06-20_10-34-12ANCHOR_TEST,4752,MeanOS,0.361276692,0.46129193,0.918555814,0.923845236,0.857127579,0.650306836,795,0.0001,0.824430291,17,Relu,134,0.608573776,0.602606389,0.689492928,0.762310817,0.742064405,0.803143859,0.682610004
models/FCN/2020-06-20_10-37-56ANCHOR_TEST,4752,MeanOS,0.395092982,0.489088998,0.884816187,0.906364978,0.847626754,0.642357579,690,0.0001,0.81933113,18,Relu,182,0.594564325,0.592375651,0.684636833,0.771977283,0.763330114,0.800277232,0.669422842
models/FCN/2020-06-20_10-41-42ANCHOR_TEST,4752,MeanOS,0.372590007,0.483388275,0.750766011,0.918326917,0.842831068,0.748091199,566,0.0001,0.821763581,19,Relu,289,0.461694738,0.513665052,0.728777781,0.87058643,0.82049041,0.751164336,0.665460131
models/FCN/2020-06-20_10-45-25ANCHOR_TEST,4752,MeanOS,0.350817834,0.47094262,0.857734808,0.927243493,0.854647842,0.663311306,724,0.0001,0.807491167,20,Relu,170,0.590316953,0.576581039,0.677030581,0.776956356,0.769346137,0.79804527,0.660654238
models/FCN/2020-06-20_10-49-34ANCHOR_TEST,4752,MeanOS,0.378921241,0.480894165,0.780612857,0.915095514,0.860019079,0.738602312,542,0.0001,0.793273049,21,Relu,145,0.571215085,0.556836577,0.677309046,0.790597642,0.807934756,0.791631113,0.646748753
models/FCN/2020-06-20_10-53-29ANCHOR_TEST,4752,MeanOS,0.417909443,0.489267181,0.96162869,0.894670104,0.845567526,0.58703277,589,0.0001,0.81126049,22,Relu,217,0.536840029,0.551240281,0.772560772,0.818947869,0.798651153,0.748044667,0.699977536
models/FCN/2020-06-20_10-57-33ANCHOR_TEST,4752,MeanOS,0.345143868,0.439213852,0.864393672,0.92970752,0.878736943,0.664461863,774,0.0001,0.838919858,23,Relu,134,0.571410363,0.578170157,0.646824522,0.791103811,0.778128516,0.81745495,0.638429353
models/FCN/2020-06-20_11-01-48ANCHOR_TEST,4752,MeanOS,0.393459259,0.465207062,0.883925426,0.905261301,0.883025316,0.640736324,706,0.0001,0.790465819,24,Relu,319,0.49318162,0.51135302,0.80776389,0.846200405,0.856836886,0.694400354,0.728440956
models/FCN/2020-06-20_11-06-08ANCHOR_TEST,4752,MeanOS,0.411505173,0.495537955,0.810581631,0.898453365,0.839013693,0.705409505,627,0.0001,0.820689061,25,Relu,187,0.603608225,0.59266369,0.658517016,0.764850794,0.760801863,0.809720521,0.661860849
models/FCN/2020-06-20_11-10-23ANCHOR_TEST,4752,MeanOS,0.369446658,0.488504109,0.770578867,0.918332904,0.852186216,0.730703701,798,0.0001,0.820459253,26,Relu,212,0.593642928,0.600526411,0.629134877,0.771669775,0.766772243,0.818715143,0.647499882
models/FCN/2020-06-20_11-14-31ANCHOR_TEST,4752,MeanOS,0.373171788,0.478555744,0.727931082,0.916417092,0.862645018,0.753626247,577,0.0001,0.826701226,27,Relu,114,0.585907118,0.582975342,0.665284862,0.777618635,0.787500418,0.808235221,0.652028009
models/FCN/2020-06-20_11-18-45ANCHOR_TEST,4752,MeanOS,0.410463175,0.492308722,0.904311102,0.899203022,0.835631767,0.636669447,477,0.0001,0.806885191,28,Relu,95,0.598498458,0.623809777,0.692014821,0.770151483,0.71722269,0.789255688,0.692283154
models/FCN/2020-06-20_11-22-50ANCHOR_TEST,4752,MeanOS,0.369912065,0.471266382,0.876900207,0.91853338,0.867591837,0.671931137,767,0.0001,0.781111174,29,Relu,282,0.486643381,0.537883631,0.793586603,0.853179074,0.824805686,0.727245787,0.718791256
models/FCN/2020-06-20_11-26-53ANCHOR_TEST,4752,MeanOS,0.409577366,0.489869677,0.882998466,0.899468873,0.845110386,0.640601155,626,0.0001,0.78956638,30,Relu,129,0.638144241,0.62843733,0.750235689,0.732098856,0.729407312,0.762317677,0.731304973
models/FCN/2020-06-20_11-31-04ANCHOR_TEST,4752,MeanOS,0.40281561,0.466170792,0.789285433,0.901718933,0.870493168,0.729105916,799,0.0001,0.823028295,31,Relu,189,0.589926319,0.581664597,0.663396628,0.774146671,0.790122966,0.811585834,0.652301228
models/FCN/2020-06-20_11-35-21ANCHOR_TEST,4752,MeanOS,0.415517831,0.471977886,0.969174345,0.896652983,0.853111484,0.602964909,587,0.0001,0.836388189,32,Relu,160,0.600241415,0.595986579,0.644050795,0.767767146,0.75412396,0.817022152,0.6565955
models/FCN/2020-06-20_11-39-38ANCHOR_TEST,4752,MeanOS,0.398940101,0.461499434,0.919057334,0.904348068,0.867709349,0.60715882,526,0.0001,0.817693986,33,Relu,103,0.602408512,0.570923974,0.711062892,0.765006962,0.791972687,0.791586713,0.679755374
models/FCN/2020-06-20_11-44-05ANCHOR_TEST,4752,MeanOS,0.390234186,0.499158625,0.864722722,0.908184424,0.85169979,0.650027157,686,0.0001,0.823324916,34,Relu,142,0.593742284,0.612731963,0.686271506,0.770993889,0.768745909,0.792870307,0.675786665
models/FCN/2020-06-20_11-48-24ANCHOR_TEST,4752,MeanOS,0.386749254,0.497258919,0.705551782,0.910789711,0.839439497,0.761885849,696,0.0001,0.810036138,35,Relu,301,0.508605042,0.548348331,0.671002942,0.838999968,0.799557071,0.796521175,0.628805515
models/FCN/2020-06-20_11-52-45ANCHOR_TEST,4752,MeanOS,0.376507352,0.484144646,0.757970354,0.914295062,0.866566249,0.746998735,701,0.0001,0.827178844,36,Relu,183,0.583136715,0.625972907,0.664905921,0.778207942,0.766348052,0.819743311,0.666823726
models/FCN/2020-06-20_11-57-04ANCHOR_TEST,4752,MeanOS,0.353844604,0.448186791,0.694130366,0.926316036,0.872398739,0.770880423,798,0.0001,0.831235537,37,Relu,548,0.399864682,0.467534056,0.685758708,0.9048415,0.861943675,0.769871971,0.625970728
models/FCN/2020-06-20_12-01-20ANCHOR_TEST,4752,MeanOS,0.411417352,0.487615009,1.03806314,0.898318055,0.844967508,0.535168595,564,0.0001,0.810928441,38,Relu,149,0.607631162,0.609688471,0.69253177,0.761436744,0.745012193,0.790696993,0.685175821
models/FCN/2020-06-20_12-05-41ANCHOR_TEST,4752,MeanOS,0.413960617,0.501365615,0.845153313,0.895566974,0.851797763,0.680352564,510,0.0001,0.819777927,39,Relu,172,0.594934624,0.606060124,0.691560206,0.769576867,0.776147326,0.803208867,0.674937112
models/FCN/2020-06-20_12-09-59ANCHOR_TEST,4752,MeanOS,0.376765393,0.486422579,0.778383316,0.916690915,0.837566163,0.734094143,723,0.0001,0.831804199,40,Relu,185,0.564019614,0.578995232,0.647595031,0.799351812,0.75464928,0.816761847,0.641162867
models/FCN/2020-06-20_12-14-16ANCHOR_TEST,4752,MeanOS,0.361252723,0.452039499,0.804701057,0.922054151,0.878582488,0.69286701,654,0.0001,0.825301884,41,Relu,127,0.566922262,0.572184525,0.645958634,0.794021175,0.798826429,0.814907857,0.632223516
models/FCN/2020-06-20_12-18-34ANCHOR_TEST,4752,MeanOS,0.402372456,0.471598549,0.777781196,0.902205404,0.867610568,0.728597131,581,0.0001,0.838837878,42,Relu,117,0.586939349,0.591949173,0.627625511,0.776384639,0.781588464,0.826244413,0.639440143
models/FCN/2020-06-20_12-22-53ANCHOR_TEST,4752,MeanOS,0.350731318,0.485273808,0.865800301,0.927214548,0.848659425,0.664414356,709,0.0001,0.802923227,43,Relu,136,0.579671885,0.62755259,0.710573868,0.784730511,0.731606772,0.791244362,0.694711883
models/FCN/2020-06-20_12-27-09ANCHOR_TEST,4752,MeanOS,0.364611796,0.45460892,0.818306578,0.921166169,0.876550273,0.709217826,655,0.0001,0.83056528,44,Relu,112,0.620475743,0.606852386,0.672482229,0.747169318,0.770014924,0.809894012,0.677928056
models/FCN/2020-06-20_12-31-31ANCHOR_TEST,4752,MeanOS,0.380133336,0.462338972,0.932627388,0.91325357,0.870561697,0.595796433,666,0.0001,0.815257897,45,Relu,120,0.59675534,0.591737145,0.682887159,0.769041294,0.779183605,0.798614559,0.667609882
models/FCN/2020-06-20_12-35-45ANCHOR_TEST,4752,MeanOS,0.373067937,0.461751985,0.753875371,0.916671952,0.873534038,0.741260871,589,0.0001,0.794828112,46,Relu,666,0.361395745,0.464246035,0.741026223,0.922729867,0.873701383,0.743877871,0.687243314
models/FCN/2020-06-20_12-40-16ANCHOR_TEST,4752,MeanOS,0.368929661,0.480582073,0.71529733,0.918636008,0.857694226,0.753358545,565,0.0001,0.777533229,47,Relu,329,0.439095196,0.500607696,0.710799629,0.88453244,0.845434461,0.754866371,0.650237959
models/FCN/2020-06-20_12-44-31ANCHOR_TEST,4752,MeanOS,0.386739098,0.458748617,1.001779925,0.909589225,0.878052592,0.559998765,554,0.0001,0.761831023,48,Relu,90,0.632176993,0.661837555,0.782610108,0.73539061,0.726958935,0.745977976,0.756162967
models/FCN/2020-06-20_12-48-45ANCHOR_TEST,4752,MeanOS,0.405196894,0.498980137,0.863489136,0.901721923,0.835139802,0.665481928,476,0.0001,0.843935109,49,Relu,150,0.555814861,0.562635774,0.668504756,0.804628745,0.782885709,0.808172748,0.639309484
models/FCN/2020-06-20_12-53-12ANCHOR_TEST,4752,MeanOS,0.383261053,0.47650849,0.911927767,0.911774704,0.868019499,0.614201493,727,0.0001,0.81710801,50,Relu,133,0.602545694,0.619115393,0.680878508,0.762513291,0.77300851,0.810582797,0.67686011
models/FCN/2020-06-20_12-57-32ANCHOR_TEST,4752,MeanOS,0.374758608,0.513414268,0.89093859,0.915578956,0.844856997,0.649406349,739,0.0001,0.835822513,51,Relu,181,0.605845173,0.620927653,0.648779872,0.759745425,0.762682846,0.816093989,0.666701471
models/FCN/2020-06-20_13-01-57ANCHOR_TEST,4752,MeanOS,0.374383264,0.448963163,0.837180729,0.916928736,0.869809533,0.673461796,797,0.0001,0.827198167,52,Relu,141,0.603529483,0.606996527,0.646521655,0.764822281,0.7448437,0.817710058,0.663782889
