Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-07-03_14-24-26CAT_FUZZYFEAT,4752,MeanOS,0.381194612,0.491010423,0.86134351,0.91370266,0.846215149,0.666509106,670,0.0001,0.820943428,0,Relu,152,0.576629011,0.580744852,0.677532899,0.787044186,0.775251023,0.797482917,0.655985225
models/FCN/2020-07-03_14-26-28CAT_FUZZYFEAT,4752,MeanOS,0.393481224,0.459187364,0.752895516,0.907286751,0.864888938,0.765276238,605,0.0001,0.816533895,1,Relu,162,0.578621695,0.574008965,0.654064747,0.785231257,0.780394962,0.807450486,0.643035292
models/FCN/2020-07-03_14-28-35CAT_FUZZYFEAT,4752,MeanOS,0.378955239,0.476920239,0.941465485,0.915457748,0.849912407,0.614269779,699,0.0001,0.828175618,2,Relu,240,0.515239439,0.529719423,0.677607378,0.834992278,0.81131679,0.786443713,0.627825759
models/FCN/2020-07-03_14-30-45CAT_FUZZYFEAT,4752,MeanOS,0.360362946,0.500938332,0.898667386,0.922726918,0.840869466,0.649199517,731,0.0001,0.810654417,3,Relu,216,0.52077993,0.574349482,0.656322269,0.830225116,0.783087062,0.801757642,0.63202231
models/FCN/2020-07-03_14-33-01CAT_FUZZYFEAT,4752,MeanOS,0.395033243,0.508992208,0.697941,0.906289601,0.836256717,0.768600914,496,0.0001,0.816205982,4,Relu,175,0.539290138,0.576913314,0.637938049,0.816387713,0.783752717,0.803188137,0.626293975
models/FCN/2020-07-03_14-35-17CAT_FUZZYFEAT,4752,MeanOS,0.367490973,0.468084785,0.792646314,0.91874481,0.871627086,0.715144311,784,0.0001,0.853601913,5,Relu,195,0.553205751,0.586946998,0.640560317,0.804175418,0.788572732,0.827409199,0.631524465
models/FCN/2020-07-03_14-37-36CAT_FUZZYFEAT,4752,MeanOS,0.353439079,0.478508971,0.828700959,0.926607266,0.857547804,0.705731886,789,0.0001,0.829530256,6,Relu,140,0.547575629,0.597697255,0.641757476,0.809934879,0.772884186,0.807814727,0.637442063
models/FCN/2020-07-03_14-39-56CAT_FUZZYFEAT,4752,MeanOS,0.385369142,0.462407716,0.827603181,0.910997828,0.870319311,0.689717102,761,0.0001,0.788630442,7,Relu,253,0.523265759,0.526031667,0.703639081,0.827528303,0.829623089,0.760107679,0.64538324
models/FCN/2020-07-03_14-42-14CAT_FUZZYFEAT,4752,MeanOS,0.349562136,0.515821932,0.75537832,0.928192641,0.837797295,0.727359972,685,0.0001,0.827298388,8,Relu,118,0.552534433,0.589283074,0.609875858,0.805218362,0.781956258,0.822272555,0.620161562
models/FCN/2020-07-03_14-44-33CAT_FUZZYFEAT,4752,MeanOS,0.376200929,0.482813841,0.780147355,0.915290107,0.860771034,0.699202068,634,0.0001,0.824822429,9,Relu,152,0.557425783,0.585812018,0.673889699,0.800978134,0.786990162,0.780170725,0.652105289
models/FCN/2020-07-03_14-46-46CAT_FUZZYFEAT,4752,MeanOS,0.345047522,0.494216731,0.72012675,0.929643373,0.843138405,0.76202213,789,0.0001,0.838397859,10,Relu,164,0.541384925,0.602342593,0.626732108,0.815347568,0.754068688,0.815789344,0.63353871
models/FCN/2020-07-03_14-49-00CAT_FUZZYFEAT,4752,MeanOS,0.409938392,0.460422298,0.746262568,0.899435231,0.857860895,0.750408301,695,0.0001,0.840310043,11,Relu,205,0.526593765,0.530801683,0.632504527,0.827956905,0.80825608,0.821674935,0.601303615
