Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-07-02_12-29-55COMB_INCL_NEW_REF,4831,MeanOS,0.390147683,0.473677909,0.806843153,0.91225645,0.866226877,0.707127038,591,0.0001,0.801088901,0,Relu,310,0.45586214,0.502564369,0.690189348,0.877021904,0.848761084,0.780327285,0.62718003
models/FCN/2020-07-02_12-31-23COMB_INCL_NEW_REF,4831,MeanOS,0.405102973,0.479763565,0.680471865,0.903121029,0.873257696,0.790580342,650,0.0001,0.852841404,1,Relu,455,0.467379191,0.498974283,0.652198709,0.869564033,0.864862738,0.806731099,0.593782916
models/FCN/2020-07-02_12-32-56COMB_INCL_NEW_REF,4831,MeanOS,0.387915836,0.464213837,0.989964941,0.912201462,0.874450598,0.559010466,799,0.0001,0.809113208,2,Relu,155,0.616986455,0.594431587,0.71500208,0.759214093,0.786440832,0.773702246,0.692168573
models/FCN/2020-07-02_12-34-28COMB_INCL_NEW_REF,4831,MeanOS,0.376425216,0.462468142,0.593268064,0.919517553,0.858950926,0.830990213,658,0.0001,0.850836904,3,Relu,528,0.399007318,0.472609522,0.58220363,0.908119071,0.853944709,0.83328137,0.540554616
models/FCN/2020-07-02_12-36-11COMB_INCL_NEW_REF,4831,MeanOS,0.362412768,0.427261273,0.835388379,0.924808545,0.881950824,0.687044112,692,0.0001,0.829525935,4,Relu,194,0.516313662,0.526029162,0.676081119,0.840353819,0.81778233,0.772798865,0.627837525
models/FCN/2020-07-02_12-37-55COMB_INCL_NEW_REF,4831,MeanOS,0.431265519,0.506704854,0.824611233,0.891796314,0.836288812,0.702855807,461,0.0001,0.716469657,5,Relu,796,0.372826583,0.506769399,0.773735694,0.921593337,0.842030578,0.710735197,0.73458283
models/FCN/2020-07-02_12-39-39COMB_INCL_NEW_REF,4831,MeanOS,0.387582422,0.450223766,0.697401197,0.912913079,0.877207232,0.769924137,783,0.0001,0.842764558,6,Relu,263,0.491840813,0.50984088,0.661276213,0.85600914,0.839695145,0.784442497,0.609202358
models/FCN/2020-07-02_12-41-19COMB_INCL_NEW_REF,4831,MeanOS,0.374678007,0.490093896,0.758996719,0.919262351,0.859067643,0.7255592,744,0.0001,0.83228411,7,Relu,348,0.459201571,0.523770414,0.676844947,0.875400897,0.836913744,0.78364823,0.624600352
models/FCN/2020-07-02_12-42-59COMB_INCL_NEW_REF,4831,MeanOS,0.36088395,0.497694389,0.838405773,0.924747654,0.851147099,0.678895858,789,0.0001,0.840198744,8,Relu,221,0.542335604,0.575409781,0.642704364,0.820052154,0.793512889,0.802288202,0.626933873
models/FCN/2020-07-02_12-44-39COMB_INCL_NEW_REF,4831,MeanOS,0.366239136,0.481909798,0.793404051,0.922176001,0.863365892,0.702796626,792,0.0001,0.821539287,9,Relu,265,0.517432347,0.553051525,0.687358048,0.837610281,0.816019508,0.765785309,0.644066006
