Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/Best_Models/2020-04-17_09-51-02RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.386061037,0.492880238,0.67400588,0.910955387,0.843373009,0.792978341,543,0.0001,0.828485459,0,Relu,258,0.471623077,0.52007486,0.645882219,0.863840705,0.823426512,0.796760982,0.602004901
models/Best_Models/2020-04-17_09-56-47RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.385262164,0.492469315,1.012623818,0.912343186,0.845935176,0.563457015,736,0.0001,0.85503059,1,Relu,332,0.528783635,0.569926459,0.591401375,0.824144497,0.7876352,0.838580551,0.597887794
models/Best_Models/2020-04-17_10-02-33RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.425304693,0.506010491,0.805492837,0.89107884,0.827578347,0.698971196,538,0.0001,0.807877252,2,Relu,298,0.509125523,0.536652066,0.726322884,0.839231699,0.803107765,0.751431841,0.666817058
models/Best_Models/2020-04-17_10-08-25RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.376208042,0.46177595,0.68639531,0.915032726,0.872811661,0.778695433,592,0.0001,0.857833269,3,Relu,195,0.504472429,0.514004718,0.633214261,0.841435907,0.841796941,0.811167639,0.590793148
models/Best_Models/2020-04-17_10-14-22RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.371039074,0.486838398,0.780337113,0.919016315,0.842416336,0.710375511,536,0.0001,0.838171789,4,Relu,159,0.525894832,0.541722584,0.625454771,0.827202489,0.799658606,0.803828698,0.604303563
models/Best_Models/2020-04-17_10-20-23RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.367243464,0.505381207,0.924194,0.920301906,0.840481349,0.594792846,726,0.0001,0.811919176,5,Relu,243,0.516522834,0.575506946,0.64141429,0.832727826,0.786720046,0.808307735,0.622871782
models/Best_Models/2020-04-17_10-26-32RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.376251187,0.483066645,0.645481675,0.91526389,0.861340011,0.801813182,598,0.0001,0.841194013,6,Relu,316,0.445748441,0.504342963,0.59503372,0.878882002,0.848203223,0.824124464,0.559402929
models/Best_Models/2020-04-17_10-32-39RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.385284208,0.437183115,0.582993136,0.911408722,0.885017844,0.837777025,646,0.0001,0.841213863,7,Relu,751,0.367584745,0.438503169,0.567749998,0.919851277,0.885061354,0.839903854,0.519797547
models/Best_Models/2020-04-17_10-38-51RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.382752418,0.461673677,0.856287311,0.912483646,0.865037913,0.658143461,617,0.0001,0.844373837,8,Relu,252,0.516652947,0.515392538,0.62575077,0.833200494,0.828729112,0.80324357,0.591797203
models/Best_Models/2020-04-17_10-44-57RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.400404934,0.443477111,0.669752062,0.904334139,0.869324358,0.77068537,611,0.0001,0.829101908,9,Relu,422,0.449997566,0.459213396,0.637308846,0.877778213,0.858725316,0.793915922,0.576512022
models/Best_Models/2020-04-17_10-51-13RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.354810543,0.453685757,0.735420471,0.924974518,0.875930759,0.755893954,647,0.0001,0.837574345,10,Relu,381,0.44345715,0.481158867,0.698490918,0.883943339,0.860108096,0.76915345,0.630292355
models/Best_Models/2020-04-17_10-57-24RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.401307595,0.471170446,0.809035129,0.903230629,0.860901809,0.684655064,527,0.0001,0.836360418,11,Relu,242,0.516777373,0.517765423,0.604746342,0.832891712,0.829555506,0.819114143,0.579981106
models/Best_Models/2020-04-17_11-03-41RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.429875798,0.483448954,0.633878738,0.888402993,0.847409725,0.806173055,376,0.0001,0.840417023,12,Relu,560,0.38485267,0.481530361,0.589922584,0.912319588,0.848950168,0.827497618,0.551077151
models/Best_Models/2020-04-17_11-09-56RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.368235299,0.479043622,0.737698922,0.918926411,0.866482104,0.732101969,545,0.0001,0.852362037,13,Relu,173,0.563059643,0.578312482,0.617771378,0.795853462,0.799856429,0.823347306,0.620557453
models/Best_Models/2020-04-17_11-16-12RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.365000806,0.460914028,0.689409314,0.919883539,0.882801584,0.76674947,791,0.0001,0.831571774,14,Relu,329,0.481930663,0.51719424,0.589965827,0.8546343,0.850213997,0.825716554,0.563535388
models/Best_Models/2020-04-17_11-22-29RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.382601767,0.493914438,0.624546485,0.912690788,0.839018123,0.81823798,631,0.0001,0.844879973,15,Relu,391,0.447653973,0.51743529,0.592470794,0.879243438,0.821884698,0.831427734,0.563999091
models/Best_Models/2020-04-17_11-28-45RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.365568474,0.471921741,0.69457564,0.919870296,0.871559312,0.76220799,726,0.0001,0.845462677,16,Relu,392,0.436367339,0.49807598,0.648696386,0.883924,0.856468306,0.793474948,0.596563582
models/Best_Models/2020-04-17_11-35-01RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.370322387,0.473212871,0.734132695,0.918065306,0.86390828,0.754430203,625,0.0001,0.849034117,17,Relu,109,0.587404316,0.606888081,0.632912853,0.776460428,0.763088787,0.827750012,0.649380748
models/Best_Models/2020-04-17_11-41-13RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.363277925,0.49170267,0.665484907,0.921838355,0.845816323,0.803168033,665,0.0001,0.827023607,18,Relu,547,0.386743174,0.500829421,0.657009786,0.911007792,0.840884272,0.799380536,0.610703891
models/Best_Models/2020-04-17_11-47-25RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.354847025,0.455097862,0.813821584,0.924902034,0.876466049,0.701303136,712,0.0001,0.832734776,19,Relu,259,0.519006557,0.547540434,0.614494155,0.83035576,0.814612088,0.821289827,0.595825469
models/Best_Models/2020-04-17_11-53-45RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.365826403,0.487933764,0.629409876,0.920576279,0.857522303,0.812681962,653,0.0001,0.828933811,20,Relu,408,0.423632266,0.507996702,0.598693993,0.89065247,0.845937145,0.823411183,0.562928814
models/Best_Models/2020-04-17_11-59-57RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.376038876,0.496579235,0.721498684,0.915847936,0.846348535,0.753245489,702,0.0001,0.827707727,21,Relu,346,0.472993254,0.537792153,0.677349256,0.862108847,0.817366441,0.780438326,0.630464995
models/Best_Models/2020-04-17_12-06-08RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.36970263,0.477252544,0.692452819,0.919361306,0.853516626,0.776361805,598,0.0001,0.848399018,22,Relu,284,0.495612663,0.523412356,0.586853371,0.848540716,0.819853517,0.832572809,0.568644557
models/Best_Models/2020-04-17_12-12-20RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.384216048,0.489626005,0.812602585,0.912113842,0.853184625,0.696131635,668,0.0001,0.844022962,23,Relu,342,0.477274025,0.533234972,0.618775936,0.85969542,0.822607509,0.810657263,0.58817104
models/Best_Models/2020-04-17_12-18-33RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.392164401,0.441468713,0.753567107,0.907824647,0.882633713,0.730708094,596,0.0001,0.827003316,24,Relu,309,0.469972801,0.464609696,0.656820564,0.863855769,0.869183673,0.786100854,0.592398113
models/Best_Models/2020-04-17_12-24-48RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.430699844,0.481257106,0.617782098,0.88801178,0.854279535,0.816846955,348,0.0001,0.829877552,25,Relu,358,0.427154846,0.488089189,0.61059705,0.889815397,0.854204719,0.818103791,0.564610865
models/Best_Models/2020-04-17_12-31-02RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.348515639,0.500057685,0.985729958,0.927673406,0.846353814,0.552802427,695,0.0001,0.835727928,26,Relu,224,0.516210222,0.564683074,0.634661843,0.832898772,0.798607638,0.798588742,0.615069341
models/Best_Models/2020-04-17_12-37-16RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.358596998,0.449218105,0.670268591,0.923784461,0.878798842,0.784981068,795,0.0001,0.832879551,27,Relu,344,0.445635475,0.499351733,0.602022683,0.878790931,0.850163303,0.822268515,0.56208998
models/Best_Models/2020-04-17_12-43-37RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.377703852,0.481551081,0.73357403,0.913761648,0.871367178,0.743360468,596,0.0001,0.857046566,28,Relu,234,0.516649979,0.542517691,0.644652205,0.83086957,0.836453439,0.818321653,0.607177767
models/Best_Models/2020-04-17_12-49-50RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.378524261,0.479232527,0.635184773,0.913832599,0.861976264,0.802063607,642,0.0001,0.840280628,29,Relu,665,0.375507535,0.479913291,0.631497248,0.915992276,0.862038022,0.801956526,0.586339909
models/Best_Models/2020-04-17_12-55-59RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.413343404,0.476799338,0.789413259,0.897752327,0.862381165,0.712858114,446,0.0001,0.831717601,30,Relu,161,0.558999061,0.556810834,0.639897478,0.800251671,0.811135023,0.811053356,0.621760977
models/Best_Models/2020-04-17_13-02-09RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.367157111,0.478368913,0.671475317,0.919702206,0.858065003,0.790411894,799,0.0001,0.819274562,31,Relu,303,0.48008278,0.535924086,0.649255289,0.857683002,0.8176425,0.787926633,0.61124317
models/Best_Models/2020-04-17_13-08-23RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.409850119,0.493604226,0.659260741,0.899084498,0.844227313,0.788084802,504,0.0001,0.825863335,32,Relu,298,0.498602751,0.515520139,0.59152889,0.845756669,0.828472159,0.825631562,0.568586928
models/Best_Models/2020-04-17_13-14-36RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.375344059,0.459510113,0.682145602,0.916509212,0.871445584,0.768895883,621,0.0001,0.835909794,33,Relu,246,0.494726809,0.52296612,0.609988274,0.84817483,0.829585393,0.813695953,0.581017202
models/Best_Models/2020-04-17_13-20-52RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.37542791,0.486756331,0.6759315,0.916583233,0.847253553,0.781662365,646,0.0001,0.821213799,34,Relu,427,0.420400541,0.507261429,0.623818402,0.893391535,0.837262746,0.806642902,0.58322119
models/Best_Models/2020-04-17_13-27-07RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.383686428,0.454694647,0.78578616,0.912346028,0.873179358,0.710855262,760,0.0001,0.843617953,35,Relu,328,0.48980606,0.49659932,0.6270148,0.850962579,0.847594381,0.800035443,0.581885113
models/Best_Models/2020-04-17_13-33-19RMSE_COMB_128_1e-4_ADAMW,4752,MeanOS,0.427899586,0.501208799,0.851246358,0.888425129,0.845993205,0.679237613,425,0.0001,0.80352584,36,Relu,185,0.574406805,0.560290946,0.719159183,0.787830477,0.802138243,0.76368736,0.674537231
