Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-06-20_09-27-01DOWN,4752,MeanOS,0.374858939,0.493928784,0.772107895,0.915401949,0.856198939,0.715656991,794,0.0001,0.797550656,0,Relu,276,0.518550497,0.551867256,0.694939442,0.830042722,0.817034644,0.765948403,0.647903889
models/FCN/2020-06-20_09-30-21DOWN,4752,MeanOS,0.381947444,0.49370716,0.831663623,0.912823397,0.851731511,0.685437008,797,0.0001,0.778391597,1,Relu,258,0.538133556,0.588283682,0.695754395,0.816870552,0.781862914,0.776487821,0.662397476
models/FCN/2020-06-20_09-34-12DOWN,4752,MeanOS,0.435182284,0.493879544,0.681186168,0.886312334,0.842172292,0.801718826,684,0.0001,0.811349953,2,Relu,579,0.453723502,0.503354108,0.647625518,0.874901539,0.838652052,0.807070608,0.59485428
models/FCN/2020-06-20_09-38-05DOWN,4752,MeanOS,0.405518632,0.479341143,0.738355253,0.901287504,0.853414736,0.748429002,693,0.0001,0.817219673,3,Relu,313,0.505088863,0.518659362,0.675425489,0.841888239,0.826907896,0.787563065,0.620969559
models/FCN/2020-06-20_09-42-11DOWN,4752,MeanOS,0.370736485,0.465461533,0.804962015,0.917856061,0.867470194,0.716718093,799,0.0001,0.785769282,4,Relu,131,0.610796027,0.609253663,0.693117665,0.755535937,0.75850773,0.78071441,0.685288231
models/FCN/2020-06-20_09-46-11DOWN,4752,MeanOS,0.371854139,0.475116651,0.64263212,0.9180197,0.850703961,0.800958368,778,0.0001,0.842545237,5,Relu,731,0.380977543,0.477927429,0.636605466,0.914586194,0.848510684,0.80038083,0.589971721
models/FCN/2020-06-20_09-50-01DOWN,4752,MeanOS,0.417751196,0.496448051,0.80940814,0.895213524,0.846111664,0.707191843,663,0.0001,0.813847088,6,Relu,260,0.534922343,0.545685517,0.658530833,0.81943029,0.810595315,0.796074178,0.623287517
models/FCN/2020-06-20_09-53-54DOWN,4752,MeanOS,0.375388532,0.488124314,0.842423325,0.915743663,0.862088442,0.702665777,799,0.0001,0.814160359,7,Relu,126,0.585228434,0.599122086,0.695152789,0.776628732,0.784699261,0.790050142,0.671946963
models/FCN/2020-06-20_09-57-49DOWN,4752,MeanOS,0.409142834,0.507645058,0.73675061,0.898974479,0.836918994,0.743261316,737,0.0001,0.78724772,8,Relu,322,0.524842338,0.550987893,0.692103686,0.828609164,0.806124081,0.764174029,0.647735972
models/FCN/2020-06-20_10-01-40DOWN,4752,MeanOS,0.37839334,0.481185491,0.730829637,0.913353438,0.872879507,0.751528072,729,0.0001,0.784298213,9,Relu,779,0.372119781,0.480202606,0.717153633,0.917183177,0.873765797,0.755265251,0.664711171
models/FCN/2020-06-20_10-05-27DOWN,4752,MeanOS,0.41749297,0.523934605,0.730722347,0.893119731,0.845375155,0.75667172,502,0.0001,0.792916897,10,Relu,742,0.369377945,0.525319583,0.694287079,0.918774534,0.847477037,0.765174248,0.658859687
models/FCN/2020-06-20_10-09-16DOWN,4752,MeanOS,0.417840905,0.502769034,0.928422653,0.894648992,0.841746696,0.590023506,686,0.0001,0.804555044,11,Relu,213,0.57100597,0.577383805,0.656843707,0.790948331,0.784762331,0.789520211,0.643640446
models/FCN/2020-06-20_10-13-06DOWN,4752,MeanOS,0.404595063,0.521319413,0.771444187,0.901872279,0.818302359,0.729604155,532,0.0001,0.800031427,12,Relu,172,0.550998099,0.591852717,0.650079125,0.808360251,0.758393517,0.795594335,0.643947999
models/FCN/2020-06-20_10-16-56DOWN,4752,MeanOS,0.39485024,0.46283194,0.777288191,0.906531856,0.872581482,0.717254766,790,0.0001,0.811261407,13,Relu,296,0.534228661,0.566818464,0.654208774,0.819203018,0.801246173,0.802684427,0.627708104
models/FCN/2020-06-20_10-20-43DOWN,4752,MeanOS,0.404499823,0.493318932,0.874152331,0.901631247,0.847123928,0.652127225,560,0.0001,0.768130687,14,Relu,163,0.554928195,0.571416919,0.710212741,0.804131518,0.786619399,0.755099061,0.669951429
models/FCN/2020-06-20_10-24-30DOWN,4752,MeanOS,0.402969381,0.486134187,0.816053677,0.902258052,0.858075783,0.685384867,759,0.0001,0.784717646,15,Relu,244,0.545942267,0.560509543,0.675719829,0.810101698,0.806514864,0.779396598,0.641266197
models/FCN/2020-06-20_10-28-21DOWN,4752,MeanOS,0.399851195,0.497803861,0.783159174,0.903554881,0.852260496,0.709087759,646,0.0001,0.810079391,16,Relu,232,0.532219451,0.564761862,0.661151305,0.820379976,0.805824715,0.797938809,0.63041294
