Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-07-03_14-20-32FUZZY_FEAT_32,4752,MeanOS,0.915301327,0.950363649,1.052811194,0.175096346,0.109792286,0.209542735,224,0.001,0.263173495,0,Relu,973,0.901892907,0.940499122,1.049445098,0.241471615,0.17981955,0.207111112,1.25686344
models/FCN/2020-07-03_14-22-18FUZZY_FEAT_32,4752,MeanOS,0.916684731,0.928876018,1.044052517,0.170152621,0.201166021,0.265285893,231,0.001,0.346846799,1,Relu,864,0.903155452,0.914936593,1.041554777,0.242627548,0.261060099,0.270896739,1.21607914
models/FCN/2020-07-03_14-24-17FUZZY_FEAT_32,4752,MeanOS,0.915617317,0.944128727,1.055520746,0.174647237,0.124637977,0.20604313,231,0.001,0.279322906,2,Relu,876,0.90250378,0.935898481,1.033338973,0.248216814,0.182885329,0.249637587,1.239176668
models/FCN/2020-07-03_14-26-55FUZZY_FEAT_32,4752,MeanOS,0.92273718,0.862590359,1.070474648,0.175306263,0.268361467,0.2055483,319,0.001,0.289696239,3,Relu,791,0.912411445,0.854816827,1.06086653,0.224742124,0.289163596,0.21039458,1.229944835
models/FCN/2020-07-03_14-29-40FUZZY_FEAT_32,4752,MeanOS,0.915952726,0.916304182,1.053556226,0.188726996,0.144011025,0.239842939,164,0.001,0.288208606,4,Relu,864,0.896363339,0.914401671,1.061393407,0.278816499,0.177399839,0.206254518,1.249489622
models/FCN/2020-07-03_14-32-23FUZZY_FEAT_32,4752,MeanOS,0.918975742,0.937222844,1.049340638,0.158596577,0.108217329,0.244975254,231,0.001,0.257777925,5,Relu,868,0.906118054,0.936502222,1.061918772,0.229138077,0.136689934,0.242779428,1.268194914
models/FCN/2020-07-03_14-35-09FUZZY_FEAT_32,4752,MeanOS,0.921623753,0.914446334,1.049212015,0.155318094,0.13792871,0.251246729,202,0.001,0.283719746,6,Relu,842,0.909750273,0.913805603,1.032234899,0.221138656,0.154336097,0.229064918,1.250735475
models/FCN/2020-07-03_14-37-49FUZZY_FEAT_32,4752,MeanOS,0.918701117,0.953842535,1.059763509,0.15010444,0.09607194,0.182458602,218,0.001,0.275263604,7,Relu,952,0.90408149,0.946178939,1.028078596,0.235515091,0.165218119,0.274517675,1.244328872
models/FCN/2020-07-03_14-40-31FUZZY_FEAT_32,4752,MeanOS,0.923574107,0.887295939,1.052444216,0.161695751,0.139481793,0.251778089,188,0.001,0.316835454,8,Relu,962,0.904389414,0.873750307,1.039506373,0.258617165,0.230278086,0.249066232,1.216116376
models/FCN/2020-07-03_14-43-15FUZZY_FEAT_32,4752,MeanOS,0.921217092,0.92378533,1.051146734,0.150587497,0.142252235,0.229230669,231,0.001,0.284349634,9,Relu,717,0.898539416,0.911690956,1.035814956,0.274568059,0.238620293,0.258366885,1.213222129
models/FCN/2020-07-03_14-45-59FUZZY_FEAT_32,4752,MeanOS,0.924155789,0.876293067,1.051040625,0.157970779,0.210033037,0.262171699,271,0.001,0.30581694,10,Relu,802,0.911297972,0.868902378,1.032920667,0.231634757,0.245523814,0.264591501,1.214049052
models/FCN/2020-07-03_14-48-41FUZZY_FEAT_32,4752,MeanOS,0.92833004,0.865880596,1.04796933,0.141880211,0.166508932,0.267198217,197,0.001,0.279999769,11,Relu,920,0.910535851,0.85504711,1.035727478,0.241885495,0.2355769,0.258578805,1.214332005
models/FCN/2020-07-03_14-51-23FUZZY_FEAT_32,4752,MeanOS,0.91763561,0.930622323,1.054758726,0.169230617,0.149042662,0.224277939,227,0.001,0.253749329,12,Relu,683,0.908290848,0.930499174,1.043837267,0.219605383,0.151460163,0.250893673,1.256934398
models/FCN/2020-07-03_14-54-06FUZZY_FEAT_32,4752,MeanOS,0.913691849,0.933200989,1.052898146,0.190085693,0.151391312,0.258246881,218,0.001,0.299974172,13,Relu,809,0.905173327,0.935731245,1.035482322,0.236801784,0.145590283,0.253925662,1.252510738
models/FCN/2020-07-03_14-56-48FUZZY_FEAT_32,4752,MeanOS,0.915671513,0.934736022,1.05157161,0.181541655,0.107401657,0.234260674,227,0.001,0.311755572,14,Relu,827,0.903859662,0.925058842,1.032850867,0.241272431,0.180547524,0.247155147,1.238865017
models/FCN/2020-07-03_14-59-32FUZZY_FEAT_32,4752,MeanOS,0.923591388,0.917802922,1.045551449,0.131103876,0.214281457,0.285324735,234,0.001,0.288654565,15,Relu,968,0.911713486,0.911721404,1.068524986,0.207799081,0.223353439,0.20227865,1.255626709
models/FCN/2020-07-03_15-02-13FUZZY_FEAT_32,4752,MeanOS,0.925941612,0.883953381,1.044546887,0.145111107,0.162528918,0.258862907,230,0.001,0.320982911,16,Relu,823,0.915949296,0.873929324,1.01731014,0.218817499,0.232952,0.313855144,1.208261096
models/FCN/2020-07-03_15-04-55FUZZY_FEAT_32,4752,MeanOS,0.918451484,0.892143759,1.053874887,0.183804822,0.199075456,0.250769031,277,0.001,0.318391771,17,Relu,817,0.912075819,0.927378556,0.997666596,0.232611773,0.203351755,0.310632679,1.215483391
models/FCN/2020-07-03_15-07-35FUZZY_FEAT_32,4752,MeanOS,0.923695319,0.883389984,1.052146614,0.161666813,0.163530656,0.24273473,208,0.001,0.285954602,18,Relu,394,0.916588084,0.901018802,1.021778358,0.212873542,0.126124803,0.280821246,1.250510655
models/FCN/2020-07-03_15-10-18FUZZY_FEAT_32,4752,MeanOS,0.921010971,0.923601935,1.051694663,0.153272483,0.132609058,0.240552403,224,0.001,0.290448916,19,Relu,908,0.908767854,0.913256607,1.024917,0.252090418,0.217612517,0.247646785,1.222369381
models/FCN/2020-07-03_15-12-59FUZZY_FEAT_32,4752,MeanOS,0.917824302,0.955575165,1.040345044,0.149274734,0.134609873,0.279180784,229,0.001,0.279419543,20,Relu,995,0.906165846,0.945748235,1.056174662,0.21963937,0.197115946,0.227390295,1.256883388
models/FCN/2020-07-03_15-15-53FUZZY_FEAT_32,4752,MeanOS,0.916909806,0.959194251,1.049892312,0.153761818,0.125377878,0.25986825,227,0.001,0.267684643,21,Relu,784,0.910998249,0.958524164,1.042071008,0.193533486,0.128984751,0.258739358,1.275139993
models/FCN/2020-07-03_15-18-35FUZZY_FEAT_32,4752,MeanOS,0.934530336,0.962372345,1.064671616,0.010882146,-0.011823685,-0.234641457,15,0.001,0.269210351,22,Relu,519,0.900475206,0.949650204,1.040257205,0.244832993,0.169333451,0.250008612,1.249213852
models/FCN/2020-07-03_15-21-18FUZZY_FEAT_32,4752,MeanOS,0.924876946,0.934401368,1.065478611,0.115165122,0.139679658,0.166293377,131,0.001,0.329479239,23,Relu,964,0.910822946,0.935761862,1.028179722,0.206732703,0.130438649,0.286902103,1.258463741
models/FCN/2020-07-03_15-24-01FUZZY_FEAT_32,4752,MeanOS,0.922987921,0.919815859,1.053526231,0.144489633,0.106309078,0.21889822,186,0.001,0.321374949,24,Relu,890,0.896481248,0.900138431,1.049950266,0.276354822,0.231705779,0.242677399,1.219838627
models/FCN/2020-07-03_15-26-44FUZZY_FEAT_32,4752,MeanOS,0.919726327,0.93247222,1.052357301,0.157578264,0.106398027,0.257979299,178,0.001,0.306931645,25,Relu,998,0.905870168,0.92674757,1.017678719,0.247792207,0.180073051,0.291620648,1.22698504
models/FCN/2020-07-03_15-29-27FUZZY_FEAT_32,4752,MeanOS,0.924746307,0.894552626,1.051448373,0.144281888,0.183499421,0.263805094,230,0.001,0.339339148,26,Relu,764,0.915348407,0.885742621,1.013105126,0.203826677,0.219420774,0.339339148,1.21275546
models/FCN/2020-07-03_15-32-08FUZZY_FEAT_32,4752,MeanOS,0.924055485,0.885973065,1.079850524,0.166872332,0.150576021,0.185851227,193,0.001,0.220973778,27,Relu,522,0.920766067,0.902471955,1.030216015,0.207531965,0.180634499,0.216917887,1.248845519
models/FCN/2020-07-03_15-34-50FUZZY_FEAT_32,4752,MeanOS,0.913947243,0.92019201,1.038070166,0.200042324,0.114900105,0.276239311,228,0.001,0.350109593,28,Relu,505,0.899207122,0.904391861,1.059082454,0.278850637,0.207004878,0.203031019,1.239084299
models/FCN/2020-07-03_15-37-32FUZZY_FEAT_32,4752,MeanOS,0.920455044,0.938933195,1.0546802,0.146501085,0.117223529,0.215748651,231,0.001,0.366170036,29,Relu,682,0.907455247,0.937253244,1.022602896,0.224957597,0.178919633,0.366170036,1.230585183
models/FCN/2020-07-03_15-40-14FUZZY_FEAT_32,4752,MeanOS,0.923908786,0.917527931,1.056312209,0.139352353,0.107587745,0.195189775,231,0.001,0.221845346,30,Relu,997,0.910018104,0.915440346,1.055237388,0.222305011,0.143167942,0.206005505,1.26676698
models/FCN/2020-07-03_15-42-56FUZZY_FEAT_32,4752,MeanOS,0.935531863,0.916688467,1.069544696,-0.043062725,0.017995358,-0.276302284,27,0.001,0.277467981,31,Relu,962,0.90206103,0.911188403,1.032666282,0.262618453,0.138191567,0.225277823,1.248445844
models/FCN/2020-07-03_15-45-36FUZZY_FEAT_32,4752,MeanOS,0.921991773,0.914806952,1.041707268,0.146273382,0.187835204,0.30032102,231,0.001,0.302565773,32,Relu,998,0.902774525,0.895477896,1.058905865,0.250145717,0.275202328,0.201987307,1.230039761
models/FCN/2020-07-03_15-48-18FUZZY_FEAT_32,4752,MeanOS,0.918009283,0.957672553,1.049905527,0.147078999,0.126920168,0.236711153,111,0.001,0.305336675,33,Relu,713,0.892218279,0.935360769,1.040376936,0.276777391,0.251089592,0.239437314,1.221120117
models/FCN/2020-07-03_15-50-58FUZZY_FEAT_32,4752,MeanOS,0.917856474,0.894505467,1.052475056,0.180823129,0.237555149,0.250923257,354,0.001,0.288853524,34,Relu,653,0.914039796,0.893676243,1.038901714,0.203645321,0.237418938,0.242588582,1.232529464
models/FCN/2020-07-03_15-53-41FUZZY_FEAT_32,4752,MeanOS,0.920562148,0.915506642,1.046060452,0.160660849,0.143904036,0.267272964,231,0.001,0.275260901,35,Relu,986,0.909200395,0.918243956,1.044801814,0.229757536,0.147327932,0.211896414,1.260046201
models/FCN/2020-07-03_15-56-24FUZZY_FEAT_32,4752,MeanOS,0.930443092,0.88610791,1.04921529,0.112320492,0.160551514,0.28092298,49,0.001,0.308493166,36,Relu,907,0.90989011,0.879583864,1.052649357,0.238076575,0.194739813,0.211314808,1.243393676
models/FCN/2020-07-03_15-59-04FUZZY_FEAT_32,4752,MeanOS,0.924715033,0.912195856,1.061114003,0.135699565,0.144194448,0.199399882,231,0.001,0.285047114,37,Relu,881,0.904102008,0.89545741,1.036050706,0.253149735,0.236401602,0.229865841,1.221316244
models/FCN/2020-07-03_16-01-46FUZZY_FEAT_32,4752,MeanOS,0.920804492,0.896988632,1.079059917,0.167591754,0.179761837,0.155117246,166,0.001,0.262684896,38,Relu,634,0.913433894,0.904226487,1.039958367,0.221512999,0.201787863,0.219939236,1.242292333
models/FCN/2020-07-03_16-04-29FUZZY_FEAT_32,4752,MeanOS,0.91725921,0.932374582,1.05540706,0.170395267,0.136955843,0.263685908,231,0.001,0.303705003,39,Relu,632,0.90129211,0.938057375,1.049758209,0.25140204,0.137874602,0.251635473,1.257293936
models/FCN/2020-07-03_16-07-11FUZZY_FEAT_32,4752,MeanOS,0.921008555,0.914743392,1.048832242,0.158524206,0.141381231,0.28405442,215,0.001,0.326077371,40,Relu,604,0.912897641,0.918130582,1.018111952,0.211931377,0.160327851,0.308837495,1.237966013
models/FCN/2020-07-03_16-09-52FUZZY_FEAT_32,4752,MeanOS,0.927254012,0.895848178,1.051690418,0.12871031,0.13254504,0.210076243,231,0.001,0.261840651,41,Relu,675,0.917502818,0.89650871,1.047829957,0.194965376,0.156646979,0.221868063,1.261502682
models/FCN/2020-07-03_16-12-34FUZZY_FEAT_32,4752,MeanOS,0.925916076,0.908181129,1.055993172,0.133037265,0.093458527,0.21008641,231,0.001,0.299580144,42,Relu,987,0.91267944,0.910683077,1.027728644,0.213316623,0.117371636,0.279325236,1.256101288
models/FCN/2020-07-03_16-15-18FUZZY_FEAT_32,4752,MeanOS,0.923898139,0.906566751,1.043709534,0.145753448,0.127464664,0.254433819,182,0.001,0.308385428,43,Relu,811,0.911011102,0.909601132,1.0331673,0.229743909,0.149871501,0.235552539,1.248775849
models/FCN/2020-07-03_16-17-59FUZZY_FEAT_32,4752,MeanOS,0.921996715,0.954261056,1.057230394,0.124437466,0.077628392,0.183037584,138,0.001,0.259934406,44,Relu,971,0.904022562,0.958365929,1.05729985,0.234628001,0.116151838,0.248451891,1.276159315
models/FCN/2020-07-03_16-20-46FUZZY_FEAT_32,4752,MeanOS,0.922069429,0.886502768,1.067759375,0.171483641,0.133346816,0.197064726,179,0.001,0.312648617,45,Relu,713,0.921235042,0.91180822,0.997277112,0.184295716,0.163290208,0.302930727,1.237022639
models/FCN/2020-07-03_16-23-28FUZZY_FEAT_32,4752,MeanOS,0.921413482,0.93459696,1.049189377,0.1397505,0.153222053,0.263256882,231,0.001,0.274087776,46,Relu,846,0.90704769,0.925446347,1.033238386,0.224064238,0.205909882,0.267315451,1.233430188
models/FCN/2020-07-03_16-26-12FUZZY_FEAT_32,4752,MeanOS,0.926350526,0.888811924,1.065714838,0.138159911,0.176507112,0.148322696,231,0.001,0.23421506,47,Relu,939,0.914890183,0.884275397,1.050926797,0.209214437,0.19445498,0.220025198,1.248363042
models/FCN/2020-07-03_16-28-54FUZZY_FEAT_32,4752,MeanOS,0.916392595,0.938149967,1.051746164,0.170793898,0.148046207,0.252787387,241,0.001,0.285565164,48,Relu,630,0.908157673,0.940065342,1.026257751,0.224963383,0.140180995,0.235107234,1.257336673
models/FCN/2020-07-03_16-31-37FUZZY_FEAT_32,4752,MeanOS,0.927258335,0.871416014,1.050687516,0.145421839,0.16686002,0.23908066,231,0.001,0.330539898,49,Relu,989,0.910312808,0.872621623,1.04980334,0.239587496,0.181415739,0.243644361,1.238083913
models/FCN/2020-07-03_16-34-19FUZZY_FEAT_32,4752,MeanOS,0.923202713,0.944253137,1.053493132,0.131262041,0.085498362,0.24777286,49,0.001,0.294051952,50,Relu,904,0.889584075,0.93948143,1.04428376,0.296219109,0.183269345,0.236047607,1.238507985
models/FCN/2020-07-03_16-37-02FUZZY_FEAT_32,4752,MeanOS,0.914862624,0.92381413,1.061217282,0.18611024,0.191875183,0.226168271,230,0.001,0.287428545,51,Relu,989,0.900291244,0.913035492,1.052507124,0.255066099,0.249165221,0.211840175,1.231741158
models/FCN/2020-07-03_16-39-45FUZZY_FEAT_32,4752,MeanOS,0.927310964,0.916241235,1.052248033,0.125446337,0.04772947,0.267690044,92,0.001,0.292729307,52,Relu,965,0.907635678,0.913636289,1.029653509,0.239887358,0.145910624,0.268253111,1.242754855
models/FCN/2020-07-03_16-42-32FUZZY_FEAT_32,4752,MeanOS,0.915368348,0.946473176,1.048739897,0.167525319,0.184720225,0.265682933,277,0.001,0.328008047,53,Relu,481,0.90113053,0.940299447,1.024652555,0.241235668,0.232111734,0.272422863,1.222380413
models/FCN/2020-07-03_16-45-18FUZZY_FEAT_32,4752,MeanOS,0.923231856,0.893769257,1.049109228,0.158038754,0.151433298,0.261127656,226,0.001,0.268141649,54,Relu,767,0.905018961,0.876236886,1.043760204,0.263393486,0.26196742,0.20017153,1.222132385
models/FCN/2020-07-03_16-48-02FUZZY_FEAT_32,4752,MeanOS,0.92258351,0.905883087,1.054866572,0.153862215,0.151475871,0.221489124,231,0.001,0.281817248,55,Relu,905,0.908217852,0.90040714,1.033363332,0.234389348,0.1878128,0.258556143,1.231977519
models/FCN/2020-07-03_16-50-45FUZZY_FEAT_32,4752,MeanOS,0.912184825,0.9400662,1.066706782,0.191899755,0.180768639,0.170756205,219,0.001,0.321872545,56,Relu,848,0.902781616,0.929172839,1.038524047,0.239545881,0.231277507,0.258221043,1.227882264
models/FCN/2020-07-03_16-53-28FUZZY_FEAT_32,4752,MeanOS,0.920917069,0.908539446,1.058363361,0.159095576,0.192896627,0.213564369,229,0.001,0.290143704,57,Relu,811,0.910940684,0.908919701,1.021867011,0.215939856,0.205944138,0.26599597,1.227851941
models/FCN/2020-07-03_16-56-12FUZZY_FEAT_32,4752,MeanOS,0.916500663,0.919387393,1.058087599,0.179577897,0.18809676,0.248959792,230,0.001,0.309652103,58,Relu,814,0.907077107,0.923139163,1.038808903,0.227338745,0.182842884,0.307421308,1.235426118
models/FCN/2020-07-03_16-58-56FUZZY_FEAT_32,4752,MeanOS,0.913404799,0.973806806,1.050903271,0.160658916,0.179973576,0.265854012,231,0.001,0.286315355,59,Relu,995,0.900705116,0.952858921,1.045332791,0.230900894,0.276523402,0.220273047,1.237546568
