Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-07-02_13-46-43CAT_FUZZYFEAT,4752,MeanOS,0.377063064,0.49034172,0.909905082,0.915522658,0.846663205,0.640372046,719,0.0001,0.831837955,0,Relu,191,0.538505833,0.551232368,0.636731719,0.817304297,0.800707648,0.813039013,0.61406798
models/FCN/2020-07-02_13-50-01CAT_FUZZYFEAT,4752,MeanOS,0.401406934,0.470735378,0.843784405,0.90361159,0.85751998,0.682892932,577,0.0001,0.817665452,1,Relu,144,0.592681929,0.589892165,0.643589328,0.773287423,0.766634265,0.804856593,0.65006729
models/FCN/2020-07-02_13-53-33CAT_FUZZYFEAT,4752,MeanOS,0.375350193,0.476976139,0.889555639,0.91730671,0.849746901,0.639438998,677,0.0001,0.827793589,2,Relu,210,0.541725591,0.549739001,0.651186387,0.815639321,0.796242009,0.801995685,0.622860238
models/FCN/2020-07-02_13-57-04CAT_FUZZYFEAT,4752,MeanOS,0.357310822,0.491474403,0.786224284,0.924206331,0.847196865,0.720603087,794,0.0001,0.82737727,3,Relu,299,0.479371764,0.550760072,0.642839544,0.859188803,0.805248538,0.804725831,0.609900935
models/FCN/2020-07-02_14-00-32CAT_FUZZYFEAT,4752,MeanOS,0.387362901,0.513004063,0.815488029,0.909974119,0.83362043,0.681988533,497,0.0001,0.820235781,4,Relu,161,0.55497324,0.594977549,0.623874959,0.804194019,0.767691522,0.810398974,0.631327751
models/FCN/2020-07-02_14-04-00CAT_FUZZYFEAT,4752,MeanOS,0.400036077,0.501880861,0.888641893,0.902894732,0.850793759,0.642572868,598,0.0001,0.841233867,5,Relu,198,0.548390676,0.581558415,0.607397853,0.808008192,0.792931903,0.821951043,0.613762953
models/FCN/2020-07-02_14-07-31CAT_FUZZYFEAT,4752,MeanOS,0.351071896,0.472796522,0.907780742,0.926995948,0.861307296,0.616237909,799,0.0001,0.83392042,6,Relu,157,0.535693137,0.585709409,0.624219337,0.819218843,0.782287707,0.811346242,0.621355576
models/FCN/2020-07-02_14-11-02CAT_FUZZYFEAT,4752,MeanOS,0.386961761,0.460491951,0.925386648,0.910648796,0.871374762,0.619510783,797,0.0001,0.784506731,7,Relu,243,0.532946333,0.536798145,0.680095103,0.82045914,0.821512615,0.768765142,0.635005256
models/FCN/2020-07-02_14-14-27CAT_FUZZYFEAT,4752,MeanOS,0.350790547,0.517654486,0.670136688,0.926679042,0.837058256,0.784173895,642,0.0001,0.829402923,8,Relu,127,0.542873263,0.590322211,0.611504696,0.812632264,0.781413678,0.819769475,0.618530877
models/FCN/2020-07-02_14-17-56CAT_FUZZYFEAT,4752,MeanOS,0.390803064,0.495086964,0.898923815,0.908120324,0.853031512,0.594647022,558,0.0001,0.832247987,9,Relu,146,0.566663162,0.591730036,0.644438447,0.793499089,0.78196106,0.799373896,0.641023853
models/FCN/2020-07-02_14-21-26CAT_FUZZYFEAT,4752,MeanOS,0.351948064,0.492905072,0.796820836,0.926638685,0.843881588,0.706436505,790,0.0001,0.847148318,10,Relu,173,0.538499074,0.596720274,0.631902032,0.817531109,0.759246493,0.818703661,0.632323255
models/FCN/2020-07-02_14-24-54CAT_FUZZYFEAT,4752,MeanOS,0.424524677,0.462246209,0.736625739,0.891574641,0.856562341,0.755092515,575,0.0001,0.855306962,11,Relu,174,0.545729801,0.540290349,0.588180326,0.812792699,0.797904807,0.848959727,0.590575805
models/FCN/2020-07-02_14-28-26CAT_FUZZYFEAT,4752,MeanOS,0.392272643,0.471480523,1.082804258,0.908352851,0.858798171,0.462666158,753,0.0001,0.855392172,12,Relu,272,0.561216633,0.545668904,0.588549679,0.799338748,0.80510008,0.847410229,0.597431231
models/FCN/2020-07-02_14-31-55CAT_FUZZYFEAT,4752,MeanOS,0.390644818,0.493542625,0.763264144,0.908055547,0.852052284,0.721902482,585,0.0001,0.813911044,13,Relu,223,0.527834061,0.54808014,0.643597544,0.82496173,0.815456302,0.795657304,0.614913821
models/FCN/2020-07-02_14-35-21CAT_FUZZYFEAT,4752,MeanOS,0.404106876,0.459717963,0.849528221,0.90145629,0.875989786,0.664047223,616,0.0001,0.827462549,14,Relu,156,0.588805662,0.573444088,0.618533831,0.774217316,0.79936104,0.814053835,0.630587451
models/FCN/2020-07-02_14-38-50CAT_FUZZYFEAT,4752,MeanOS,0.396678792,0.506661464,0.800788094,0.904977667,0.846638539,0.70212046,476,0.0001,0.831653865,15,Relu,88,0.573169932,0.603102521,0.670141646,0.787953144,0.774272642,0.804726005,0.658531476
models/FCN/2020-07-02_14-42-13CAT_FUZZYFEAT,4752,MeanOS,0.375404532,0.472955416,0.725626978,0.916855705,0.856565859,0.747033945,666,0.0001,0.827091831,16,Relu,237,0.510147364,0.538210896,0.605054287,0.838400675,0.808160284,0.81890392,0.587726041
models/FCN/2020-07-02_14-45-41CAT_FUZZYFEAT,4752,MeanOS,0.39857512,0.486038109,0.779045404,0.906170995,0.850437648,0.737378847,560,0.0001,0.838136562,17,Relu,168,0.563645356,0.563930951,0.627116615,0.797283938,0.792603414,0.817864708,0.621083773
models/FCN/2020-07-02_14-48-59CAT_FUZZYFEAT,4752,MeanOS,0.378681331,0.488957364,0.695053347,0.916510859,0.827416788,0.780713292,607,0.0001,0.832110739,18,Relu,203,0.530927154,0.557108575,0.642140264,0.825052766,0.770981513,0.801025695,0.623134919
models/FCN/2020-07-02_14-52-24CAT_FUZZYFEAT,4752,MeanOS,0.414411136,0.452370608,0.652501117,0.896232608,0.880036273,0.802358965,484,0.0001,0.84986483,19,Relu,794,0.363392053,0.458657307,0.600431472,0.921860946,0.879440323,0.820933434,0.554128422
models/FCN/2020-07-02_14-55-42CAT_FUZZYFEAT,4752,MeanOS,0.394624923,0.494258823,0.735944222,0.906534196,0.844397669,0.740612174,660,0.0001,0.839919696,20,Relu,342,0.462513167,0.518503666,0.639905344,0.869567947,0.827007056,0.800676624,0.596850123
models/FCN/2020-07-02_14-59-12CAT_FUZZYFEAT,4752,MeanOS,0.397159203,0.469920641,0.760439961,0.904842172,0.867032619,0.737933089,691,0.0001,0.832089669,21,Relu,232,0.531426863,0.521586121,0.610016368,0.8216031,0.833708097,0.825715274,0.587527598
models/FCN/2020-07-02_15-02-36CAT_FUZZYFEAT,4752,MeanOS,0.414674953,0.47114156,0.754120669,0.895899191,0.868031707,0.755236612,649,0.0001,0.857318479,22,Relu,360,0.490156067,0.504269057,0.667195054,0.850851508,0.85017764,0.80205808,0.606576581
models/FCN/2020-07-02_15-06-06CAT_FUZZYFEAT,4752,MeanOS,0.372584918,0.457399419,0.857258114,0.916610916,0.875986084,0.67852207,593,0.0001,0.841401117,23,Relu,122,0.583306484,0.570214385,0.630205936,0.779628864,0.799191809,0.832359753,0.63120745
models/FCN/2020-07-02_15-09-27CAT_FUZZYFEAT,4752,MeanOS,0.416821147,0.502454936,0.878302455,0.895290967,0.841662396,0.662656573,536,0.0001,0.821281564,24,Relu,145,0.56480388,0.584440311,0.628876881,0.7959719,0.782792052,0.81370184,0.630375483
models/FCN/2020-07-02_15-12-53CAT_FUZZYFEAT,4752,MeanOS,0.373407118,0.463005465,0.884988593,0.916449668,0.872233542,0.673335505,746,0.0001,0.833806862,25,Relu,177,0.555244474,0.55487806,0.616951109,0.803051897,0.809234128,0.830210721,0.608724461
models/FCN/2020-07-02_15-16-10CAT_FUZZYFEAT,4752,MeanOS,0.390913983,0.471856339,0.869308831,0.907907316,0.868251245,0.668895899,612,0.0001,0.842989485,26,Relu,160,0.554093061,0.570379711,0.603209238,0.80334662,0.800698281,0.833999154,0.608492832
models/FCN/2020-07-02_15-19-35CAT_FUZZYFEAT,4752,MeanOS,0.370396787,0.450006477,0.715421717,0.918754624,0.867591902,0.756682603,599,0.0001,0.828684015,27,Relu,200,0.507845423,0.516888974,0.618792266,0.839736424,0.822671783,0.807437978,0.587122407
models/FCN/2020-07-02_15-22-49CAT_FUZZYFEAT,4752,MeanOS,0.399504901,0.474396122,0.691005608,0.905145884,0.843100016,0.778431321,551,0.0001,0.862770882,28,Relu,197,0.53938418,0.529224585,0.599819554,0.818564484,0.798217432,0.839150783,0.590630076
models/FCN/2020-07-02_15-26-12CAT_FUZZYFEAT,4752,MeanOS,0.387701407,0.47290202,0.820912675,0.909823359,0.860847228,0.694294961,611,0.0001,0.824870882,29,Relu,223,0.563365132,0.58586451,0.63008833,0.797260752,0.776746144,0.818891531,0.631629175
models/FCN/2020-07-02_15-29-29CAT_FUZZYFEAT,4752,MeanOS,0.397831724,0.486302041,0.792166273,0.905020407,0.84766456,0.708833189,562,0.0001,0.819550383,30,Relu,191,0.536131934,0.549191402,0.635442795,0.819515533,0.801570964,0.801903905,0.61333678
models/FCN/2020-07-02_15-32-56CAT_FUZZYFEAT,4752,MeanOS,0.382308427,0.447632791,0.894223747,0.912726544,0.87311331,0.629304405,675,0.0001,0.814719773,31,Relu,233,0.554402239,0.535238795,0.62055854,0.804894182,0.812467289,0.805324489,0.607737643
models/FCN/2020-07-02_15-36-13CAT_FUZZYFEAT,4752,MeanOS,0.361142246,0.475332643,0.876811741,0.921954379,0.868229097,0.630266785,718,0.0001,0.821039789,32,Relu,164,0.556204676,0.589895894,0.643276636,0.801442219,0.78840258,0.790508575,0.637320498
models/FCN/2020-07-02_15-39-41CAT_FUZZYFEAT,4752,MeanOS,0.424628023,0.465514266,0.764433875,0.891400999,0.861801567,0.711526926,799,0.0001,0.81104755,33,Relu,434,0.497642967,0.508089354,0.656907078,0.847294101,0.83320801,0.786209286,0.606504943
models/FCN/2020-07-02_15-43-06CAT_FUZZYFEAT,4752,MeanOS,0.406872546,0.49580155,0.716493301,0.900534158,0.839061286,0.749732125,553,0.0001,0.815892244,34,Relu,165,0.557600267,0.564020316,0.624276011,0.802834887,0.785440326,0.801315686,0.620348309
