Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-07-02_13-48-05CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.426962994,0.504342432,0.760175697,0.893444175,0.847967559,0.740220926,470,0.0001,0.833781374,0,Relu,137,0.582026542,0.583401412,0.66102784,0.789329519,0.790395772,0.812475577,0.64690314
models/FCN/2020-07-02_13-51-50CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.386533652,0.47828821,0.785285879,0.914255907,0.860560326,0.733482603,656,0.0001,0.812399681,1,Relu,162,0.571346629,0.583379715,0.656120298,0.797866816,0.784891642,0.81024193,0.642743858
models/FCN/2020-07-02_13-55-18CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.380655486,0.459619071,0.907775925,0.915969608,0.884130475,0.644842153,722,0.0001,0.813813907,2,Relu,292,0.488938256,0.511825918,0.652312267,0.856394787,0.856870361,0.797410076,0.600383192
models/FCN/2020-07-02_13-58-50CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.368425145,0.502378128,0.811018318,0.921295513,0.852637264,0.699580522,714,0.0001,0.83784996,3,Relu,243,0.507580751,0.560814343,0.625163018,0.844470455,0.811716735,0.817129592,0.603657358
models/FCN/2020-07-02_14-02-25CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.391550013,0.468478448,0.762062835,0.912096022,0.861832118,0.72755696,576,0.0001,0.834019471,4,Relu,208,0.531267863,0.531825538,0.618202315,0.829085702,0.816789556,0.819070753,0.594644357
models/FCN/2020-07-02_14-06-00CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.43281339,0.493563536,0.688636793,0.889770943,0.856770274,0.774384101,539,0.0001,0.853767148,5,Relu,292,0.510787154,0.522727618,0.5854102,0.84389627,0.838332465,0.829571154,0.568743419
models/FCN/2020-07-02_14-09-37CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.403329411,0.491365542,0.778362841,0.905082044,0.854726144,0.71194687,540,0.0001,0.834933291,6,Relu,131,0.568511469,0.585629586,0.662168388,0.800917494,0.789485872,0.811089849,0.644664901
models/FCN/2020-07-02_14-13-08CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.387766138,0.465700316,0.829776813,0.912184292,0.874776801,0.667814265,784,0.0001,0.781372586,7,Relu,267,0.522137454,0.531497723,0.659818337,0.834265996,0.83685088,0.781372586,0.617701432
models/FCN/2020-07-02_14-16-42CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.370646198,0.467364853,0.753159819,0.919973399,0.881572314,0.746106904,640,0.0001,0.833256304,8,Relu,111,0.555800125,0.583859543,0.621540969,0.807749784,0.807624582,0.820478915,0.620078224
models/FCN/2020-07-02_14-20-12CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.369231819,0.460197409,0.911110631,0.921441276,0.866633912,0.599479764,716,0.0001,0.845863492,9,Relu,185,0.5427942,0.562190782,0.638512645,0.820696677,0.793389414,0.80980163,0.620112776
