Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-07-02_12-47-10FUZZY_FEAT_32,4752,MeanOS,0.918585836,0.947896741,1.036314521,0.15069242,0.139822242,0.211816003,81,0.001,0.266190566,0,Relu,659,0.90444322,0.937437992,1.02293417,0.230296795,0.200809386,0.240602708,1.23687416
models/FCN/2020-07-02_12-59-29FUZZY_FEAT_32,4752,MeanOS,0.918585836,0.947896741,1.036314521,0.15069242,0.139822242,0.211816003,81,0.001,0.266190566,0,Relu,659,0.90444322,0.937437992,1.02293417,0.230296795,0.200809386,0.240602708,1.23687416
models/FCN/2020-07-02_13-01-20FUZZY_FEAT_32,4752,MeanOS,0.913831818,0.928179385,1.029137759,0.186990631,0.202426384,0.221182026,205,0.001,0.274103947,1,Relu,655,0.905618801,0.930017441,1.010561539,0.23043767,0.199166729,0.267848038,1.226745378
models/FCN/2020-07-02_13-03-18FUZZY_FEAT_32,4752,MeanOS,0.915056865,0.941279957,1.040670792,0.177022944,0.14271083,0.190531952,186,0.001,0.20772819,2,Relu,906,0.904545634,0.9519999,1.029341584,0.236379538,0.112973686,0.20585405,1.272904955
models/FCN/2020-07-02_13-05-21FUZZY_FEAT_32,4752,MeanOS,0.921520745,0.857439289,1.050337013,0.177193889,0.28505126,0.160775648,315,0.001,0.215831022,3,Relu,802,0.916295092,0.86211302,1.034343376,0.206199389,0.266932201,0.192778867,1.232702678
models/FCN/2020-07-02_13-07-26FUZZY_FEAT_32,4752,MeanOS,0.915464434,0.920618957,1.037367475,0.191124584,0.120935024,0.203198644,223,0.001,0.241707991,4,Relu,965,0.902612134,0.916012738,1.032299533,0.261947764,0.159195611,0.205504473,1.247529195
models/FCN/2020-07-02_13-09-33FUZZY_FEAT_32,4752,MeanOS,0.917746626,0.929891137,1.040423685,0.166654891,0.161147305,0.187433266,213,0.001,0.200117006,5,Relu,960,0.902827435,0.931959013,1.039825306,0.243397856,0.163310845,0.180538046,1.261014235
models/FCN/2020-07-02_13-11-40FUZZY_FEAT_32,4752,MeanOS,0.918912559,0.9113161,1.038137126,0.172186126,0.164555895,0.210925102,231,0.001,0.220625607,6,Relu,701,0.91038902,0.911989256,1.02643028,0.234208991,0.171306081,0.199346734,1.247628787
models/FCN/2020-07-02_13-13-47FUZZY_FEAT_32,4752,MeanOS,0.916514266,0.94188887,1.039670951,0.16503054,0.184220639,0.183582972,231,0.001,0.217970654,7,Relu,925,0.902541707,0.942360364,1.026150542,0.239805281,0.187699338,0.209301033,1.246754818
models/FCN/2020-07-02_13-15-54FUZZY_FEAT_32,4752,MeanOS,0.921533655,0.881966552,1.036268434,0.174935486,0.173058354,0.198814652,184,0.001,0.267730058,8,Relu,614,0.911731028,0.874819358,1.029966265,0.225669633,0.218551514,0.228526971,1.227753052
models/FCN/2020-07-02_13-18-03FUZZY_FEAT_32,4752,MeanOS,0.918342498,0.914443829,1.035052108,0.169571947,0.208561273,0.197139254,229,0.001,0.256980789,9,Relu,659,0.903973178,0.931570763,1.018353106,0.244193449,0.177414447,0.22342772,1.240450878
models/FCN/2020-07-02_13-20-11FUZZY_FEAT_32,4752,MeanOS,0.923254816,0.877796301,1.034433784,0.164046922,0.200123695,0.211691802,235,0.001,0.225748053,10,Relu,537,0.919734265,0.870209219,1.035587554,0.185110335,0.24272993,0.210568569,1.239926906
models/FCN/2020-07-02_13-22-20FUZZY_FEAT_32,4752,MeanOS,0.924429059,0.857268757,1.039518792,0.167626957,0.216621789,0.202105333,275,0.001,0.31926439,11,Relu,632,0.920070518,0.865119401,0.996779004,0.194391037,0.17989073,0.31926439,1.21974104
models/FCN/2020-07-02_13-24-29FUZZY_FEAT_32,4752,MeanOS,0.917565397,0.929601074,1.038134742,0.168738516,0.154898179,0.194637441,204,0.001,0.247059359,12,Relu,992,0.904090244,0.924263062,1.023868383,0.238285768,0.188676084,0.241513614,1.234927919
models/FCN/2020-07-02_13-26-39FUZZY_FEAT_32,4752,MeanOS,0.914185676,0.928414529,1.034943131,0.186734835,0.18353858,0.204476111,245,0.001,0.243825556,13,Relu,468,0.90394654,0.924092397,1.03913828,0.237810214,0.205285198,0.212988212,1.24224981
models/FCN/2020-07-02_13-29-05FUZZY_FEAT_32,4752,MeanOS,0.922238847,0.936604661,1.043624725,0.138173057,0.082272177,0.168529526,41,0.001,0.272665989,14,Relu,640,0.907085997,0.929986717,1.01056849,0.229754516,0.153842715,0.254063221,1.24170508
models/FCN/2020-07-02_13-32-56FUZZY_FEAT_32,4752,MeanOS,0.923557209,0.912855925,1.039185579,0.130582921,0.2509183,0.193354192,222,0.001,0.264170206,15,Relu,828,0.91459473,0.914008928,1.035617473,0.191141439,0.226611421,0.264170206,1.236407876
models/FCN/2020-07-02_13-36-49FUZZY_FEAT_32,4752,MeanOS,0.919451276,0.88980099,1.038260212,0.186392982,0.126850895,0.19489512,230,0.001,0.281663836,16,Relu,997,0.905191676,0.888746226,1.013444957,0.25437463,0.149926661,0.275706643,1.226834006
models/FCN/2020-07-02_13-40-41FUZZY_FEAT_32,4752,MeanOS,0.919536198,0.894780047,1.035039004,0.179750268,0.185467562,0.204383908,306,0.001,0.250048139,17,Relu,996,0.915273596,0.890473166,1.011029869,0.225038566,0.231909888,0.24610795,1.217692764
models/FCN/2020-07-02_13-44-34FUZZY_FEAT_32,4752,MeanOS,0.919516729,0.872517565,1.044768469,0.189049598,0.209580787,0.188382614,256,0.001,0.244838075,18,Relu,982,0.899435316,0.886915053,1.015402676,0.280636545,0.210471235,0.236612868,1.211333688
models/FCN/2020-07-02_13-48-25FUZZY_FEAT_32,4752,MeanOS,0.917784677,0.935269123,1.031403516,0.173852218,0.066810171,0.222597025,230,0.001,0.235864486,19,Relu,984,0.9082074,0.926600082,1.022611461,0.233638289,0.141663189,0.212760624,1.255043904
models/FCN/2020-07-02_13-52-15FUZZY_FEAT_32,4752,MeanOS,0.916365319,0.955829418,1.032697299,0.159674436,0.133258559,0.214924919,231,0.001,0.238891299,20,Relu,643,0.907581278,0.950900507,1.026987894,0.2122372,0.168714483,0.216996767,1.258088894
