Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-04-17_10-53-33RMSE_TO_TEST_PEAQAB_ADAMW,4752,MeanOS,0.527570392,0.573743709,0.720005968,0.825525454,0.79162482,0.738537207,519,0.0001,0.777475526,0,Relu,792,0.491423485,0.571018846,0.690798681,0.85071459,0.794554312,0.758307394,0.655250699
models/FCN/2020-04-17_10-58-05RMSE_TO_TEST_PEAQAB_ADAMW,4752,MeanOS,0.537456018,0.548411895,0.665653259,0.815128144,0.828027072,0.785427308,643,0.0001,0.814385084,1,Relu,723,0.529099421,0.543744255,0.668045887,0.822068057,0.831298876,0.785247872,0.627046972
models/FCN/2020-04-17_11-04-30RMSE_TO_TEST_PEAQAB_ADAMW,4752,MeanOS,0.558877498,0.623672221,0.687945176,0.799957572,0.751636643,0.763304504,676,0.0001,0.795730222,2,Relu,795,0.547137961,0.620580238,0.670018347,0.809980682,0.754748343,0.774852373,0.664728862
models/FCN/2020-04-17_11-11-02RMSE_TO_TEST_PEAQAB_ADAMW,4752,MeanOS,0.541981493,0.566706896,0.665996243,0.812920267,0.803681352,0.77489448,592,0.0001,0.791902828,3,Relu,724,0.521905494,0.561241421,0.659774917,0.828308116,0.808397993,0.778244954,0.630139972
models/FCN/2020-04-17_11-17-32RMSE_TO_TEST_PEAQAB_ADAMW,4752,MeanOS,0.535069586,0.567391496,0.661615725,0.818457581,0.803965307,0.777627075,674,0.0001,0.803262594,4,Relu,619,0.542404594,0.569644316,0.656030232,0.812261139,0.802207737,0.780027465,0.634059819
models/FCN/2020-04-17_11-24-18RMSE_TO_TEST_PEAQAB_ADAMW,4752,MeanOS,0.512505862,0.600009663,0.69095314,0.835965663,0.768406037,0.753832657,648,0.0001,0.803923637,5,Relu,522,0.529555603,0.60757966,0.680830866,0.823502409,0.762116543,0.758475028,0.664933451
models/FCN/2020-04-17_11-30-45RMSE_TO_TEST_PEAQAB_ADAMW,4752,MeanOS,0.527486799,0.55188615,0.720195736,0.826609773,0.786998514,0.729674686,762,0.0001,0.807440285,6,Relu,670,0.539824672,0.55607082,0.712857806,0.818272765,0.783351819,0.735735541,0.670112414
models/FCN/2020-04-17_11-37-16RMSE_TO_TEST_PEAQAB_ADAMW,4752,MeanOS,0.5341007,0.570890638,0.640778657,0.820022728,0.789644538,0.794176984,465,0.0001,0.822850825,7,Relu,367,0.552162547,0.574602149,0.62768137,0.80618601,0.787168913,0.798377071,0.623845925
models/FCN/2020-04-17_11-43-55RMSE_TO_TEST_PEAQAB_ADAMW,4752,MeanOS,0.514453482,0.580069115,0.710389702,0.834650529,0.787307736,0.742579702,618,0.0001,0.805477918,8,Relu,406,0.549285139,0.593234697,0.685558835,0.808611755,0.776706945,0.759272186,0.663364904
models/FCN/2020-04-17_11-50-23RMSE_TO_TEST_PEAQAB_ADAMW,4752,MeanOS,0.527998186,0.580815695,0.643722701,0.823932767,0.788158885,0.791355271,599,0.0001,0.830624425,9,Relu,793,0.503930162,0.574491817,0.644268065,0.842739261,0.793700466,0.791513769,0.623232362
models/FCN/2020-04-17_11-57-11RMSE_TO_TEST_PEAQAB_ADAMW,4752,MeanOS,0.50582825,0.560269433,0.72227272,0.840816868,0.808014427,0.736508384,798,0.0001,0.821753252,10,Relu,556,0.534244152,0.573545394,0.673214378,0.819537458,0.797743362,0.767607578,0.645361414
models/FCN/2020-04-17_12-03-39RMSE_TO_TEST_PEAQAB_ADAMW,4752,MeanOS,0.548486789,0.563890352,0.695871844,0.810768701,0.777474359,0.762728067,528,0.0001,0.809662926,11,Relu,712,0.519823172,0.553739755,0.701941256,0.83262667,0.786445061,0.765697645,0.655722014
models/FCN/2020-04-17_12-09-46RMSE_TO_TEST_PEAQAB_ADAMW,4752,MeanOS,0.51946177,0.588503336,0.702297032,0.829534924,0.786551087,0.75287858,798,0.0001,0.825105417,12,Relu,799,0.519390837,0.589684431,0.701155415,0.829633014,0.786068935,0.752818747,0.668842315
models/FCN/2020-04-17_12-16-06RMSE_TO_TEST_PEAQAB_ADAMW,4752,MeanOS,0.532416315,0.56787168,0.638123896,0.823022673,0.783110253,0.801695248,638,0.0001,0.803443436,13,Relu,632,0.531947701,0.568252952,0.637084515,0.822651654,0.782875689,0.80153779,0.62213382
models/FCN/2020-04-17_12-22-22RMSE_TO_TEST_PEAQAB_ADAMW,4752,MeanOS,0.497892627,0.554870441,0.658575938,0.846309846,0.801012683,0.782175379,559,0.0001,0.802536798,14,Relu,437,0.520830844,0.561383018,0.629133122,0.830249453,0.795905563,0.800238975,0.612273752
models/FCN/2020-04-17_12-28-36RMSE_TO_TEST_PEAQAB_ADAMW,4752,MeanOS,0.520058374,0.585602731,0.773444556,0.829272659,0.795164091,0.715310665,643,0.0001,0.774553346,15,Relu,588,0.527950086,0.591290228,0.761941667,0.823841229,0.79202813,0.709834458,0.715174215
models/FCN/2020-04-17_12-34-54RMSE_TO_TEST_PEAQAB_ADAMW,4752,MeanOS,0.539212152,0.565098968,0.636384078,0.815842343,0.799125284,0.798809547,627,0.0001,0.82065408,16,Relu,779,0.518936647,0.559293054,0.632569956,0.831005718,0.804170659,0.802266279,0.611641924
models/FCN/2020-04-17_12-41-22RMSE_TO_TEST_PEAQAB_ADAMW,4752,MeanOS,0.528163708,0.533374302,0.633394699,0.824355755,0.822009017,0.810645065,799,0.0001,0.813728668,17,Relu,734,0.537549391,0.537818891,0.621205474,0.817710527,0.818964195,0.811733097,0.600561969
models/FCN/2020-04-17_12-48-27RMSE_TO_TEST_PEAQAB_ADAMW,4752,MeanOS,0.554511127,0.560454563,0.705777826,0.805283617,0.790566866,0.755965875,527,0.0001,0.815904989,18,Relu,638,0.53942884,0.556296832,0.697760478,0.817368206,0.794391719,0.757873871,0.655865033
models/FCN/2020-04-17_12-55-13RMSE_TO_TEST_PEAQAB_ADAMW,4752,MeanOS,0.556568044,0.599009036,0.714317455,0.803451451,0.760078281,0.755004086,404,0.0001,0.822763556,19,Relu,542,0.532488617,0.596171269,0.695939425,0.82172673,0.766001136,0.757593526,0.669596051
