Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-04-17_10-58-34PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.680752098,0.70682555,0.715072495,0.670682152,0.646877667,0.726170638,897,0.01,0.740188827,0,Relu,939,0.679292506,0.705194288,0.717159934,0.672427953,0.648976494,0.723471961,0.774024956
models/FCN/2020-04-17_11-07-27PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.676615621,0.694257018,0.695683669,0.674327154,0.676836911,0.743275393,1208,0.01,0.755477784,1,Relu,1916,0.668578046,0.680626778,0.700712443,0.683717371,0.691425227,0.74866193,0.746631922
models/FCN/2020-04-17_11-17-23PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.743324499,0.741583593,0.779032299,0.589768391,0.572462111,0.684594489,591,0.01,0.747876627,2,Relu,1868,0.67702846,0.676187879,0.73402738,0.677572587,0.662059399,0.729887813,0.766948837
models/FCN/2020-04-17_11-27-40PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.753711006,0.76387289,0.787423464,0.574749562,0.528477307,0.677323593,453,0.01,0.763465921,3,Relu,1999,0.67835725,0.717568555,0.678518914,0.676408322,0.604971528,0.760336636,0.778368006
models/FCN/2020-04-17_11-38-01PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.679422154,0.689441343,0.710930081,0.668576596,0.700136479,0.729248611,1039,0.01,0.742328881,4,Relu,1053,0.679045619,0.688916461,0.71186428,0.669027601,0.70067633,0.728259008,0.758698986
models/FCN/2020-04-17_11-48-16PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.673262487,0.664433054,0.719064515,0.682990539,0.668098318,0.722613523,1078,0.01,0.739019812,5,Relu,1076,0.673322235,0.66450955,0.718910598,0.68292278,0.667999801,0.722758713,0.75585696
models/FCN/2020-04-17_11-58-30PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.684231166,0.675365858,0.705303168,0.665474179,0.699050072,0.755603449,1369,0.01,0.762617136,6,Relu,1845,0.676588009,0.667351396,0.714273827,0.674363567,0.706233124,0.742756632,0.750308458
models/FCN/2020-04-17_12-08-38PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.69002983,0.694779256,0.684442682,0.659662966,0.6631093,0.760904234,1429,0.01,0.762652283,7,Relu,1753,0.680438884,0.684928592,0.691433988,0.671193481,0.674502421,0.757830237,0.752974769
models/FCN/2020-04-17_12-18-08PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.691725207,0.693801161,0.719666644,0.657442992,0.665736242,0.72728746,1317,0.01,0.741369884,8,Relu,1294,0.69286858,0.694804912,0.71634691,0.656029642,0.664573139,0.729460192,0.773360036
models/FCN/2020-04-17_12-27-48PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.688636098,0.728816168,0.702675604,0.659951111,0.632133619,0.747935853,979,0.01,0.749547687,9,Relu,1497,0.669120924,0.714453523,0.700184286,0.683358023,0.651246155,0.749547366,0.766397953
models/FCN/2020-04-17_12-37-27PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.68686993,0.644093576,0.67549474,0.662701521,0.728248474,0.76091936,989,0.01,0.76241725,10,Relu,1257,0.677238063,0.636820709,0.69057748,0.674204724,0.734096148,0.749092832,0.730679596
models/FCN/2020-04-17_12-47-28PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.70470804,0.682873296,0.701358029,0.642106583,0.664204538,0.749573648,978,0.01,0.752406353,11,Relu,1378,0.690843701,0.672053871,0.693380494,0.659645184,0.677121465,0.745992806,0.755778211
models/FCN/2020-04-17_12-57-46PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.688801687,0.652361604,0.711022467,0.666960501,0.657779416,0.731715455,1227,0.01,0.751072048,12,Relu,1230,0.688691562,0.652264052,0.711261865,0.667090353,0.657906014,0.731445443,0.758792736
models/FCN/2020-04-17_13-08-11PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.703975979,0.709379135,0.707323097,0.637127987,0.682255607,0.740740694,1291,0.01,0.760390591,13,Relu,1725,0.681830071,0.685788288,0.698913635,0.665254475,0.70706339,0.757678358,0.753286669
models/FCN/2020-04-17_13-18-38PEAQB_ORIGINAL_ADAMW,4752,MeanOS,0.697160327,0.67347303,0.687061892,0.650603768,0.685750126,0.754525533,1001,0.01,0.754590179,14,Relu,1180,0.690588911,0.668267062,0.69197815,0.658849459,0.691337599,0.746835024,0.752479073
