Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-04-17_10-51-17RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.598442335,0.672918745,0.748734202,0.767213282,0.694525363,0.694018007,576,0.0001,0.749826869,0,Relu,600,0.594957456,0.671136931,0.748550878,0.770193296,0.697259686,0.694592218,0.747196386
models/FCN/2020-04-17_10-55-05RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.576731304,0.634151653,0.80047981,0.788485617,0.702290856,0.650224846,634,0.0001,0.745808033,1,Relu,789,0.559654605,0.63128691,0.791064917,0.802940427,0.708322214,0.664326725,0.764699128
models/FCN/2020-04-17_11-00-55RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.574868139,0.632590769,0.81922887,0.789719185,0.709829463,0.641781868,543,0.0001,0.735971226,2,Relu,348,0.61023714,0.643230141,0.810252876,0.758625342,0.697210678,0.652979093,0.782706005
models/FCN/2020-04-17_11-07-31RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.575325358,0.599662488,0.77602994,0.787947205,0.762802012,0.680103083,603,0.0001,0.77065222,3,Relu,347,0.61861634,0.61709082,0.73716731,0.748610784,0.746373814,0.709063058,0.720309755
models/FCN/2020-04-17_11-14-08RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.572697856,0.633433361,0.779401645,0.788052336,0.747306603,0.678014322,799,0.0001,0.757923826,4,Relu,587,0.601317223,0.645656779,0.755098851,0.762821741,0.735588421,0.696438448,0.73854694
models/FCN/2020-04-17_11-20-58RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.625874586,0.655210805,0.714787099,0.741130974,0.719743644,0.726152435,280,0.0001,0.777535764,5,Relu,164,0.6505163,0.66113938,0.670683563,0.715979858,0.714324089,0.769570261,0.714998048
models/FCN/2020-04-17_11-27-37RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.580709919,0.656481379,0.792923507,0.781542644,0.723887056,0.659272196,682,0.0001,0.77121709,6,Relu,317,0.650386807,0.696719357,0.718801564,0.71500668,0.681113059,0.753873443,0.751314271
models/FCN/2020-04-17_11-34-16RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.578803109,0.651544422,0.972852909,0.783366718,0.729475543,0.474040176,569,0.0001,0.750054174,7,Relu,165,0.693227242,0.718554595,0.727090131,0.668102523,0.656326612,0.745331371,0.783279125
models/FCN/2020-04-17_11-40-59RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.565429243,0.600256147,0.749759649,0.795133274,0.77716862,0.712112261,799,0.0001,0.78553538,8,Relu,789,0.565078212,0.60050321,0.749373032,0.794536202,0.776973595,0.712088569,0.710800925
models/FCN/2020-04-17_11-47-51RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.581717336,0.613587127,0.898664056,0.781566157,0.757609225,0.565676782,717,0.0001,0.765474434,9,Relu,281,0.671479572,0.682361331,0.721202927,0.693130703,0.688443231,0.738901843,0.754581275
models/FCN/2020-04-17_11-54-38RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.618759269,0.604272772,0.761339179,0.747223529,0.772425979,0.689738083,367,0.0001,0.744477408,10,Relu,367,0.618759269,0.604272772,0.761339179,0.747223529,0.772425979,0.689738083,0.733815101
models/FCN/2020-04-17_12-01-17RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.582317711,0.642793886,0.763168383,0.780719251,0.733174245,0.686760654,503,0.0001,0.790214395,11,Relu,201,0.659058955,0.670912386,0.690063012,0.706315491,0.704648398,0.775236047,0.730015536
models/FCN/2020-04-17_12-07-37RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.590633722,0.66638586,0.891519023,0.774471758,0.695885792,0.58199,531,0.0001,0.762819043,12,Relu,248,0.651112349,0.695025354,0.700716184,0.716090855,0.663097539,0.753608252,0.748147865
models/FCN/2020-04-17_12-13-58RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.551291096,0.605811925,0.820586578,0.806694911,0.770645771,0.631118632,693,0.0001,0.781119342,13,Relu,339,0.613933541,0.631829494,0.704474564,0.7515568,0.749204543,0.742211775,0.703252874
models/FCN/2020-04-17_12-20-25RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.598427839,0.618005494,0.788330606,0.768636292,0.73431663,0.669367843,481,0.0001,0.778276034,14,Relu,156,0.674696736,0.649282652,0.697570996,0.691959977,0.701621336,0.76748442,0.735058426
models/FCN/2020-04-17_12-26-49RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.596020343,0.617140125,0.801066988,0.771084564,0.730321123,0.662206829,602,0.0001,0.736755673,15,Relu,374,0.633465301,0.635036387,0.765610861,0.735971005,0.710874297,0.693877143,0.74900533
models/FCN/2020-04-17_12-33-18RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.576627204,0.656652269,0.774940522,0.786510901,0.709226047,0.68029912,490,0.0001,0.754327256,16,Relu,328,0.604953178,0.667791609,0.726250985,0.761747612,0.698429183,0.722897038,0.732715944
models/FCN/2020-04-17_12-39-39RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.615319414,0.630126089,0.743871788,0.752145777,0.732211374,0.707263218,432,0.0001,0.771048997,17,Relu,290,0.643135417,0.63904867,0.703664902,0.724470189,0.72316259,0.744596413,0.717851879
models/FCN/2020-04-17_12-46-31RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.567372754,0.619676783,0.815659719,0.794344264,0.745580701,0.643247791,618,0.0001,0.763578626,18,Relu,144,0.654993332,0.67016475,0.704332922,0.711672401,0.693147102,0.749077705,0.736718499
models/FCN/2020-04-17_12-53-21RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.601561654,0.6427928,0.707106733,0.762951504,0.738962054,0.733179253,440,0.0001,0.781136436,19,Relu,449,0.59925421,0.642356598,0.707717413,0.764880205,0.738236535,0.732665013,0.70703833
models/FCN/2020-04-17_13-00-06RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.569591882,0.652407141,0.77566802,0.792749988,0.710062771,0.681463417,546,0.0001,0.778659416,20,Relu,321,0.612070291,0.671088143,0.731558526,0.755603746,0.691548667,0.720376062,0.739182558
models/FCN/2020-04-17_13-06-47RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.548881457,0.638573964,0.8355689,0.810683889,0.724345943,0.621140752,706,0.0001,0.742116222,21,Relu,166,0.692688593,0.718233527,0.767383955,0.670602298,0.632619731,0.695077356,0.805104869
models/FCN/2020-04-17_13-13-24RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.590590163,0.625614719,0.761977044,0.773222354,0.751005789,0.692026247,519,0.0001,0.776037375,22,Relu,311,0.62308214,0.644305198,0.7062955,0.742958653,0.734210827,0.73753575,0.712984394
models/FCN/2020-04-17_13-20-10RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.572332947,0.613685131,0.779224388,0.790234624,0.751035081,0.673384283,587,0.0001,0.766194744,23,Relu,307,0.61975067,0.635047732,0.708526616,0.74819911,0.730597516,0.732844721,0.711014404
models/FCN/2020-04-17_13-27-02RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.593823991,0.617527581,0.77538512,0.773628721,0.721936803,0.67301414,509,0.0001,0.75800125,24,Relu,398,0.615280266,0.623510426,0.756760057,0.754247565,0.715438741,0.689778527,0.738337265
models/FCN/2020-04-17_13-33-49RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.584714784,0.655471029,0.758275628,0.780148644,0.697493396,0.695398497,656,0.0001,0.764714129,25,Relu,680,0.581637407,0.65592191,0.756180811,0.783655806,0.698866098,0.696521068,0.744721492
models/FCN/2020-04-17_13-40-43RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.591138911,0.633221652,0.817214212,0.773288479,0.742286268,0.630961925,611,0.0001,0.767653779,26,Relu,790,0.565085913,0.625233592,0.790941959,0.794942904,0.750314314,0.659871347,0.758691497
models/FCN/2020-04-17_13-47-32RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.577345329,0.631926698,0.731707876,0.784320704,0.752409007,0.712736908,457,0.0001,0.764985489,27,Relu,540,0.562915411,0.630082126,0.728919357,0.797267859,0.755045996,0.716365978,0.709891663
models/FCN/2020-04-17_13-54-21RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.583648575,0.621123153,0.758097581,0.782884507,0.731677976,0.68906863,481,0.0001,0.764338754,28,Relu,448,0.588643994,0.622072472,0.753145145,0.778367126,0.730642602,0.692995085,0.73050134
models/FCN/2020-04-17_14-01-01RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.561928929,0.614512952,0.82831747,0.79698504,0.769635829,0.634861911,672,0.0001,0.770176026,29,Relu,208,0.666823429,0.669108003,0.718267889,0.696222204,0.720378463,0.760721174,0.74220348
models/FCN/2020-04-17_14-07-51RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.568631928,0.635225605,0.801223947,0.791939674,0.743308289,0.651369844,709,0.0001,0.778529992,30,Relu,275,0.638714934,0.668261578,0.69962207,0.727325702,0.71003411,0.747977395,0.725446811
models/FCN/2020-04-17_14-14-46RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.611173044,0.674093464,0.730999103,0.756165243,0.682243503,0.714028813,446,0.0001,0.77078292,31,Relu,587,0.588532443,0.668995445,0.7158874,0.776438151,0.689057701,0.727884512,0.727224158
models/FCN/2020-04-17_14-21-31RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.629261186,0.645917898,0.737684845,0.736659281,0.731539987,0.713950927,462,0.0001,0.765137274,32,Relu,473,0.627406188,0.645069598,0.736880777,0.738483112,0.732320501,0.713474483,0.731543807
models/FCN/2020-04-17_14-28-30RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.578864094,0.612426043,0.85741289,0.78589786,0.740614445,0.606080581,457,0.0001,0.774991512,33,Relu,134,0.668256245,0.6481394,0.701877552,0.699429853,0.70203392,0.764090972,0.73282901
models/FCN/2020-04-17_14-35-17RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.574066671,0.627606148,0.749212487,0.790274451,0.72310771,0.700568591,536,0.0001,0.760793447,34,Relu,454,0.589070564,0.631416446,0.737805564,0.776634645,0.719717345,0.708556265,0.723255878
models/FCN/2020-04-17_14-42-06RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.610881225,0.629358194,0.818646457,0.757837965,0.718524114,0.648168844,490,0.0001,0.78096239,35,Relu,250,0.649456729,0.645718122,0.709800641,0.719542067,0.700319573,0.757507326,0.727479791
models/FCN/2020-04-17_14-48-59RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.568463151,0.626219226,0.794338771,0.793180059,0.7429685,0.664481812,706,0.0001,0.735500364,36,Relu,372,0.611930488,0.649015411,0.732187843,0.754798951,0.720033105,0.711565724,0.728888741
models/FCN/2020-04-17_14-55-55RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.594671835,0.629964417,0.780878778,0.768805555,0.74993574,0.681220069,531,0.0001,0.77286123,37,Relu,240,0.641884768,0.652675097,0.704847481,0.723223154,0.729285577,0.7394108,0.721777195
models/FCN/2020-04-17_15-02-49RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.580566278,0.646347907,0.755455923,0.782997611,0.726603115,0.696628327,517,0.0001,0.73455,38,Relu,396,0.599630933,0.654743818,0.732758629,0.765435597,0.718924609,0.715432178,0.728090442
models/FCN/2020-04-17_15-09-45RMSE_TO_TEST_PEAQB_ADAMW,4752,MeanOS,0.575503284,0.632059307,0.902311866,0.787144764,0.733790233,0.54349529,699,0.0001,0.749330159,39,Relu,158,0.675939823,0.709099825,0.732802568,0.68908014,0.647798285,0.730955328,0.77785501
