Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-06-21_14-05-21TSM_ONLY,4752,MeanOS,0.454989604,0.561710716,0.798562896,0.872844361,0.807026638,0.688973105,610,0.0001,0.744029976,0,Relu,431,0.502895211,0.574256069,0.763182335,0.842093105,0.796831314,0.708670669,0.7135528
models/FCN/2020-06-21_14-08-38TSM_ONLY,4752,MeanOS,0.497333105,0.509369309,0.826109816,0.84776433,0.824906615,0.666024497,388,0.0001,0.736072626,1,Relu,197,0.576465694,0.54349308,0.743092669,0.788136743,0.797816459,0.720325259,0.696404591
models/FCN/2020-06-21_14-11-58TSM_ONLY,4752,MeanOS,0.45293564,0.534163192,0.892867462,0.87533727,0.814995142,0.596983639,597,0.0001,0.717573498,2,Relu,139,0.616007608,0.624300362,0.765944013,0.751948223,0.735663034,0.702892677,0.738189772
models/FCN/2020-06-21_14-15-06TSM_ONLY,4752,MeanOS,0.437133062,0.509112088,0.946686663,0.883841508,0.836261779,0.566941295,644,0.0001,0.719698793,3,Relu,152,0.593358748,0.586727289,0.766015768,0.772117078,0.775768349,0.696514649,0.722962505
models/FCN/2020-06-21_14-18-18TSM_ONLY,4752,MeanOS,0.456488334,0.521205565,0.863456395,0.871979629,0.831654812,0.631908233,587,0.0001,0.773187844,4,Relu,166,0.578851693,0.585458354,0.732836903,0.783652134,0.78195765,0.728315378,0.694315861
models/FCN/2020-06-21_14-21-25TSM_ONLY,4752,MeanOS,0.458630782,0.510020251,0.816971481,0.870317229,0.842128751,0.680880864,796,0.0001,0.745767723,5,Relu,405,0.571891803,0.571134171,0.728016334,0.788989322,0.797854067,0.733270515,0.684924315
models/FCN/2020-06-21_14-24-41TSM_ONLY,4752,MeanOS,0.423158547,0.509973367,0.824174935,0.892101356,0.833876232,0.664721032,672,0.0001,0.752344544,6,Relu,177,0.579100406,0.584769382,0.777429389,0.784335422,0.776111767,0.694063605,0.726616751
models/FCN/2020-06-21_14-27-13TSM_ONLY,4752,MeanOS,0.435686393,0.525896906,0.921338661,0.884829919,0.825641345,0.577493523,664,0.0001,0.755301416,7,Relu,139,0.615801928,0.635204672,0.759341273,0.75124719,0.729810206,0.707981634,0.737972849
models/FCN/2020-06-21_14-29-45TSM_ONLY,4752,MeanOS,0.446653408,0.539591363,0.897544306,0.878864113,0.806632993,0.610026736,692,0.0001,0.734807704,8,Relu,142,0.611581031,0.602927367,0.744622861,0.756545976,0.749384912,0.724535207,0.716495983
models/FCN/2020-06-21_14-32-18TSM_ONLY,4752,MeanOS,0.439142395,0.531139667,0.940238157,0.882929467,0.819032994,0.557421073,701,0.0001,0.74060486,9,Relu,194,0.609047841,0.6441627,0.795631519,0.758146094,0.716791818,0.684989615,0.764850283
models/FCN/2020-06-21_14-34-50TSM_ONLY,4752,MeanOS,0.449122687,0.505588278,0.855479857,0.877731646,0.82774548,0.639621112,564,0.0001,0.732897274,10,Relu,169,0.594210979,0.602038723,0.76186626,0.772980792,0.742677685,0.711656765,0.724038076
models/FCN/2020-06-21_14-37-25TSM_ONLY,4752,MeanOS,0.479087919,0.54172939,0.865611598,0.857777973,0.822022195,0.624499445,664,0.0001,0.734179271,11,Relu,294,0.584023639,0.602293831,0.761827104,0.778628825,0.775440121,0.708415773,0.720192225
models/FCN/2020-06-21_14-40-06TSM_ONLY,4752,MeanOS,0.45177146,0.534205487,0.901080313,0.877128379,0.797617441,0.606841697,455,0.0001,0.720998444,12,Relu,134,0.589073934,0.62542011,0.757309739,0.777820044,0.711911323,0.71147571,0.7318488
models/FCN/2020-06-21_14-42-39TSM_ONLY,4752,MeanOS,0.447375706,0.532785633,0.885686642,0.876629526,0.840713445,0.60942587,586,0.0001,0.746183161,13,Relu,124,0.606651309,0.641354799,0.74543851,0.756503813,0.764707785,0.719466631,0.725884046
models/FCN/2020-06-21_14-45-40TSM_ONLY,4752,MeanOS,0.456668315,0.516080506,0.890210794,0.872516291,0.828817522,0.595274411,795,0.0001,0.744710302,14,Relu,215,0.612748695,0.609629334,0.744589956,0.754605453,0.751078868,0.716666723,0.718840455
models/FCN/2020-06-21_14-48-39TSM_ONLY,4752,MeanOS,0.45373322,0.531178662,0.918571264,0.873364903,0.829659944,0.591770139,683,0.0001,0.768114568,15,Relu,172,0.602958491,0.613856744,0.7090399,0.761375677,0.765120593,0.751344183,0.693895598
models/FCN/2020-06-21_14-51-43TSM_ONLY,4752,MeanOS,0.429225987,0.504940228,0.924981511,0.889129786,0.832889429,0.578144983,765,0.0001,0.75016226,16,Relu,219,0.590194828,0.579949931,0.735072512,0.775935445,0.771989649,0.734348046,0.69738539
models/FCN/2020-06-21_14-54-49TSM_ONLY,4752,MeanOS,0.462772349,0.525117967,0.854368605,0.867727611,0.836170073,0.642922953,501,0.0001,0.735825143,17,Relu,227,0.561219848,0.572785406,0.75575893,0.79737768,0.801552056,0.712891812,0.70365341
models/FCN/2020-06-21_14-57-49TSM_ONLY,4752,MeanOS,0.423684594,0.508076754,0.880775605,0.892017126,0.83959254,0.629031359,798,0.0001,0.734584189,18,Relu,121,0.604357781,0.611529121,0.730950799,0.761956931,0.756070785,0.726305244,0.708431854
models/FCN/2020-06-21_15-00-44TSM_ONLY,4752,MeanOS,0.476698869,0.544485961,0.820682073,0.861224083,0.797824036,0.671741864,558,0.0001,0.759947923,19,Relu,267,0.574731866,0.592539395,0.723188151,0.789083426,0.753425739,0.735621222,0.692740917
models/FCN/2020-06-21_15-03-42TSM_ONLY,4752,MeanOS,0.473651577,0.536561028,0.901330414,0.862298631,0.814623405,0.591487067,520,0.0001,0.732700934,20,Relu,148,0.620923782,0.622270561,0.777978562,0.747204971,0.740009706,0.693348461,0.745707511
models/FCN/2020-06-21_15-06-33TSM_ONLY,4752,MeanOS,0.440672091,0.512700808,0.87397717,0.881822235,0.835096194,0.630819242,747,0.0001,0.757516688,21,Relu,168,0.598571164,0.590853534,0.752354399,0.767200184,0.774279437,0.717468931,0.713633346
models/FCN/2020-06-21_15-09-26TSM_ONLY,4752,MeanOS,0.442489641,0.51176577,0.951481727,0.881770898,0.829091538,0.556253734,797,0.0001,0.732221836,22,Relu,225,0.604697703,0.623977384,0.753805198,0.762675917,0.732992209,0.707756967,0.729688052
models/FCN/2020-06-21_15-12-25TSM_ONLY,4752,MeanOS,0.481794235,0.531994407,0.828004965,0.857947629,0.80648092,0.668663293,628,0.0001,0.732625108,23,Relu,307,0.603508018,0.568531041,0.74130152,0.764556868,0.774272928,0.722788831,0.706995322
models/FCN/2020-06-21_15-15-22TSM_ONLY,4752,MeanOS,0.453686669,0.540510005,0.902046405,0.873604568,0.826930919,0.607686884,799,0.0001,0.742851167,24,Relu,346,0.590641829,0.602391146,0.750399131,0.77201666,0.780220308,0.709641861,0.714631578
models/FCN/2020-06-21_15-18-16TSM_ONLY,4752,MeanOS,0.449057335,0.526985346,0.915341222,0.876602466,0.831962314,0.596225879,766,0.0001,0.767418257,25,Relu,214,0.616608226,0.632490518,0.710674834,0.748851958,0.74730925,0.741888012,0.707213207
models/FCN/2020-06-21_15-21-03TSM_ONLY,4752,MeanOS,0.42992813,0.501549478,0.874140514,0.888732739,0.834463417,0.625595815,573,0.0001,0.751715404,26,Relu,110,0.599989234,0.580519418,0.731251344,0.767102052,0.769587524,0.727179058,0.700585707
models/FCN/2020-06-21_15-24-15TSM_ONLY,4752,MeanOS,0.457706792,0.526232575,0.845368033,0.872309495,0.815137746,0.651857709,747,0.0001,0.767058773,27,Relu,273,0.590140187,0.590590215,0.788327266,0.775836125,0.759971543,0.682191664,0.739454737
models/FCN/2020-06-21_15-27-32TSM_ONLY,4752,MeanOS,0.462045823,0.538858725,0.910761367,0.869557883,0.81644116,0.591233981,648,0.0001,0.758582308,28,Relu,190,0.611461605,0.623547347,0.737352765,0.754996781,0.744330376,0.727926102,0.717757381
models/FCN/2020-06-21_15-30-48TSM_ONLY,4752,MeanOS,0.436426899,0.523483947,0.929945771,0.885036128,0.819255793,0.582943221,568,0.0001,0.71804341,29,Relu,95,0.610926945,0.609858242,0.806800474,0.7567535,0.744742323,0.673127989,0.76043589
models/FCN/2020-06-21_15-33-55TSM_ONLY,4752,MeanOS,0.471944063,0.534291375,0.878983362,0.863900448,0.809410865,0.618675406,408,0.0001,0.735344265,30,Relu,115,0.619176359,0.59746967,0.759569576,0.749375233,0.754054906,0.704108942,0.729715412
models/FCN/2020-06-21_15-36-56TSM_ONLY,4752,MeanOS,0.437969363,0.489949565,0.859217886,0.884722746,0.84131467,0.661605082,630,0.0001,0.7707262,31,Relu,139,0.606664831,0.601791961,0.717376818,0.761523506,0.747875931,0.739191188,0.699061153
models/FCN/2020-06-21_15-39-39TSM_ONLY,4752,MeanOS,0.477672368,0.497326443,0.847441414,0.860386431,0.842392837,0.665205668,647,0.0001,0.804490084,32,Relu,240,0.617232512,0.582986365,0.717849778,0.750285841,0.775740857,0.740973634,0.698478344
models/FCN/2020-06-21_15-42-33TSM_ONLY,4752,MeanOS,0.427685181,0.530765682,0.895112059,0.888771215,0.824150403,0.6176477,705,0.0001,0.758807064,33,Relu,159,0.612841146,0.642037357,0.720345367,0.753319713,0.725116385,0.73675113,0.717140439
models/FCN/2020-06-21_15-45-11TSM_ONLY,4752,MeanOS,0.470253549,0.51523484,0.895488482,0.864118783,0.833928803,0.616240719,580,0.0001,0.745331519,34,Relu,246,0.591469722,0.597392799,0.748256738,0.773010935,0.769700049,0.714880493,0.711434645
models/FCN/2020-06-21_15-48-11TSM_ONLY,4752,MeanOS,0.415313012,0.50853765,0.936540322,0.896669663,0.834549144,0.581264735,798,0.0001,0.729936227,35,Relu,157,0.623421468,0.646635416,0.751256947,0.744877934,0.715195435,0.716615772,0.739260668
models/FCN/2020-06-21_15-51-05TSM_ONLY,4752,MeanOS,0.451847395,0.520520711,0.855217492,0.875518357,0.828362568,0.636351771,740,0.0001,0.755895575,36,Relu,220,0.601029966,0.594728205,0.720343059,0.765066526,0.766930005,0.737791059,0.695565926
models/FCN/2020-06-21_15-54-02TSM_ONLY,4752,MeanOS,0.458423877,0.53383638,0.823453243,0.873053141,0.796696735,0.674091554,540,0.0001,0.786914253,37,Relu,158,0.586609141,0.587872162,0.733841498,0.780361362,0.74759611,0.730071564,0.700005929
models/FCN/2020-06-21_15-56-53TSM_ONLY,4752,MeanOS,0.44362437,0.542079643,0.913767901,0.880729092,0.818927577,0.575992164,678,0.0001,0.731555525,38,Relu,155,0.604635282,0.606419899,0.746068516,0.760858045,0.766334166,0.716349924,0.715314828
