Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-06-20_09-21-58TO_REF,4752,MeanOS,0.37315342,0.491612204,0.75303285,0.916398057,0.857731303,0.722209524,799,0.0001,0.770909955,0,Relu,335,0.493110939,0.546254673,0.714604697,0.848979065,0.821940203,0.738160016,0.664802582
models/FCN/2020-06-20_09-23-30TO_REF,4752,MeanOS,0.376620911,0.498127646,0.849393903,0.915309884,0.849256501,0.66703581,798,0.0001,0.716297814,1,Relu,261,0.542801434,0.604533268,0.762108412,0.81303722,0.768265926,0.715945148,0.719377413
models/FCN/2020-06-20_09-25-18TO_REF,4752,MeanOS,0.411357479,0.474601681,0.779651298,0.89848443,0.854645834,0.715288217,756,0.0001,0.761180714,2,Relu,470,0.474773673,0.503179367,0.76064242,0.862570054,0.837899272,0.719258588,0.689586182
models/FCN/2020-06-20_09-27-18TO_REF,4752,MeanOS,0.403025439,0.476461188,0.852385351,0.902493015,0.854965205,0.654776455,715,0.0001,0.780289228,3,Relu,232,0.55414577,0.557370749,0.737436957,0.80594952,0.796370577,0.736332476,0.683291796
models/FCN/2020-06-20_09-29-22TO_REF,4752,MeanOS,0.376322604,0.482112614,0.812673183,0.915226848,0.857597892,0.692594946,667,0.0001,0.740056623,4,Relu,138,0.619632097,0.619226924,0.780556488,0.747873345,0.750430246,0.70294061,0.743160837
models/FCN/2020-06-20_09-31-27TO_REF,4752,MeanOS,0.37771969,0.492186938,0.687551841,0.915267122,0.838637593,0.775913435,683,0.0001,0.820019228,5,Relu,370,0.452153647,0.524409971,0.667398388,0.876704614,0.814044773,0.778494196,0.622547965
models/FCN/2020-06-20_09-33-33TO_REF,4752,MeanOS,0.399582234,0.470560859,0.772698677,0.904430409,0.862405331,0.73977174,796,0.0001,0.779219395,6,Relu,389,0.481688745,0.518040288,0.706673829,0.858219378,0.834747815,0.765282323,0.644515716
models/FCN/2020-06-20_09-35-39TO_REF,4752,MeanOS,0.380911078,0.497002041,0.788249012,0.912422103,0.85672387,0.726948647,790,0.0001,0.823735635,7,Relu,228,0.520783837,0.561186657,0.656029969,0.829482226,0.815164982,0.788365632,0.625562757
models/FCN/2020-06-20_09-37-47TO_REF,4752,MeanOS,0.408774046,0.512472763,0.7636231,0.899125094,0.833658626,0.726702906,798,0.0001,0.731716264,8,Relu,481,0.471160951,0.536088056,0.75379407,0.865388556,0.817997701,0.717915663,0.697167262
models/FCN/2020-06-20_09-39-53TO_REF,4752,MeanOS,0.375993259,0.485313744,0.81621087,0.914513401,0.870558266,0.688489091,727,0.0001,0.716274667,9,Relu,144,0.604873341,0.635927793,0.78342613,0.757522218,0.767844376,0.71060011,0.745181927
