Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-06-20_22-10-00TO_TEST_SOURCE,4831,MeanOS,0.383672334,0.481214282,0.744230342,0.91375046,0.8708897,0.74397391,791,0.0001,0.82352635,0,Relu,438,0.450105236,0.514148237,0.676232786,0.880067965,0.852362175,0.778708833,0.622079519
models/FCN/2020-06-20_22-17-35TO_TEST_SOURCE,4831,MeanOS,0.406447558,0.484624475,0.775385662,0.903796524,0.856645153,0.728551615,667,0.0001,0.823494731,1,Relu,261,0.546008824,0.546801237,0.641828849,0.817853416,0.811148141,0.816853964,0.614553695
models/FCN/2020-06-20_22-25-51TO_TEST_SOURCE,4831,MeanOS,0.442861893,0.497157299,0.682154643,0.883731688,0.864954234,0.772586276,794,0.0001,0.830085003,2,Relu,451,0.503635814,0.535730756,0.631703393,0.846137683,0.841708042,0.803673483,0.597668447
models/FCN/2020-06-20_22-34-23TO_TEST_SOURCE,4831,MeanOS,0.418125975,0.5001558,0.693866449,0.897623903,0.85872505,0.770376941,716,0.0001,0.839216437,3,Relu,421,0.481438275,0.531771918,0.624153992,0.861171926,0.838555693,0.814932357,0.588696231
models/FCN/2020-06-20_22-42-46TO_TEST_SOURCE,4831,MeanOS,0.394562018,0.480233457,0.709406255,0.909163504,0.87209952,0.785305837,671,0.0001,0.822351037,4,Relu,336,0.478115923,0.530225228,0.632286057,0.866393589,0.845430714,0.813078942,0.592252996
models/FCN/2020-06-20_22-51-27TO_TEST_SOURCE,4831,MeanOS,0.385537806,0.469815899,0.861240545,0.913871313,0.869348234,0.690352382,793,0.0001,0.843264191,5,Relu,312,0.493419929,0.520057916,0.635424566,0.854170729,0.83907371,0.806981893,0.593500146
models/FCN/2020-06-20_23-00-09TO_TEST_SOURCE,4831,MeanOS,0.407986384,0.460944251,0.87116313,0.903702403,0.871271414,0.694224018,797,0.0001,0.83905983,6,Relu,291,0.526363301,0.529088443,0.633347362,0.831618907,0.828673232,0.813580841,0.599517465
models/FCN/2020-06-20_23-08-41TO_TEST_SOURCE,4831,MeanOS,0.393052049,0.472395965,0.79111322,0.909366802,0.875025636,0.711910118,685,0.0001,0.841748183,7,Relu,224,0.515564728,0.556856536,0.610009967,0.839276692,0.8242822,0.815782178,0.595063734
models/FCN/2020-06-20_23-17-17TO_TEST_SOURCE,4831,MeanOS,0.432336674,0.517079578,0.743490425,0.890658785,0.843818972,0.771988682,792,0.0001,0.836876099,8,Relu,416,0.509130945,0.561742855,0.632226737,0.843245981,0.816339177,0.817264682,0.60709934
models/FCN/2020-06-20_23-26-24TO_TEST_SOURCE,4831,MeanOS,0.403069492,0.497366902,0.720369375,0.904397834,0.859974333,0.767799076,694,0.0001,0.843214793,9,Relu,299,0.510579997,0.560898135,0.621528513,0.841767542,0.818562914,0.822700623,0.600847606
models/FCN/2020-06-20_23-35-17TO_TEST_SOURCE,4831,MeanOS,0.398319067,0.470741174,0.823348025,0.907942553,0.867699167,0.717394783,793,0.0001,0.853663323,10,Relu,285,0.522341464,0.534383346,0.586349423,0.834833895,0.827617731,0.840989349,0.575880598
models/FCN/2020-06-20_23-44-17TO_TEST_SOURCE,4831,MeanOS,0.431162873,0.497471172,0.703714916,0.89079779,0.852447035,0.7665674,612,0.0001,0.837423285,11,Relu,322,0.509428081,0.536118897,0.58951487,0.84315348,0.826351395,0.83125077,0.575706137
models/FCN/2020-06-20_23-53-18TO_TEST_SOURCE,4831,MeanOS,0.384252854,0.446986938,0.745572568,0.913930299,0.886426117,0.750361643,795,0.0001,0.819725775,12,Relu,260,0.508536019,0.509762409,0.642637458,0.843593495,0.850520583,0.797949505,0.596604247
models/FCN/2020-06-21_00-02-12TO_TEST_SOURCE,4831,MeanOS,0.393087044,0.452363354,0.754352431,0.910604582,0.878662805,0.758278225,798,0.0001,0.830101744,13,Relu,285,0.5671598,0.576477298,0.63726711,0.800825836,0.796412881,0.816704266,0.629199103
models/FCN/2020-06-21_00-11-12TO_TEST_SOURCE,4831,MeanOS,0.38764858,0.47938834,0.709588402,0.91326136,0.864271143,0.761754831,799,0.0001,0.808428261,14,Relu,245,0.510559582,0.549194837,0.655623069,0.842870119,0.819595296,0.790203061,0.619717394
models/FCN/2020-06-21_00-20-15TO_TEST_SOURCE,4831,MeanOS,0.420450457,0.47767083,0.755915503,0.897867472,0.857939378,0.754977964,750,0.0001,0.828909608,15,Relu,322,0.526595476,0.542740154,0.625415652,0.831603563,0.816510936,0.810482917,0.601590692
models/FCN/2020-06-21_00-29-06TO_TEST_SOURCE,4831,MeanOS,0.393081303,0.470925171,0.684466714,0.910354196,0.862952732,0.776802095,792,0.0001,0.840032975,16,Relu,422,0.454348065,0.502033642,0.616566517,0.878610971,0.842579825,0.81100805,0.574549956
models/FCN/2020-06-21_00-38-06TO_TEST_SOURCE,4831,MeanOS,0.415585246,0.491112688,0.745127553,0.898037853,0.863112839,0.747978052,628,0.0001,0.842026981,17,Relu,308,0.506413696,0.532965885,0.599782569,0.844461708,0.836304888,0.828322215,0.578182057
models/FCN/2020-06-21_00-47-18TO_TEST_SOURCE,4831,MeanOS,0.395312779,0.471141918,0.84208592,0.909164848,0.868095577,0.717613076,798,0.0001,0.834438826,18,Relu,322,0.524002867,0.541474269,0.648986116,0.833149673,0.826319392,0.81256212,0.611240746
models/FCN/2020-06-21_00-56-17TO_TEST_SOURCE,4831,MeanOS,0.401683466,0.500288978,0.748584217,0.905694423,0.851129828,0.747080164,669,0.0001,0.808274375,19,Relu,208,0.536168791,0.562400397,0.656262408,0.824205095,0.809477197,0.79604162,0.627303725
models/FCN/2020-06-21_01-05-15TO_TEST_SOURCE,4831,MeanOS,0.392782925,0.480498605,0.75104312,0.911090102,0.863609626,0.76110497,664,0.0001,0.805489986,20,Relu,266,0.521627556,0.539238294,0.687159121,0.835104268,0.823889712,0.780276913,0.636279906
models/FCN/2020-06-21_01-14-15TO_TEST_SOURCE,4831,MeanOS,0.409632768,0.450981728,0.782570916,0.902544615,0.876387264,0.714485146,573,0.0001,0.829332817,21,Relu,167,0.568182971,0.547636635,0.625718411,0.80128282,0.81615044,0.815101215,0.615704842
models/FCN/2020-06-21_01-23-12TO_TEST_SOURCE,4831,MeanOS,0.423820681,0.482435279,0.656790975,0.895076778,0.852548642,0.794033365,799,0.0001,0.816891501,22,Relu,660,0.443469695,0.497679565,0.643839532,0.885405767,0.844170644,0.794548805,0.593883061
models/FCN/2020-06-21_01-32-19TO_TEST_SOURCE,4831,MeanOS,0.378588222,0.47185136,0.800552274,0.918659723,0.85549954,0.712074219,793,0.0001,0.844665744,23,Relu,125,0.56873662,0.599697681,0.600189077,0.801801177,0.752589957,0.835777566,0.629912497
models/FCN/2020-06-21_01-41-18TO_TEST_SOURCE,4831,MeanOS,0.413261409,0.514000161,0.831200423,0.900611388,0.830617287,0.684911628,731,0.0001,0.79088645,24,Relu,186,0.579939026,0.619866759,0.679750307,0.791811481,0.740975976,0.786270573,0.67571624
