Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-06-20_22-13-41TO_TEST_SOURCE,4831,MeanOS_RAW,0.390211631,0.490368267,0.704972372,0.899810431,0.849625918,0.738775025,791,0.0001,0.822881043,0,Relu,215,0.543120731,0.581071446,0.609919521,0.794228177,0.781720178,0.80489429,0.617835943
models/FCN/2020-06-20_22-21-38TO_TEST_SOURCE,4831,MeanOS_RAW,0.413489517,0.480272513,0.757068957,0.888341658,0.839402896,0.711613765,652,0.0001,0.823246804,1,Relu,274,0.529788156,0.530713278,0.613649119,0.808367255,0.797169714,0.811831731,0.596980181
models/FCN/2020-06-20_22-30-03TO_TEST_SOURCE,4831,MeanOS_RAW,0.443882412,0.50227215,0.645365214,0.868794137,0.841928705,0.767373919,767,0.0001,0.832926806,2,Relu,480,0.495429906,0.527080134,0.603804487,0.834327596,0.824536923,0.798335338,0.582799314
models/FCN/2020-06-20_22-38-37TO_TEST_SOURCE,4831,MeanOS_RAW,0.418999929,0.495650926,0.68873642,0.885043936,0.843026299,0.753333666,776,0.0001,0.8340857,3,Relu,448,0.479244504,0.524330491,0.592271514,0.846420481,0.822615578,0.812536208,0.571625619
models/FCN/2020-06-20_22-47-01TO_TEST_SOURCE,4831,MeanOS_RAW,0.400508792,0.490323435,0.715824754,0.895010844,0.848156256,0.765724216,645,0.0001,0.821903474,4,Relu,327,0.472890379,0.524624979,0.616635318,0.849824652,0.825836382,0.805897415,0.584769084
models/FCN/2020-06-20_22-55-48TO_TEST_SOURCE,4831,MeanOS_RAW,0.445675213,0.490792283,0.724445002,0.869338688,0.836608338,0.755471204,483,0.0001,0.837446143,5,Relu,229,0.53360443,0.535562013,0.586859624,0.804740633,0.80559144,0.814742967,0.586835819
models/FCN/2020-06-20_23-04-23TO_TEST_SOURCE,4831,MeanOS_RAW,0.411502252,0.471122493,0.779875977,0.889196732,0.850829338,0.724903982,796,0.0001,0.843024334,6,Relu,307,0.514935798,0.531532654,0.59807016,0.820909059,0.812885021,0.808034894,0.584974428
models/FCN/2020-06-20_23-12-57TO_TEST_SOURCE,4831,MeanOS_RAW,0.387205182,0.465561111,0.754231257,0.901828947,0.862552911,0.714943998,763,0.0001,0.842435615,7,Relu,224,0.504255698,0.540993876,0.58988976,0.82677738,0.810266955,0.809328738,0.582038777
models/FCN/2020-06-20_23-21-53TO_TEST_SOURCE,4831,MeanOS_RAW,0.435269254,0.518683638,0.736593921,0.875096962,0.822500325,0.753419246,761,0.0001,0.837844292,8,Relu,403,0.510211461,0.554114287,0.594170146,0.822836582,0.798448919,0.815801031,0.590317671
models/FCN/2020-06-20_23-30-53TO_TEST_SOURCE,4831,MeanOS_RAW,0.414281832,0.498575961,0.767154136,0.886399753,0.841942795,0.712590407,689,0.0001,0.844284841,9,Relu,341,0.489902548,0.541073951,0.614231064,0.83714835,0.811861701,0.81328577,0.590734633
models/FCN/2020-06-20_23-39-49TO_TEST_SOURCE,4831,MeanOS_RAW,0.415676819,0.480019777,0.768350203,0.886896343,0.846061754,0.729411401,661,0.0001,0.85183944,10,Relu,290,0.513406524,0.527944507,0.565781047,0.820707532,0.811955175,0.837194244,0.567092593
models/FCN/2020-06-20_23-48-49TO_TEST_SOURCE,4831,MeanOS_RAW,0.427379877,0.490500204,0.656397027,0.880469356,0.836206983,0.771009285,615,0.0001,0.835624363,11,Relu,347,0.494887903,0.517446567,0.558486646,0.836441184,0.816465664,0.825937821,0.555685388
models/FCN/2020-06-20_23-57-46TO_TEST_SOURCE,4831,MeanOS_RAW,0.40330599,0.452419382,0.703759443,0.893276392,0.867164822,0.750086102,761,0.0001,0.818832117,12,Relu,302,0.495736711,0.500746968,0.602593134,0.834669617,0.83627704,0.794977268,0.573527061
