Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-04-17_09-39-50RMSE_UP_LONGER_ADAMW,4752,MeanOS,0.381638791,0.489753311,0.713292044,0.912677473,0.858996857,0.752713424,769,0.0001,0.832422658,0,Relu,310,0.493876375,0.538599897,0.5984403,0.84746907,0.826765224,0.826189267,0.57849839
models/FCN/2020-04-17_09-42-49RMSE_UP_LONGER_ADAMW,4752,MeanOS,0.370632301,0.48895221,0.758129267,0.917791735,0.854825762,0.732538865,773,0.0001,0.819593296,1,Relu,283,0.501039941,0.560436132,0.633187052,0.843608546,0.805620779,0.815067289,0.608186246
models/FCN/2020-04-17_09-46-32RMSE_UP_LONGER_ADAMW,4752,MeanOS,0.428194023,0.474983692,0.674346978,0.889252179,0.854355027,0.795512653,618,0.0001,0.829269697,2,Relu,410,0.485966801,0.498984359,0.60604984,0.854220643,0.839334979,0.819476303,0.568532813
models/FCN/2020-04-17_09-50-54RMSE_UP_LONGER_ADAMW,4752,MeanOS,0.403419424,0.464015269,0.659749261,0.902148509,0.862696599,0.792198795,699,0.0001,0.820186876,3,Relu,568,0.434389067,0.473674177,0.647265341,0.888268602,0.858493488,0.792392886,0.588972862
models/FCN/2020-04-17_09-57-00RMSE_UP_LONGER_ADAMW,4752,MeanOS,0.374774706,0.463658899,0.673547923,0.915835389,0.868837816,0.790821736,729,0.0001,0.822493899,4,Relu,406,0.4398959,0.491391452,0.658567669,0.882655375,0.85108678,0.795458944,0.600747279
models/FCN/2020-04-17_10-03-00RMSE_UP_LONGER_ADAMW,4752,MeanOS,0.368946685,0.481120933,0.691635708,0.919673659,0.846359249,0.771704981,725,0.0001,0.851354099,5,Relu,237,0.50926331,0.561117402,0.576807878,0.839394881,0.783798346,0.835873214,0.584495847
models/FCN/2020-04-17_10-09-02RMSE_UP_LONGER_ADAMW,4752,MeanOS,0.394635706,0.482840064,0.778205175,0.907579822,0.855045965,0.727022864,683,0.0001,0.837631358,6,Relu,274,0.507950447,0.525229213,0.605614798,0.839165206,0.826529592,0.824167317,0.58058948
models/FCN/2020-04-17_10-15-05RMSE_UP_LONGER_ADAMW,4752,MeanOS,0.382442411,0.480611084,0.797753852,0.912336495,0.867212323,0.713432011,616,0.0001,0.841286525,7,Relu,165,0.543857927,0.56845284,0.578063325,0.810884884,0.809635803,0.83284458,0.593628392
models/FCN/2020-04-17_10-21-03RMSE_UP_LONGER_ADAMW,4752,MeanOS,0.413244131,0.495340204,0.73369737,0.897031584,0.845819546,0.740731169,628,0.0001,0.829934997,8,Relu,347,0.505215908,0.534350378,0.624249873,0.84113374,0.817253659,0.809883231,0.595103301
models/FCN/2020-04-17_10-27-10RMSE_UP_LONGER_ADAMW,4752,MeanOS,0.36526837,0.476564691,0.854072871,0.919158668,0.875701253,0.673461466,636,0.0001,0.836220185,9,Relu,250,0.515555608,0.547229297,0.627970698,0.831173123,0.833896845,0.8180988,0.600161979
