Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-06-20_09-24-24UP,4752,MeanOS,0.400008067,0.494923789,0.732645091,0.903497989,0.855742395,0.735154304,668,0.0001,0.814770438,0,Relu,297,0.495415298,0.536393472,0.618364008,0.846518613,0.828192716,0.808864411,0.590533867
models/FCN/2020-06-20_09-26-29UP,4752,MeanOS,0.363205359,0.495371394,0.768197362,0.921415868,0.850738787,0.737654596,794,0.0001,0.79985925,1,Relu,275,0.498140716,0.560716068,0.659659293,0.845172052,0.804581691,0.798884332,0.624622082
models/FCN/2020-06-20_09-28-42UP,4752,MeanOS,0.418794334,0.465051877,0.83413694,0.894598511,0.861017265,0.697108594,725,0.0001,0.784905571,2,Relu,382,0.500170165,0.512999551,0.7204995,0.845995835,0.832903078,0.756402662,0.652656183
models/FCN/2020-06-20_09-30-57UP,4752,MeanOS,0.4078449,0.468672427,0.716251416,0.899815553,0.859641471,0.760085548,648,0.0001,0.825725606,3,Relu,303,0.515835283,0.517033748,0.638180735,0.833941411,0.826570945,0.804949553,0.598184172
models/FCN/2020-06-20_09-33-16UP,4752,MeanOS,0.372957016,0.457800936,0.717337283,0.91680272,0.871984586,0.765688022,751,0.0001,0.815516059,4,Relu,298,0.48569893,0.52211519,0.671172475,0.854214146,0.829534732,0.783349132,0.619836994
models/FCN/2020-06-20_09-35-35UP,4752,MeanOS,0.371351045,0.481938888,0.698969241,0.918192208,0.846014442,0.772562407,697,0.0001,0.850136506,5,Relu,231,0.500118626,0.551957732,0.597332467,0.845645111,0.791522827,0.826891371,0.588708536
models/FCN/2020-06-20_09-37-58UP,4752,MeanOS,0.411282885,0.496334793,0.82486013,0.89780623,0.846107837,0.688537436,588,0.0001,0.830398766,6,Relu,251,0.52095211,0.536990721,0.604112157,0.829530295,0.816700467,0.823383831,0.587599376
models/FCN/2020-06-20_09-40-24UP,4752,MeanOS,0.382269448,0.479262067,0.815887403,0.912273941,0.867593581,0.711968101,683,0.0001,0.829503897,7,Relu,171,0.543227485,0.575739718,0.631445599,0.811351684,0.802696153,0.805354604,0.621088175
models/FCN/2020-06-20_09-42-47UP,4752,MeanOS,0.419366676,0.501059781,0.764396884,0.893595769,0.841559746,0.732654603,575,0.0001,0.82865962,8,Relu,310,0.523181722,0.547950199,0.635106184,0.828307717,0.806225363,0.806816833,0.609231832
models/FCN/2020-06-20_09-45-12UP,4752,MeanOS,0.342615415,0.466623716,0.945063707,0.929322996,0.881083855,0.59829681,797,0.0001,0.822649259,9,Relu,227,0.527496041,0.55646416,0.633010964,0.822310873,0.828093415,0.816684669,0.608582706
