Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-04-17_00-31-44RMSE_DOWN_SHORTER_ADAMW,4752,MeanOS,0.366506336,0.488696628,0.729823183,0.919482105,0.859465033,0.741106664,797,0.0001,0.811409208,0,Relu,317,0.500543809,0.547296568,0.62153694,0.842944807,0.821008594,0.806156715,0.597358838
models/FCN/2020-04-17_00-35-48RMSE_DOWN_SHORTER_ADAMW,4752,MeanOS,0.378118572,0.492930191,0.803795073,0.914976459,0.852590254,0.706948426,795,0.0001,0.797019761,1,Relu,298,0.513609296,0.570591115,0.655674923,0.834655647,0.796318268,0.7951567,0.628240712
models/FCN/2020-04-17_00-40-05RMSE_DOWN_SHORTER_ADAMW,4752,MeanOS,0.422414749,0.47948056,0.670543258,0.892448249,0.852050824,0.798524797,781,0.0001,0.83809719,2,Relu,434,0.498964003,0.518110359,0.599447204,0.848069427,0.830265869,0.829669646,0.572433397
models/FCN/2020-04-17_00-44-32RMSE_DOWN_SHORTER_ADAMW,4752,MeanOS,0.390174661,0.46732068,0.673473325,0.909283957,0.860874318,0.795772479,795,0.0001,0.829026013,3,Relu,319,0.511872593,0.5212613,0.612880558,0.837191871,0.825267369,0.828342821,0.583261837
models/FCN/2020-04-17_00-49-00RMSE_DOWN_SHORTER_ADAMW,4752,MeanOS,0.37165778,0.463869446,0.939047868,0.917681006,0.868201668,0.608005379,705,0.0001,0.812884323,4,Relu,155,0.589819732,0.591576899,0.671801454,0.774750005,0.77436924,0.797066613,0.660550413
models/FCN/2020-04-17_00-53-24RMSE_DOWN_SHORTER_ADAMW,4752,MeanOS,0.361808048,0.478196056,0.639313616,0.922609364,0.848601306,0.80916176,789,0.0001,0.847292873,5,Relu,733,0.373729031,0.48185457,0.629357654,0.918204057,0.846026095,0.809596928,0.585087591
models/FCN/2020-04-17_00-57-56RMSE_DOWN_SHORTER_ADAMW,4752,MeanOS,0.385541621,0.475048651,0.687819095,0.911915577,0.860286091,0.778268523,799,0.0001,0.846029296,6,Relu,231,0.554076309,0.554100547,0.597591233,0.804555804,0.803665243,0.834182455,0.600553658
models/FCN/2020-04-17_01-02-27RMSE_DOWN_SHORTER_ADAMW,4752,MeanOS,0.381464303,0.481042642,0.856438922,0.912219323,0.866364847,0.683888546,721,0.0001,0.822279269,7,Relu,136,0.573640162,0.58850999,0.647723909,0.786836982,0.794687604,0.814387319,0.640901565
models/FCN/2020-04-17_01-06-55RMSE_DOWN_SHORTER_ADAMW,4752,MeanOS,0.409189976,0.497481018,0.769593279,0.898916109,0.843958972,0.709585523,739,0.0001,0.811863674,8,Relu,364,0.509795629,0.541263475,0.659057583,0.839468101,0.813749219,0.78344835,0.620984947
models/FCN/2020-04-17_01-11-28RMSE_DOWN_SHORTER_ADAMW,4752,MeanOS,0.387719533,0.484317729,0.682155134,0.909294995,0.871196151,0.776584676,687,0.0001,0.816437823,9,Relu,789,0.372083233,0.482010462,0.670418607,0.917179526,0.87259665,0.781869204,0.621239026
