Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-04-17_09-47-46RMSE_TO_REF_ADAMW,4752,MeanOS,0.378193145,0.486772662,0.704789091,0.913920285,0.860661836,0.752535875,784,0.0001,0.769987634,0,Relu,595,0.414490708,0.500547771,0.69669721,0.896683806,0.852892766,0.752460979,0.64546496
models/FCN/2020-04-17_09-52-35RMSE_TO_REF_ADAMW,4752,MeanOS,0.376257034,0.494508764,0.785668446,0.915775924,0.851458156,0.719451105,792,0.0001,0.767455777,1,Relu,343,0.489948399,0.570379066,0.689258626,0.851335813,0.798535614,0.764010975,0.652408961
models/FCN/2020-04-17_09-58-11RMSE_TO_REF_ADAMW,4752,MeanOS,0.421424697,0.479875883,0.693769431,0.893109506,0.851532864,0.781902205,741,0.0001,0.785052421,2,Relu,574,0.455211495,0.49457492,0.665305185,0.874751415,0.845409891,0.783813459,0.607933068
models/FCN/2020-04-17_10-04-00RMSE_TO_REF_ADAMW,4752,MeanOS,0.402188844,0.475938688,0.759116678,0.903582615,0.854827838,0.732600025,748,0.0001,0.77745066,3,Relu,313,0.510134819,0.530380418,0.691622459,0.838004296,0.817266959,0.771003095,0.63825321
models/FCN/2020-04-17_10-09-51RMSE_TO_REF_ADAMW,4752,MeanOS,0.365559055,0.474060582,0.756209408,0.92058221,0.862274291,0.72604894,760,0.0001,0.764305629,4,Relu,262,0.502611137,0.542261461,0.743263563,0.842570986,0.81423767,0.732644757,0.68314423
models/FCN/2020-04-17_10-15-40RMSE_TO_REF_ADAMW,4752,MeanOS,0.378647403,0.497072232,0.660420356,0.91486765,0.835003811,0.787067864,679,0.0001,0.815634105,5,Relu,294,0.487961406,0.548363713,0.63721809,0.855863513,0.796408741,0.794574036,0.609282959
models/FCN/2020-04-17_10-21-33RMSE_TO_REF_ADAMW,4752,MeanOS,0.409085836,0.481763924,0.703485665,0.899443144,0.855144876,0.765483846,677,0.0001,0.810131392,6,Relu,393,0.47531527,0.512111655,0.624800514,0.861244009,0.836642274,0.807859228,0.584078264
models/FCN/2020-04-17_10-27-31RMSE_TO_REF_ADAMW,4752,MeanOS,0.412020144,0.505122154,0.704032218,0.896638301,0.85213791,0.763860101,479,0.0001,0.830302463,7,Relu,257,0.492143368,0.533674556,0.635982683,0.84899762,0.834556079,0.804010942,0.598942884
models/FCN/2020-04-17_10-33-19RMSE_TO_REF_ADAMW,4752,MeanOS,0.429848425,0.517367477,0.748370244,0.887808635,0.830072306,0.732012485,654,0.0001,0.752093057,8,Relu,391,0.491244664,0.53395418,0.716198023,0.850900381,0.818085124,0.744821207,0.661042684
models/FCN/2020-04-17_10-39-19RMSE_TO_REF_ADAMW,4752,MeanOS,0.391069139,0.497920367,0.856836159,0.906915862,0.863194731,0.648643201,653,0.0001,0.746714946,9,Relu,169,0.589732338,0.627006874,0.740735156,0.771324495,0.774698454,0.744060566,0.710973675
models/FCN/2020-04-17_10-45-09RMSE_TO_REF_ADAMW,4752,MeanOS,0.403264244,0.509530026,0.875706696,0.900836622,0.85439141,0.635840085,524,0.0001,0.74757725,10,Relu,297,0.497439256,0.539998759,0.742344246,0.84426948,0.835452098,0.737432589,0.679040772
models/FCN/2020-04-17_10-51-09RMSE_TO_REF_ADAMW,4752,MeanOS,0.445887023,0.520166763,0.866727941,0.878565835,0.829487937,0.627006826,512,0.0001,0.779576378,11,Relu,201,0.575053098,0.582966656,0.682691889,0.787781015,0.780933263,0.762369141,0.66213087
models/FCN/2020-04-17_10-57-03RMSE_TO_REF_ADAMW,4752,MeanOS,0.394817601,0.503107822,0.803943278,0.907178214,0.831708531,0.702062552,601,0.0001,0.772267671,12,Relu,182,0.54670514,0.576759005,0.685245468,0.81193588,0.772798094,0.772267671,0.655894661
models/FCN/2020-04-17_11-03-00RMSE_TO_REF_ADAMW,4752,MeanOS,0.390874348,0.484528631,0.717393153,0.908155048,0.859320631,0.774533527,798,0.0001,0.821412031,13,Relu,465,0.465252953,0.522925819,0.634023654,0.867974013,0.834030697,0.817769631,0.590780431
models/FCN/2020-04-17_11-09-02RMSE_TO_REF_ADAMW,4752,MeanOS,0.365628292,0.479469653,0.773550661,0.921149716,0.856817773,0.737351372,715,0.0001,0.753516503,14,Relu,227,0.512509717,0.546190257,0.695641381,0.836374335,0.808704564,0.753479759,0.650053308
models/FCN/2020-04-17_11-15-04RMSE_TO_REF_ADAMW,4752,MeanOS,0.388479838,0.476517683,0.790157196,0.9101392,0.864054784,0.690053467,799,0.0001,0.756556109,15,Relu,284,0.525201573,0.543965931,0.695790806,0.826066958,0.819119821,0.753780963,0.648524066
models/FCN/2020-04-17_11-21-03RMSE_TO_REF_ADAMW,4752,MeanOS,0.403678506,0.499927667,0.706070148,0.901626877,0.850956582,0.754250209,702,0.0001,0.78805711,16,Relu,293,0.505006397,0.54505449,0.674669684,0.840532061,0.820159455,0.767017018,0.633326658
models/FCN/2020-04-17_11-27-01RMSE_TO_REF_ADAMW,4752,MeanOS,0.391287765,0.478045737,0.794094212,0.909384812,0.845331074,0.719145601,701,0.0001,0.805035588,17,Relu,280,0.505366703,0.532809599,0.644627067,0.842836951,0.807159475,0.797575851,0.608274583
models/FCN/2020-04-17_11-33-02RMSE_TO_REF_ADAMW,4752,MeanOS,0.400029826,0.487475818,0.77324797,0.903891024,0.848231069,0.715088187,675,0.0001,0.793460042,18,Relu,288,0.521273435,0.538199444,0.656430589,0.830689021,0.811804318,0.79207137,0.618409321
models/FCN/2020-04-17_11-39-01RMSE_TO_REF_ADAMW,4752,MeanOS,0.367326111,0.485675918,0.74720499,0.920142207,0.840555027,0.735132768,773,0.0001,0.787302229,19,Relu,242,0.515524573,0.564731817,0.687762534,0.835207567,0.777401788,0.770287295,0.650780085
