Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-06-20_22-11-13COMBINATION_SOURCE,4831,MeanOS,0.396722032,0.478197078,0.957610733,0.908385063,0.863204453,0.616779476,595,0.0001,0.841579197,0,Relu,88,0.610616188,0.608607601,0.641360808,0.764715842,0.768492146,0.830335654,0.659567226
models/FCN/2020-06-20_22-15-04COMBINATION_SOURCE,4831,MeanOS_RAW,0.414669585,0.482941376,0.905758475,0.888224122,0.842599346,0.617190385,531,0.0001,0.83990738,0,Relu,88,0.592686106,0.59825751,0.6115877,0.751278378,0.745606218,0.829706448,0.647170752
models/FCN/2020-06-20_22-18-49COMBINATION_SOURCE,4831,MeanOS,0.429721654,0.487363872,0.751441492,0.891615025,0.868809884,0.767006271,624,0.0001,0.826718751,1,Relu,423,0.492698559,0.507389998,0.686468474,0.853050646,0.859882689,0.792096117,0.620819052
models/FCN/2020-06-20_22-22-52COMBINATION_SOURCE,4831,MeanOS_RAW,0.417884873,0.474029984,0.746925304,0.885410923,0.858221541,0.746843968,689,0.0001,0.822094961,1,Relu,460,0.48107867,0.49628433,0.679201053,0.843833505,0.846274791,0.773104432,0.617684067
models/FCN/2020-06-20_22-27-03COMBINATION_SOURCE,4831,MeanOS,0.412372903,0.495628324,1.054400653,0.90062871,0.855444145,0.517188242,682,0.0001,0.818509367,2,Relu,189,0.59881952,0.579531779,0.675931128,0.774963755,0.798647725,0.80840533,0.659458288
models/FCN/2020-06-20_22-31-09COMBINATION_SOURCE,4831,MeanOS_RAW,0.400796977,0.492133296,1.185423049,0.894801465,0.840129088,0.342471696,799,0.0001,0.816128634,2,Relu,201,0.580468698,0.562376637,0.651635602,0.762501832,0.786618041,0.80392216,0.643416376
models/FCN/2020-06-20_22-35-21COMBINATION_SOURCE,4831,MeanOS,0.41566465,0.476385865,0.675472714,0.900314763,0.849419794,0.791319766,481,0.0001,0.849443213,3,Relu,179,0.535562657,0.523404887,0.61807377,0.826948245,0.819360334,0.817013589,0.594608995
models/FCN/2020-06-20_22-39-34COMBINATION_SOURCE,4831,MeanOS_RAW,0.427615287,0.482200177,0.662464283,0.881141234,0.824762163,0.779064105,449,0.0001,0.850219912,3,Relu,194,0.522685949,0.51755756,0.581932306,0.816300961,0.804390275,0.811930491,0.576574774
models/FCN/2020-06-20_22-43-40COMBINATION_SOURCE,4831,MeanOS,0.384025411,0.452328674,0.912438821,0.915273489,0.866415471,0.658134963,642,0.0001,0.862346458,4,Relu,176,0.541096926,0.548734944,0.605083595,0.822649174,0.798550132,0.845254448,0.597577546
models/FCN/2020-06-20_22-47-52COMBINATION_SOURCE,4831,MeanOS_RAW,0.375713812,0.442079885,0.990743237,0.90973886,0.856498876,0.549795127,751,0.0001,0.859993919,4,Relu,199,0.520130764,0.534120355,0.597282433,0.818035648,0.788207863,0.818152893,0.58883353
