Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,MeanLoss,MeanPCC,DiffLoss,DiffPCC,Dist
models/GRU/2020-08-23_14-33-17,8,Mean,0.526422792,0.542399175,0.80665728,0.826504776,0.80194642,0.636156766,5,0.0001,0.636156766,0,0.625159749,0.754869321,0.280234488,0.190348009,0.752115346
models/GRU/2020-08-23_15-38-23,8,Mean,0.575640617,0.58848799,0.836364733,0.788101866,0.761259317,0.611027408,4,0.0001,0.611027408,1,0.666831113,0.72012953,0.260724116,0.177074458,0.788874922
models/GRU/2020-08-23_16-44-08,8,Mean,0.621444117,0.597475688,0.839215903,0.747534217,0.75351106,0.597855981,3,0.0001,0.603057577,2,0.686045236,0.699633752,0.241740214,0.155655078,0.80221243
models/GRU/2020-08-23_17-49-54,8,Mean,0.619610256,0.630045761,0.808098527,0.749048217,0.720636617,0.63576699,3,0.0001,0.63576699,3,0.685918181,0.701817275,0.18848827,0.113281227,0.77958781
models/GRU/2020-08-23_18-55-55,8,Mean,0.445303946,0.507461432,0.860183277,0.879313552,0.827779078,0.583115094,8,0.0001,0.583115094,4,0.604316218,0.763402575,0.414879331,0.296198457,0.825248338
models/GRU/2020-08-23_20-01-59,8,Mean,0.535800429,0.585904225,0.830685858,0.819563673,0.770182623,0.606060725,5,0.0001,0.618604035,5,0.650796837,0.731935673,0.294885429,0.213502948,0.792424086
models/GRU/2020-08-23_21-08-02,8,Mean,0.490012562,0.532286976,0.835484415,0.851753062,0.817372303,0.601353337,6,0.0001,0.601353337,6,0.619261317,0.756826234,0.345471853,0.250399724,0.79035997
models/GRU/2020-08-23_22-13-57,8,Mean,0.626173099,0.6013205,0.83113248,0.74299206,0.747453244,0.602880019,3,0.0001,0.602880019,7,0.686208693,0.697775108,0.229811981,0.144573225,0.79745672
models/GRU/2020-08-23_23-20-00,8,Mean,0.466256626,0.529716724,0.817049772,0.866831332,0.811200182,0.630915258,7,0.0001,0.630915258,8,0.604341041,0.769648924,0.350793146,0.235916074,0.772659005
models/GRU/2020-08-24_00-26-44,8,Mean,0.522194475,0.54209263,0.883821059,0.829514343,0.80282037,0.554236623,5,0.0001,0.576724321,9,0.649369388,0.728857112,0.361626584,0.27527772,0.837705603
models/GRU/2020-08-24_01-34-02,8,Mean,0.535743765,0.545859086,0.783911069,0.819639887,0.800968606,0.666722344,5,0.0001,0.666722344,10,0.621837973,0.762443612,0.248167305,0.152917542,0.726695458
models/GRU/2020-08-24_02-41-10,8,Mean,0.513070325,0.547995483,0.817359776,0.836125029,0.802553183,0.62756986,6,0.0001,0.632711621,11,0.626141861,0.755416024,0.304289451,0.208555169,0.766786985
models/GRU/2020-08-24_03-48-37,8,Mean,0.521861919,0.550718091,0.796645888,0.829811787,0.796246926,0.654438506,5,0.0001,0.665214884,12,0.6230753,0.76016574,0.274783969,0.175373281,0.742970604
models/GRU/2020-08-24_04-55-55,8,Mean,0.535348842,0.574616943,0.881062473,0.819909815,0.782140862,0.573305731,5,0.0001,0.582476143,13,0.663676086,0.725118803,0.345713631,0.246604084,0.834480143
models/GRU/2020-08-24_06-03-08,8,Mean,0.634726683,0.633299165,0.826135826,0.73439789,0.723010117,0.619924976,3,0.0001,0.619924976,14,0.698053891,0.692444328,0.192836661,0.114472914,0.795084745
models/GRU/2020-08-24_07-10-19,8,Mean,0.523378707,0.531402082,0.851819901,0.828677225,0.812084443,0.591157746,5,0.0001,0.611996774,15,0.635533564,0.743973138,0.328441194,0.237519479,0.796079007
models/GRU/2020-08-24_08-17-33,8,Mean,0.630562459,0.596641469,0.838078215,0.738614608,0.757669549,0.621937789,3,0.0001,0.621937789,16,0.688427381,0.706073982,0.241436746,0.13573176,0.798147591
models/GRU/2020-08-24_09-24-43,8,Mean,0.593661351,0.569861627,0.822777601,0.77274328,0.790059103,0.641437851,4,0.0001,0.641437851,17,0.662100193,0.734746745,0.252915974,0.148621251,0.771226764
models/GRU/2020-08-24_10-31-55,8,Mean,0.530372705,0.565919671,0.796050694,0.823706178,0.7821279,0.650956298,5,0.0001,0.650956298,18,0.630781023,0.752263459,0.265677988,0.17274988,0.748121252
models/GRU/2020-08-24_11-38-50,8,Mean,0.565285168,0.55331171,0.841956113,0.796635337,0.79221235,0.60828586,4,0.0001,0.612438076,19,0.653517664,0.732377849,0.288644403,0.188349477,0.785810454
models/GRU/2020-08-24_12-44-57,8,Mean,0.575041215,0.568380406,0.83693562,0.788601036,0.779293782,0.597733472,4,0.0001,0.597733472,20,0.660119081,0.721876096,0.268555213,0.190867564,0.788455728
models/GRU/2020-08-24_14-03-44,8,Mean,0.6799449,0.640067102,0.835556609,0.686805918,0.706237525,0.603276521,2,0.0001,0.603276521,21,0.71852287,0.665439988,0.195489507,0.102961003,0.82281385
models/GRU/2020-08-24_15-09-42,8,Mean,0.627297435,0.640602137,0.822581712,0.741693995,0.73223421,0.6372285,3,0.0001,0.6372285,22,0.696827094,0.703718902,0.195284277,0.104465495,0.788922986
models/GRU/2020-08-24_16-16-26,8,Mean,0.626006207,0.621678026,0.80808375,0.74320704,0.728307853,0.629717046,3,0.0001,0.629717046,23,0.685255994,0.700410646,0.186405724,0.113489993,0.779074214
models/GRU/2020-08-24_17-23-34,8,Mean,0.564331846,0.56217553,0.797873193,0.797414363,0.79199532,0.650969765,4,0.0001,0.650969765,24,0.64146019,0.746793149,0.235697664,0.146444597,0.743360137
models/GRU/2020-08-24_18-31-10,8,Mean,0.531938566,0.578254544,0.814000483,0.822458493,0.78043647,0.634076707,5,0.0001,0.634076707,25,0.641397864,0.745657223,0.282061917,0.188381786,0.768848549
models/GRU/2020-08-24_20-05-56,8,Mean,0.539294839,0.566427582,0.796378512,0.816929145,0.782990997,0.648713478,5,0.0001,0.648713478,26,0.634033644,0.74954454,0.257083673,0.168215667,0.747740011
models/GRU/2020-08-24_21-14-09,8,Mean,0.583192925,0.586510535,0.871912792,0.781850002,0.768337059,0.567876758,4,0.0001,0.600114552,27,0.680538751,0.706021273,0.288719866,0.213973244,0.823832625
models/GRU/2020-08-24_22-19-55,8,Mean,0.535661885,0.53981473,0.826176606,0.819801367,0.809486462,0.612167503,5,0.0001,0.627736872,28,0.633884407,0.747151777,0.290514721,0.207633863,0.770228725
models/GRU/2020-08-24_23-25-22,8,Mean,0.490395822,0.517130997,0.851850068,0.851430537,0.821210407,0.594551562,6,0.0001,0.594551562,29,0.619792296,0.755730835,0.361454246,0.256878975,0.800278636
