Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,MeanLoss,MeanPCC,DiffLoss,DiffPCC,Dist
models/GRU/2020-08-28_16-14-11,48,Mean,0.523650464,0.607567,0.862384451,0.830923458,0.741578491,0.583776742,32,0.0001,0.594406637,0,0.664533972,0.718759564,0.338733987,0.247146715,0.834580012
models/GRU/2020-08-28_16-51-46,48,Mean,0.493216433,0.581208264,0.802098859,0.852253784,0.767868584,0.638793117,41,0.0001,0.641043883,1,0.625507852,0.752971828,0.308882427,0.213460667,0.770231654
models/GRU/2020-08-28_17-31-01,48,Mean,0.60225858,0.632283582,0.859497579,0.769152767,0.723899324,0.617091373,19,0.0001,0.626003402,2,0.698013247,0.703381155,0.257238999,0.152061394,0.815168573
models/GRU/2020-08-28_18-10-50,48,Mean,0.529366288,0.589314881,0.8620676,0.826363396,0.762090867,0.570361895,30,0.0001,0.571829006,3,0.66024959,0.719605386,0.332701312,0.256001501,0.83113031
models/GRU/2020-08-28_18-50-17,48,Mean,0.461998568,0.550266832,0.824134849,0.871610758,0.797959539,0.622505516,50,0.0001,0.626500321,4,0.612133416,0.764025271,0.362136281,0.249105242,0.789675566
models/GRU/2020-08-28_19-29-30,48,Mean,0.506660524,0.559016135,0.870625131,0.843352549,0.786404185,0.572886021,34,0.0001,0.574192102,5,0.64543393,0.734214252,0.363964607,0.270466528,0.832375757
models/GRU/2020-08-28_20-08-59,48,Mean,0.474884845,0.550428955,0.805402547,0.863251185,0.793813724,0.643202183,46,0.0001,0.643202183,6,0.610238782,0.766755697,0.330517701,0.220049002,0.764498391
models/GRU/2020-08-28_20-48-09,48,Mean,0.553738323,0.594887375,0.821449454,0.807542273,0.754380898,0.627293579,27,0.0001,0.630078693,7,0.656691718,0.729738917,0.267711131,0.180248694,0.780028145
models/GRU/2020-08-28_21-27-40,48,Mean,0.499104685,0.572934208,0.801950489,0.848084145,0.774052283,0.642699097,34,0.0001,0.65141137,8,0.624663127,0.754945175,0.302845805,0.205385049,0.7643
models/GRU/2020-08-28_22-07-11,48,Mean,0.578395106,0.595743733,0.862672882,0.787200009,0.752244913,0.58112069,21,0.0001,0.58112069,9,0.67893724,0.706855204,0.284277776,0.206079318,0.81864045
models/GRU/2020-08-28_22-46-40,48,Mean,0.563832801,0.608107045,0.872644162,0.801086311,0.741283333,0.563674364,28,0.0001,0.563674364,10,0.681528003,0.702014669,0.308811361,0.237411947,0.8396455
