Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,MeanLoss,MeanPCC,DiffLoss,DiffPCC,Dist
models/LSTM/2020-08-23_14-37-31,8,Mean,0.5055968679,0.5845657608,0.9138612078,0.8412354888,0.77488278,0.5357759847,6,0.0001,0.5410124339,0,0.6680079455,0.7172980845,0.4082643399,0.3054595041,0.8866455144
models/LSTM/2020-08-23_15-53-20,8,Mean,0.5435174813,0.582814026,0.9009361201,0.8138352612,0.7745227094,0.5087753142,5,0.0001,0.5160365141,1,0.6757558758,0.6990444283,0.3574186388,0.305059947,0.8763731594
models/LSTM/2020-08-23_17-09-45,8,Mean,0.5625448958,0.5872381275,0.9242065682,0.7988718745,0.7636212428,0.5110068984,4,0.0001,0.5248236106,2,0.6913298638,0.6911666719,0.3616616723,0.2878649761,0.8871191661
models/LSTM/2020-08-23_18-26-10,8,Mean,0.5612223672,0.6226734405,0.9005373902,0.7999644672,0.7315624167,0.5271029822,4,0.0001,0.5271029822,3,0.694811066,0.6862099554,0.3393150231,0.272861485,0.8779605255
models/LSTM/2020-08-23_19-42-10,8,Mean,0.4917132704,0.5514468147,0.8912138296,0.8505513851,0.7940681214,0.5452152437,6,0.0001,0.5515468123,4,0.6447913049,0.7299449167,0.3995005592,0.3053361414,0.8611134832
models/LSTM/2020-08-23_20-58-05,8,Mean,0.6714884042,0.6610352379,0.8991319969,0.696248942,0.6939752125,0.5060125427,2,0.0001,0.5172375792,5,0.743885213,0.6320788991,0.2380967591,0.1902363993,0.8840877224
models/LSTM/2020-08-23_22-14-06,8,Mean,0.5628485101,0.5691545209,0.961139338,0.7986080027,0.7802321699,0.4143283239,4,0.0001,0.4717669986,6,0.697714123,0.6643894989,0.3982908278,0.3842796788,0.9517068146
models/LSTM/2020-08-23_23-30-05,8,Mean,0.5423430434,0.5799310887,0.8737890512,0.8146520106,0.7684037213,0.5555425741,5,0.0001,0.5555425741,7,0.6653543944,0.712866102,0.3314460078,0.2591094366,0.8379358578
models/LSTM/2020-08-24_00-48-04,8,Mean,0.5673790368,0.5934182,0.8492739009,0.7950536028,0.7570239547,0.5811296797,4,0.0001,0.5855817612,8,0.6700237126,0.711069079,0.2818948641,0.2139239231,0.810950684
models/LSTM/2020-08-24_02-06-20,8,Mean,0.6684893439,0.6782714127,0.9132439463,0.6994753852,0.6690642922,0.4984976528,2,0.0001,0.516462647,9,0.7533349009,0.6223457768,0.2447546024,0.2009777324,0.900240551
models/LSTM/2020-08-24_03-24-31,8,Mean,0.5568266286,0.6014499862,0.9606410005,0.8033385855,0.7615145037,0.4216302112,4,0.0001,0.4408027793,10,0.7063058718,0.6621611001,0.403814372,0.3817083743,0.9600887651
models/LSTM/2020-08-24_04-42-42,8,Mean,0.5345116026,0.5536947611,0.9234287383,0.820528325,0.7929177988,0.4807816219,5,0.0001,0.4928921652,11,0.670545034,0.6980759152,0.3889171357,0.3397467031,0.8985951014
