Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,MeanLoss,MeanPCC,DiffLoss,DiffPCC,Dist
models/CNN/2020-08-23_14-28-43,132,Mean,0.5010603074,0.5125641783,0.8188253067,0.8427092193,0.8415875929,0.6184945722,93,0.0001,0.6283904358,0,0.6108165975,0.7675971281,0.3177649993,0.2242146472,0.7604964256
models/CNN/2020-08-23_14-36-27,132,Mean,0.511465815,0.5450764178,0.8445333447,0.8354700499,0.8155308257,0.5919519365,79,0.0001,0.5969968812,1,0.6336918592,0.7476509374,0.3330675297,0.2435181134,0.7971702909
models/CNN/2020-08-23_14-43-36,132,Mean,0.5205473894,0.5598115356,0.8249923536,0.8290360565,0.8120701138,0.6091831421,80,0.0001,0.6091831421,2,0.6351170929,0.7500964374,0.3044449642,0.2198529143,0.7790042057
models/CNN/2020-08-23_14-50-17,132,Mean,0.5238354434,0.5292770306,0.8370749129,0.826576214,0.8269403291,0.5974244499,82,0.0001,0.6027580953,3,0.6300624623,0.7503136644,0.3132394695,0.2295158792,0.7811008108
models/CNN/2020-08-23_14-57-33,132,Mean,0.6042084342,0.6002085419,0.8530625472,0.7606424171,0.771146615,0.5833673291,33,0.0001,0.5833673291,4,0.6858265078,0.7050521204,0.2528540052,0.1877792859,0.810276779
models/CNN/2020-08-23_15-04-25,132,Mean,0.4879505094,0.5346177939,0.8692012525,0.8515862037,0.8241540219,0.55415946,99,0.0001,0.55415946,5,0.6305898519,0.7432998952,0.3812507431,0.2974267437,0.8350768241
models/CNN/2020-08-23_15-11-52,132,Mean,0.5004376045,0.5221916167,0.8014428471,0.8431845841,0.8336748873,0.6368405185,89,0.0001,0.6503288653,6,0.6080240228,0.77123333,0.3010052426,0.2063440655,0.7451237689
models/CNN/2020-08-23_15-18-57,132,Mean,0.6139388796,0.6216760366,0.8816328423,0.7515763227,0.7513040514,0.5849030378,29,0.0001,0.5850190773,7,0.7057492528,0.695927804,0.2676939627,0.1666732848,0.8306515213
models/CNN/2020-08-23_15-26-30,132,Mean,0.5328746046,0.5520860119,0.8777847711,0.819901102,0.8116542588,0.5452188229,64,0.0001,0.5525984607,8,0.6542484625,0.7255913946,0.3449101665,0.2746822791,0.8353170122
models/CNN/2020-08-23_15-33-45,132,Mean,0.504852867,0.5414956694,0.8400066656,0.8401405678,0.8183000199,0.5892594518,87,0.0001,0.5918855329,9,0.6287850673,0.7492333465,0.3351537986,0.250881116,0.7959421954
models/CNN/2020-08-23_15-41-22,132,Mean,0.5231991829,0.5714447773,0.8522260995,0.8270432851,0.7950327571,0.5857179691,71,0.0001,0.5861226122,10,0.6489566866,0.7359313371,0.3290269167,0.241325316,0.8107858286
models/CNN/2020-08-23_15-48-46,132,Mean,0.5220857839,0.5435633106,0.83042987,0.8278413279,0.8197637519,0.6055276869,71,0.0001,0.6055276869,11,0.6320263215,0.7510442556,0.3083440861,0.222313641,0.7784186946
models/CNN/2020-08-23_15-56-27,132,Mean,0.618051249,0.647319933,0.8817556748,0.7476817245,0.7277814173,0.5423308713,32,0.0001,0.5468382069,12,0.7157089522,0.6725980044,0.2637044259,0.2053508532,0.8550674641
models/CNN/2020-08-23_16-03-59,132,Mean,0.5827283371,0.5933230365,0.8550456395,0.7797641012,0.7770727754,0.5857586589,39,0.0001,0.5857586589,13,0.6770323377,0.7141985118,0.2723173024,0.1940054424,0.8073723439
models/CNN/2020-08-23_16-11-44,132,Mean,0.5277240863,0.5540328413,0.8556042058,0.823705286,0.8083956421,0.5794720842,73,0.0001,0.5843563304,14,0.6457870445,0.7371910041,0.3278801195,0.2442332018,0.8082479228
models/CNN/2020-08-23_16-19-20,132,Mean,0.5004141017,0.5542615695,0.8886936604,0.8431668506,0.809156564,0.5318224899,83,0.0001,0.5318224899,15,0.6477897772,0.7280486348,0.3882795588,0.3113443607,0.8609793651
models/CNN/2020-08-23_16-27-09,132,Mean,0.4943545918,0.5067656857,0.8417960346,0.8473240228,0.8446886954,0.5933113665,88,0.0001,0.5962837508,16,0.6143054374,0.7617746949,0.3474414428,0.2540126563,0.7869945693
models/CNN/2020-08-23_16-34-50,132,Mean,0.5218865577,0.5212614892,0.8368890254,0.827998692,0.8327348094,0.5955844993,86,0.0001,0.6064794413,17,0.6266790241,0.7521060002,0.3156275362,0.2371503101,0.7810499635
models/CNN/2020-08-23_16-42-39,132,Mean,0.5065133553,0.5533901294,0.8505973669,0.8389685691,0.8160302166,0.5780972107,82,0.0001,0.5780972107,18,0.6368336172,0.7443653321,0.3440840116,0.2608713584,0.8107735887
models/CNN/2020-08-23_16-50-25,132,Mean,0.5279319529,0.5575307272,0.8487678955,0.8235729804,0.8117079812,0.5832643556,69,0.0001,0.5907931518,19,0.6447435252,0.7395151057,0.3208359426,0.2403086248,0.8026397266
models/CNN/2020-08-23_16-58-15,132,Mean,0.5371034898,0.5635056268,0.8602444047,0.8167038069,0.8025117024,0.5690577246,61,0.0001,0.5717946142,20,0.6536178404,0.7294244113,0.3231409149,0.2476460823,0.8161960938
models/CNN/2020-08-23_17-06-02,132,Mean,0.5149893381,0.5646495448,0.8535082939,0.8329599091,0.8020748331,0.5807775938,76,0.0001,0.5807775938,21,0.6443823922,0.738604112,0.3385189558,0.2521823153,0.8134786299
models/CNN/2020-08-23_17-13-55,132,Mean,0.5447070778,0.5751915841,0.8741440612,0.810894855,0.7946715345,0.5499046652,64,0.0001,0.5499046652,22,0.6646809077,0.7184903516,0.3294369834,0.2609901898,0.8352801903
models/CNN/2020-08-23_17-21-45,132,Mean,0.4962208073,0.50398454,0.858078002,0.8460407991,0.8472491666,0.5680024328,87,0.0001,0.5796458287,23,0.6194277831,0.7537641328,0.3618571947,0.2792467338,0.8082340307
models/CNN/2020-08-23_17-29-40,132,Mean,0.5074523007,0.5351663212,0.8076406932,0.83830985,0.8254146944,0.6323471957,87,0.0001,0.6394705979,24,0.616753105,0.7653572467,0.3001883925,0.2059626542,0.7536413604
models/CNN/2020-08-23_17-37-31,132,Mean,0.5641687247,0.5836798722,0.8579686941,0.7954069344,0.7870325556,0.5671937827,50,0.0001,0.5687076474,25,0.6686057636,0.7165444242,0.2937999694,0.2282131517,0.8159536722
models/CNN/2020-08-23_17-45-26,132,Mean,0.4940763745,0.5593109051,0.8592397732,0.8474767492,0.8091445458,0.5691086969,90,0.0001,0.5691086969,26,0.6375423509,0.7419099973,0.3651633987,0.2783680523,0.8269847514
models/CNN/2020-08-23_17-53-20,132,Mean,0.6211466899,0.638140373,0.8454626145,0.7447259995,0.7447686746,0.5844091548,30,0.0001,0.5844091548,27,0.7015832258,0.6913012763,0.2243159245,0.1603595198,0.8145837798
models/CNN/2020-08-23_18-01-15,132,Mean,0.494709185,0.5331691394,0.847386408,0.847038929,0.8248079306,0.589077598,93,0.0001,0.5998937187,28,0.6250882442,0.7536414859,0.352677223,0.257961331,0.8014693396
models/CNN/2020-08-23_18-09-09,132,Mean,0.6050986571,0.5905697394,0.830855201,0.7598264427,0.7785845041,0.6132780315,34,0.0001,0.6132780315,29,0.6755078658,0.7172296595,0.2402854617,0.1653064726,0.7882469634
