Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,MeanLoss,MeanPCC,DiffLoss,DiffPCC,Dist
models/CNN/2020-08-23_23-41-07,132,Mean,0.7527178187,0.8876219923,0.9304714017,0.5843867055,0.5167416939,0.4507915082,11,0.0001,0.5607305569,0,0.8569370709,0.5173066359,0.177753583,0.1335951973,1.0083541245
models/CNN/2020-08-24_00-02-42,132,Mean,0.7080021315,0.894576502,0.9557703248,0.646061563,0.4468196076,0.4160925507,21,0.0001,0.477690191,1,0.8527829861,0.5029912404,0.2477681933,0.2299690123,1.0433270593
models/CNN/2020-08-24_00-25-54,132,Mean,0.6950606982,0.8312289974,0.9238090983,0.6621825333,0.6149496813,0.461809682,22,0.0001,0.4999918045,2,0.816699598,0.5796472989,0.2287484001,0.2003728513,0.9675586477
models/CNN/2020-08-24_00-48-19,132,Mean,0.4994870939,0.7647091235,0.9007539895,0.842699782,0.6735897157,0.501037771,95,0.0001,0.5402410959,3,0.721650069,0.6724424229,0.4012668956,0.3416620111,0.9517462055
models/CNN/2020-08-24_01-11-55,132,Mean,0.5685335508,0.7444825193,0.9021976572,0.7901545708,0.6680918968,0.5021362237,59,0.0001,0.5021362237,4,0.7384045757,0.6534608971,0.3336641064,0.2880183471,0.9271553114
models/CNN/2020-08-24_01-34-52,132,Mean,0.5250658239,0.8059979152,0.907197606,0.8244767352,0.7049754226,0.528610746,77,0.0001,0.528610746,5,0.7460871151,0.6860209679,0.3821317821,0.2958659891,0.9427567015
models/CNN/2020-08-24_01-58-41,132,Mean,0.653391196,0.7660087357,0.9706105283,0.7098330687,0.6200323117,0.4208772377,29,0.0001,0.5277295529,6,0.7966701533,0.5835808727,0.3172193324,0.288955831,0.9960982883
models/CNN/2020-08-24_02-21-59,132,Mean,0.655857415,0.8327378038,0.9775276097,0.7071396605,0.5268464527,0.4306220081,27,0.0001,0.4723202527,7,0.8220409429,0.5548693738,0.3216701947,0.2765176524,1.026560428
models/CNN/2020-08-24_02-46-02,132,Mean,0.6584585896,0.8977232093,0.9582610157,0.7043821774,0.4324080906,0.4050341051,23,0.0001,0.4910176943,8,0.8381476049,0.5139414577,0.2998024261,0.2993480723,1.057466348
models/CNN/2020-08-24_03-09-41,132,Mean,0.6925434214,0.8017795671,0.9943933124,0.6652872816,0.565001711,0.4518183069,23,0.0001,0.5135766592,9,0.8295721003,0.5607024331,0.3018498911,0.2134689747,1.0088877944
