Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,MeanLoss,MeanPCC,DiffLoss,DiffPCC,Dist
models/CNN/2020-08-23_23-31-33,132,Mean,0.728532216,0.846954733,1.008089705,0.619613209,0.489289264,0.422520263,93,0.0001,0.446767549,0,0.861192218,0.510474245,0.279557489,0.197092946,1.047991183
models/CNN/2020-08-24_00-11-41,132,Mean,0.732335924,0.850544819,0.980291914,0.614454111,0.480378245,0.46136519,99,0.0001,0.46136519,1,0.854390886,0.518732515,0.24795599,0.153088921,1.022995879
models/CNN/2020-08-24_00-54-39,132,Mean,0.770452814,0.878554518,0.967859655,0.556901633,0.446447661,0.409053022,85,0.0001,0.48666137,2,0.872288996,0.470800772,0.197406841,0.147848611,1.049651651
models/CNN/2020-08-24_01-36-48,132,Mean,0.781483295,0.878143727,0.974726775,0.538665258,0.431352813,0.438918888,84,0.0001,0.441633224,3,0.878117932,0.469645653,0.19324348,0.107312445,1.049393082
models/CNN/2020-08-24_02-20-21,132,Mean,0.753520486,0.855491386,0.941728117,0.583544504,0.501580109,0.484275664,81,0.0001,0.528295055,4,0.850246663,0.523133426,0.188207631,0.09926884,0.997796338
models/CNN/2020-08-24_03-03-34,132,Mean,0.714216437,0.884626119,0.955518784,0.638903472,0.453934009,0.424587127,96,0.0001,0.437133233,5,0.85145378,0.505808203,0.241302347,0.214316345,1.036029628
models/CNN/2020-08-24_03-47-23,132,Mean,0.724228618,0.874334001,0.988113497,0.62554351,0.441710475,0.411646388,98,0.0001,0.423777053,6,0.862225372,0.492966791,0.26388488,0.213897123,1.056362852
models/CNN/2020-08-24_04-31-01,132,Mean,0.764271809,0.853686691,0.966656687,0.566877138,0.492356084,0.441727951,93,0.0001,0.457325438,7,0.861538396,0.500320391,0.202384878,0.125149187,1.023987342
models/CNN/2020-08-24_05-14-58,132,Mean,0.729465777,0.876233246,0.97504799,0.618050673,0.469545699,0.386935946,85,0.0001,0.420912604,8,0.860249004,0.491510773,0.245582213,0.231114727,1.054663114
models/CNN/2020-08-24_05-58-52,132,Mean,0.759727842,0.885548129,0.926820295,0.574211415,0.509246097,0.474988364,82,0.0001,0.480532772,9,0.857365422,0.519481959,0.167092453,0.099223052,1.001867335
models/CNN/2020-08-24_06-42-56,132,Mean,0.764070724,0.893889844,0.963818513,0.567112819,0.454250733,0.405593977,89,0.0001,0.433548279,10,0.87392636,0.47565251,0.199747788,0.161518842,1.051035246
models/CNN/2020-08-24_07-27-07,132,Mean,0.742300179,0.899561564,0.954021552,0.599684388,0.456180632,0.408447474,92,0.0001,0.459312594,11,0.865294432,0.488104165,0.211721373,0.191236914,1.045069039
models/CNN/2020-08-24_08-11-29,132,Mean,0.75693107,0.886472963,0.956979768,0.578288773,0.440374108,0.427064175,95,0.0001,0.456055449,12,0.8667946,0.481909019,0.200048698,0.151224599,1.040499642
models/CNN/2020-08-24_08-55-45,132,Mean,0.766224353,0.83688706,0.978142741,0.564323708,0.514299304,0.405718253,80,0.0001,0.477854051,13,0.860418051,0.494780422,0.211918388,0.158605455,1.032294114
models/CNN/2020-08-24_09-39-59,132,Mean,0.746317927,0.866856,0.953855149,0.594121296,0.497263514,0.422981616,93,0.0001,0.465472944,14,0.855676359,0.504788809,0.207537221,0.17113968,1.024586084
models/CNN/2020-08-24_10-25-28,132,Mean,0.742285015,0.878555908,0.999533132,0.600333712,0.443318856,0.398810662,89,0.0001,0.398810662,15,0.873458018,0.480821077,0.257248117,0.20152305,1.067363011
models/CNN/2020-08-24_11-10-29,132,Mean,0.748261698,0.860087784,0.981064012,0.591225388,0.480261828,0.395788737,94,0.0001,0.414920569,16,0.863137831,0.489091984,0.232802313,0.195436651,1.048058356
models/CNN/2020-08-24_11-54-24,132,Mean,0.755655911,0.8390927,0.9761854,0.58017782,0.509643256,0.417585537,95,0.0001,0.450651641,17,0.856978004,0.502468871,0.220529489,0.162592282,1.028113821
models/CNN/2020-08-24_12-36-11,132,Mean,0.752862198,0.876787671,0.972624333,0.58493109,0.454940296,0.417073348,93,0.0001,0.449155817,18,0.867424734,0.485648245,0.219762135,0.167857742,1.045683994
models/CNN/2020-08-24_13-19-36,132,Mean,0.764467765,0.879600755,0.9514521,0.566667503,0.456306791,0.454061256,89,0.0001,0.456349776,19,0.86517354,0.492345183,0.186984335,0.112606247,1.026587539
models/CNN/2020-08-24_14-06-22,132,Mean,0.738739601,0.874805329,0.935186581,0.604964227,0.465054973,0.50244941,90,0.0001,0.50244941,20,0.84957717,0.524156204,0.19644698,0.139909254,1.003182288
models/CNN/2020-08-24_14-54-48,132,Mean,0.745044197,0.887453134,0.985083171,0.59592363,0.430570027,0.410030444,99,0.0001,0.454267422,21,0.872526834,0.478841367,0.240038973,0.185893186,1.060699949
models/CNN/2020-08-24_15-43-29,132,Mean,0.715067468,0.855529449,0.945932323,0.636976899,0.478035769,0.478130962,99,0.0001,0.491293552,22,0.83884308,0.531047876,0.230864855,0.15894113,1.001066767
models/CNN/2020-08-24_16-31-09,132,Mean,0.75144089,0.849451642,0.969824729,0.586419741,0.489629644,0.437617217,90,0.0001,0.500350948,23,0.856905754,0.504555534,0.218383839,0.148802523,1.024493232
models/CNN/2020-08-24_17-17-30,132,Mean,0.766117552,0.867038742,0.954370178,0.564089331,0.457997681,0.450021957,83,0.0001,0.468683703,24,0.862508824,0.49070299,0.188252626,0.114067374,1.025551234
models/CNN/2020-08-24_18-05-24,132,Mean,0.765475464,0.857564658,0.978335866,0.564780369,0.476360109,0.430253869,95,0.0001,0.513903717,25,0.867125329,0.490464782,0.212860402,0.1345265,1.036792845
models/CNN/2020-08-24_19-03-02,132,Mean,0.78489808,0.877727148,0.992144987,0.532987634,0.445311096,0.376912792,86,0.0001,0.409901252,26,0.884923405,0.451737174,0.207246907,0.156074843,1.072843043
models/CNN/2020-08-24_20-04-36,132,Mean,0.799451827,0.865394229,0.973554817,0.507101732,0.467190199,0.402571641,63,0.0001,0.427003806,27,0.879466958,0.458954524,0.174102991,0.104530091,1.052345346
models/CNN/2020-08-24_20-52-52,132,Mean,0.74642836,0.886855098,0.944322568,0.594120966,0.443255453,0.477340171,94,0.0001,0.483330601,28,0.859202009,0.50490553,0.197894208,0.150865513,1.022384051
models/CNN/2020-08-24_21-43-01,132,Mean,0.756296376,0.901095242,0.970478278,0.579150326,0.406289496,0.45720496,93,0.0001,0.45720496,29,0.875956632,0.480881594,0.214181902,0.172860831,1.054769498
