Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,MeanLoss,MeanPCC,DiffLoss,DiffPCC,Dist
models/GRU/2020-08-28_16-13-45,48,Mean,0.620825176,0.652038904,0.886251975,0.756281948,0.693868464,0.598536227,55,0.0001,0.599699699,0,0.719705352,0.682895547,0.2654268,0.157745721,0.844905987
models/GRU/2020-08-28_16-39-08,48,Mean,0.616211185,0.644426753,0.866961983,0.760607173,0.703753159,0.602748486,54,0.0001,0.616201287,1,0.709199974,0.689036273,0.250750798,0.157858687,0.829131093
models/GRU/2020-08-28_17-06-13,48,Mean,0.649962138,0.652941325,0.913997871,0.73020431,0.698342825,0.550020006,47,0.0001,0.551256774,2,0.738967111,0.65952238,0.264035732,0.180184304,0.874173125
models/GRU/2020-08-28_17-33-10,48,Mean,0.621522864,0.646070734,0.897502249,0.755613466,0.701045266,0.569756388,57,0.0001,0.569756388,3,0.721698616,0.675471707,0.275979385,0.185857078,0.858414224
models/GRU/2020-08-28_18-01-20,48,Mean,0.614584489,0.644203773,0.867392349,0.765713843,0.705051318,0.62195832,57,0.0001,0.625157184,4,0.70872687,0.697574494,0.25280786,0.143755523,0.82360939
models/GRU/2020-08-28_18-28-28,48,Mean,0.636224144,0.64522126,0.871565125,0.7418752,0.704054289,0.604212888,55,0.0001,0.604212888,5,0.717670176,0.683380792,0.235340981,0.137662312,0.830442349
models/GRU/2020-08-28_18-55-56,48,Mean,0.641336318,0.650132807,0.885539298,0.73566322,0.697614351,0.589540596,55,0.0001,0.601083753,6,0.725669474,0.674272722,0.24420298,0.146122623,0.844796639
models/GRU/2020-08-28_19-23-06,48,Mean,0.632068444,0.628403998,0.88042948,0.742881142,0.721367231,0.596066325,58,0.0001,0.607760177,7,0.713633974,0.686771566,0.252025483,0.146814817,0.832139973
models/GRU/2020-08-28_19-50-35,48,Mean,0.636034065,0.638090381,0.917004713,0.740549196,0.712569083,0.552459537,46,0.0001,0.566497542,8,0.730376386,0.668525939,0.280970647,0.188089658,0.870429172
models/GRU/2020-08-28_20-17-52,48,Mean,0.61663285,0.641311829,0.88572577,0.760451428,0.708701387,0.553013346,58,0.0001,0.564981957,9,0.714556816,0.674055387,0.26909292,0.207438081,0.85572945
models/GRU/2020-08-28_20-45-24,48,Mean,0.621013664,0.647629052,0.903701379,0.755013371,0.699421971,0.570472828,58,0.0001,0.575726768,10,0.724114698,0.67496939,0.282687716,0.184540542,0.862528
models/GRU/2020-08-28_21-12-44,48,Mean,0.63436755,0.6507238,0.881004502,0.74502175,0.699179987,0.632981507,57,0.0001,0.634948232,11,0.722031951,0.692394415,0.246636952,0.112040243,0.830261486
models/GRU/2020-08-28_21-40-37,48,Mean,0.621060079,0.641821376,0.909490151,0.755280902,0.706186277,0.529056934,56,0.0001,0.532952917,12,0.724123869,0.663508038,0.288430072,0.226223967,0.878607653
models/GRU/2020-08-28_22-08-02,48,Mean,0.630770723,0.656144966,0.905757467,0.747226311,0.694078573,0.568079722,54,0.0001,0.570588629,13,0.730891052,0.669794869,0.274986744,0.17914659,0.866572772
models/GRU/2020-08-28_22-35-38,48,Mean,0.63173581,0.645801624,0.819726932,0.745789269,0.706897055,0.648981044,56,0.0001,0.656212387,14,0.699088122,0.700555789,0.187991122,0.096808225,0.789369072
models/GRU/2020-08-28_23-03-09,48,Mean,0.620848514,0.648474994,0.873458441,0.756465301,0.698086479,0.609786432,59,0.0001,0.615893467,15,0.71426065,0.688112738,0.252609928,0.146678869,0.832327103
models/GRU/2020-08-28_23-30-48,48,Mean,0.615397494,0.64731511,0.873106965,0.760019351,0.698790242,0.610148145,59,0.0001,0.612057365,16,0.711939856,0.68965258,0.257709471,0.149871205,0.831895084
models/GRU/2020-08-28_23-58-27,48,Mean,0.643134536,0.651891177,0.895633775,0.734305145,0.694434143,0.564305096,54,0.0001,0.565180871,17,0.730219829,0.664348128,0.252499239,0.170000049,0.859382953
