Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,MeanLoss,MeanPCC,DiffLoss,DiffPCC,Dist
models/LSTM/2020-08-25_11-21-22,8,Mean,0.383487224,0.530523857,0.891963585,0.912028973,0.828963432,0.551146006,13,0.0001,0.551146006,0,0.601991555,0.764046137,0.508476361,0.360882968,0.898249845
models/LSTM/2020-08-25_12-07-48,8,Mean,0.397252069,0.514303329,0.861095356,0.905274844,0.822818143,0.574570193,12,0.0001,0.592264329,1,0.590883585,0.767554393,0.463843287,0.330704651,0.85304779
models/LSTM/2020-08-25_12-49-52,8,Mean,0.620868749,0.622341662,0.973178777,0.747963357,0.727366472,0.44018612,3,0.0001,0.44018612,2,0.738796396,0.638505317,0.352310027,0.307777237,0.946228146
models/LSTM/2020-08-25_13-31-50,8,Mean,0.655678454,0.629367402,0.892914482,0.713275972,0.719824211,0.514002829,2,0.0001,0.534119172,3,0.725986779,0.649034337,0.26354708,0.205821381,0.872956588
models/LSTM/2020-08-25_14-17-48,8,Mean,0.650287201,0.606636751,0.958950548,0.71869179,0.742538233,0.461213786,2,0.0001,0.470100015,4,0.738624834,0.640814603,0.352313797,0.281324447,0.936936097
models/LSTM/2020-08-25_14-59-42,8,Mean,0.596806288,0.645870655,0.921690312,0.769941658,0.738781042,0.553693334,3,0.0001,0.553693334,5,0.721455752,0.687472012,0.324884024,0.216248324,0.877772813
models/LSTM/2020-08-25_15-41-45,8,Mean,0.750145732,0.692227093,0.955202813,0.598025536,0.647524062,0.494785975,1,0.0001,0.494785975,6,0.799191879,0.580111857,0.26297572,0.152738087,0.952627348
models/LSTM/2020-08-25_17-17-29,8,Mean,0.619019897,0.602682137,0.930932061,0.749696116,0.746214142,0.482097294,3,0.0001,0.532765851,7,0.717544698,0.659335851,0.328249925,0.267598822,0.900155319
models/LSTM/2020-08-25_19-39-02,8,Mean,0.573602685,0.607537651,0.912144491,0.789957917,0.75074177,0.5017327,4,0.0001,0.520890242,8,0.697761609,0.680810796,0.338541806,0.288225216,0.886813024
models/LSTM/2020-08-25_21-56-05,8,Mean,0.542782991,0.589974333,0.911654413,0.814281585,0.767164573,0.504792616,5,0.0001,0.524733036,9,0.681470579,0.695412925,0.368871422,0.30948897,0.888270784
models/LSTM/2020-08-25_23-47-44,8,Mean,0.582737516,0.627423025,0.911492164,0.782217851,0.751059006,0.515939791,4,0.0001,0.515939791,10,0.707217568,0.683072216,0.328754648,0.26627806,0.882940277
models/LSTM/2020-08-26_01-48-30,8,Mean,0.598242478,0.605828486,0.951344297,0.768579121,0.744193811,0.428857019,3,0.0001,0.472782858,11,0.718471754,0.647209984,0.35310182,0.339722102,0.938485193
models/LSTM/2020-08-26_03-38-16,8,Mean,0.568528757,0.586054918,0.926123835,0.794041665,0.762453871,0.500662389,4,0.0001,0.500662389,12,0.69356917,0.685719309,0.357595077,0.293379277,0.890929956
models/LSTM/2020-08-26_05-28-55,8,Mean,0.558223188,0.578652303,0.853577682,0.802320734,0.777613169,0.581262801,4,0.0001,0.612073413,13,0.663484391,0.720398901,0.295354494,0.221057933,0.809005067
models/LSTM/2020-08-26_06-21-36,8,Mean,0.508919236,0.553072468,0.954213874,0.8389834,0.791406168,0.462645382,6,0.0001,0.484651844,14,0.672068526,0.697678316,0.445294638,0.376338018,0.939676605
models/LSTM/2020-08-26_07-00-00,8,Mean,0.624536807,0.64046174,0.886667826,0.744463554,0.738802579,0.558389529,3,0.0001,0.568970534,15,0.717222124,0.680551887,0.262131019,0.186074024,0.848404907
models/LSTM/2020-08-26_07-38-35,8,Mean,0.383769943,0.513930169,0.841991691,0.911909783,0.823612355,0.596198716,14,0.0001,0.596198716,16,0.579897267,0.777240285,0.458221748,0.315711067,0.833992434
models/LSTM/2020-08-26_08-17-08,8,Mean,0.664212759,0.669941224,0.907114914,0.704076528,0.683375539,0.507053737,2,0.0001,0.541203044,17,0.747089632,0.631501935,0.242902155,0.197022791,0.889805136
models/LSTM/2020-08-26_08-55-46,8,Mean,0.505111693,0.569728583,0.873890893,0.841564837,0.792830493,0.546534002,6,0.0001,0.546534002,18,0.649577056,0.726976444,0.3687792,0.295030836,0.848253209
models/LSTM/2020-08-26_09-34-20,8,Mean,0.606130636,0.587989199,0.965937759,0.761562575,0.760107096,0.437849622,3,0.0001,0.470453785,19,0.720019198,0.653173097,0.377948559,0.323712953,0.941462551
models/LSTM/2020-08-26_10-12-50,8,Mean,0.677918886,0.671042722,0.924781063,0.689162317,0.683764107,0.463717165,2,0.0001,0.463717165,20,0.757914224,0.61221453,0.253738341,0.225445151,0.916526161
models/LSTM/2020-08-26_10-51-23,8,Mean,0.620434666,0.63415837,0.953867702,0.748429947,0.738319116,0.473913484,3,0.0001,0.505454524,21,0.736153579,0.653554182,0.333433036,0.274516464,0.921131736
models/LSTM/2020-08-26_11-29-58,8,Mean,0.619901049,0.611995555,0.952796624,0.748838732,0.761363349,0.492739534,3,0.0001,0.548477328,22,0.728231076,0.667647205,0.340801069,0.268623815,0.910539952
