Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,MeanLoss,MeanPCC,DiffLoss,DiffPCC,Dist
models/LSTM/2020-08-26_22-35-45,8,Mean,0.9289791808,0.9709571735,1.0742516555,-0.0229267733,0.2436984142,0.2681417963,23,0.0001,0.2681417963,0,0.9913960033,0.1629711457,0.1452724746,0.2910685695,1.3376503064
models/LSTM/2020-08-26_23-01-39,8,Mean,0.9292914096,0.9698224048,1.0839731855,-0.0269654886,nan,-0.0034044076,28,0.0001,nan,1,0.9943623333,nan,0.1546817758,0.023561081,nan
models/LSTM/2020-08-26_23-28-31,8,Mean,0.9292802169,0.9699160194,1.0823054165,-0.0029816657,0.2047232901,0.2105355154,25,0.0001,0.2105355154,2,0.9938338843,0.1374257133,0.1530251996,0.2135171811,1.3419189573
models/LSTM/2020-08-26_23-54-50,8,Mean,0.9286966667,0.9699119404,1.0823629746,0.0255602819,0.1995775981,0.2065042366,19,0.0001,0.2575763037,3,0.9936571939,0.1438807055,0.1536663078,0.1809439547,1.3329099423
models/LSTM/2020-08-27_00-21-37,8,Mean,0.9288962245,0.973945053,1.0644651392,0.0142187768,0.1778649857,0.1307531135,14,0.0001,0.2167139795,4,0.9891021389,0.107612292,0.1355689147,0.1636462089,1.3490136674
models/LSTM/2020-08-27_00-48-01,8,Mean,0.9287671081,0.9717305641,1.070915881,0.0113614552,0.171347312,0.1107002281,16,0.0001,0.1352544836,5,0.9904711844,0.0978029984,0.1421487729,0.1599858568,1.3567587644
models/LSTM/2020-08-27_01-14-51,8,Mean,0.9286355911,0.9697448472,1.0870146748,0.0160341895,0.2542884732,0.2913135234,23,0.0001,0.2913135234,6,0.9951317043,0.1872120621,0.1583790836,0.2752793339,1.3235459897
models/LSTM/2020-08-27_01-41-21,8,Mean,0.9287564598,0.9721568888,1.0694059622,-0.0052482751,0.2011117162,0.2388089762,28,0.0001,0.2388089762,7,0.9901064369,0.1448908058,0.1406495024,0.2440572513,1.3382334306
models/LSTM/2020-08-27_02-08-12,8,Mean,0.9289343841,0.9721663327,1.0693746415,-0.0094930629,0.1986896024,0.1940950783,28,0.0001,0.1940950783,8,0.9901584527,0.1277638726,0.1404402574,0.2081826653,1.3432323371
models/LSTM/2020-08-27_02-34-52,8,Mean,0.9298140749,0.9707833357,1.07517977,-0.0040384489,0.157920777,0.2084363991,8,0.0001,0.2084363991,9,0.9919257269,0.1207729091,0.1453656951,0.212474848,1.3502717028
models/LSTM/2020-08-27_03-01-48,8,Mean,0.9361381934,0.9802688375,1.0543191951,0.0058630393,0.1586082094,0.1331783022,0,0.0001,0.147878085,10,0.9902420753,0.099216517,0.1181810017,0.1527451701,1.3525117697
models/LSTM/2020-08-27_03-28-29,8,Mean,0.928729686,0.9697540862,1.0862308023,0.0002199328,0.1959583999,0.1982647459,23,0.0001,0.2148399963,11,0.9949048582,0.1314810262,0.1575011163,0.1980448131,1.3446892705
models/LSTM/2020-08-27_03-55-32,8,Mean,0.9284701144,0.9778661245,1.0573945815,0.0180462649,0.1699060114,0.0900059325,17,0.0001,0.2003727401,12,0.9879102735,0.0926527362,0.1289244671,0.1518597465,1.3560710403
models/LSTM/2020-08-27_04-22-15,8,Mean,0.9292872578,0.9810435639,1.0534624993,0.0033899089,0.1981166331,0.2304010791,20,0.0001,0.2740406684,13,0.987931107,0.143969207,0.1241752415,0.2270111702,1.332572757
models/LSTM/2020-08-27_04-49-12,8,Mean,0.9286156847,0.9726478441,1.0678617693,0.0195960483,0.1849153222,0.1287523459,18,0.0001,0.2012534696,14,0.9897084327,0.1110879055,0.1392460846,0.1653192739,1.3477416028
models/LSTM/2020-08-27_05-15-50,8,Mean,0.9281920467,0.9698128565,1.0910054783,0.02087523,0.128124618,0.2172350715,29,0.0001,0.2172350715,15,0.9963367938,0.1220783065,0.1628134316,0.1963598415,1.3522199923
models/LSTM/2020-08-27_05-42-51,8,Mean,0.9307812289,0.9813113195,1.0531730153,0.001895294,0.1646632803,0.0947586316,2,0.0001,0.1312746689,16,0.9884218546,0.0871057353,0.1223917864,0.1627679863,1.3608184552
models/LSTM/2020-08-27_06-09-37,8,Mean,0.9293520513,0.97366825,1.0651252188,-0.0138934114,0.1610365613,0.2168657024,25,0.0001,0.2168657024,17,0.98938184,0.1213362841,0.1357731675,0.2307591137,1.3500409152
models/LSTM/2020-08-27_06-36-42,8,Mean,0.9288948059,0.9718362079,1.0705252332,0.0058639044,0.1830639931,0.1449005617,23,0.0001,0.2276987067,18,0.990418749,0.1112761531,0.1416304274,0.1772000887,1.3498957085
models/LSTM/2020-08-27_07-03-32,8,Mean,0.9291933116,0.9708024307,1.0750810677,0.0072921814,0.1425695989,0.1532131833,22,0.0001,0.1532131833,19,0.99169227,0.1010249878,0.1458877561,0.1459210019,1.354321161
models/LSTM/2020-08-27_07-30-33,8,Mean,0.9298617057,0.9732441752,1.0661956883,0.0201028398,0.1635851714,0.0535648557,9,0.0001,0.1042435075,20,0.9897671897,0.079084289,0.1363339827,0.1434823316,1.3663451142
models/LSTM/2020-08-27_07-57-21,8,Mean,0.9307479711,0.9736325928,1.0652055201,0.0113712659,0.1651676472,0.1154120694,2,0.0001,0.1987144757,21,0.989862028,0.0973169942,0.134457549,0.1537963813,1.3551367469
models/LSTM/2020-08-27_08-24-24,8,Mean,0.9292173681,0.9703480578,1.077965931,-0.0071362669,0.1590094522,0.1260874296,24,0.0001,0.1687435712,22,0.9925104523,0.0926535383,0.1487485628,0.1661457192,1.3631159651
models/LSTM/2020-08-27_08-51-16,8,Mean,0.9290033016,0.9699674918,1.0938534911,-0.0001925378,0.179919683,0.1325871437,24,0.0001,0.1325871437,23,0.9976080948,0.104104763,0.1648501895,0.1801122208,1.362888911
models/LSTM/2020-08-27_09-18-19,8,Mean,0.9288186581,0.9740425311,1.0642321912,0.0109151004,0.2391008165,0.2617929043,20,0.0001,0.331374645,24,0.9890311268,0.1706029404,0.1354135331,0.250877804,1.3218769042
models/LSTM/2020-08-27_09-45-15,8,Mean,0.9292980214,0.9705410446,1.0766257753,-0.0084925602,0.2174997345,0.2299970649,20,0.0001,0.2596986342,25,0.9921549471,0.1463347464,0.1473277539,0.2384896251,1.3385434519
models/LSTM/2020-08-27_10-12-28,8,Mean,0.9283830038,0.9708689401,1.074721663,0.0264940039,0.1589670191,0.1121920685,14,0.0001,0.1642705837,26,0.9913245356,0.0992176972,0.1463386592,0.1324730152,1.3539191981
models/LSTM/2020-08-27_10-39-19,8,Mean,0.9290360033,0.9714588676,1.105894643,0.0015526307,0.1924193491,0.1646573743,19,0.0001,0.1646573743,27,1.0021298379,0.119543118,0.1768586397,0.1908667183,1.3591091258
models/LSTM/2020-08-27_11-06-30,8,Mean,0.9288606617,0.9700131601,1.0810358312,0.0027100444,0.2224069083,0.2091809909,28,0.0001,0.2207851422,28,0.9933032176,0.1447659812,0.1521751695,0.2196968638,1.3377221323
models/LSTM/2020-08-27_11-33-20,8,Mean,0.9287231461,0.9704685656,1.0771064248,0.0025568866,0.1742130925,0.1727892382,26,0.0001,0.1850925058,29,0.9920993788,0.1165197391,0.1483832787,0.1716562059,1.3476950691
