Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,MeanLoss,MeanPCC,DiffLoss,DiffPCC,Dist
models/FCN/2020-06-21_05-13-02TO_TEST_SOURCE,4831,MeanOS,0.449574158,0.470900946,0.550378358,0.881648899,0.858790202,0.852143555,476,0.0001,0.852543166,-1,0.490284487,0.864194219,0.1008042,0.029505344,0.51947487
models/FCN/2020-06-20_22-10-00TO_TEST_SOURCE,4831,MeanOS,0.450105236,0.514148237,0.676232786,0.880067965,0.852362175,0.778708833,438,0.0001,0.82352635,0,0.546828753,0.837046324,0.22612755,0.101359132,0.622079519
models/FCN/2020-06-20_22-17-35TO_TEST_SOURCE,4831,MeanOS,0.546008824,0.546801237,0.641828849,0.817853416,0.811148141,0.816853964,261,0.0001,0.823494731,1,0.57821297,0.815285174,0.095820025,0.006705275,0.614553695
models/FCN/2020-06-20_22-25-51TO_TEST_SOURCE,4831,MeanOS,0.503635814,0.535730756,0.631703393,0.846137683,0.841708042,0.803673483,451,0.0001,0.830085003,2,0.557023321,0.830506403,0.128067579,0.0424642,0.597668447
models/FCN/2020-06-20_22-34-23TO_TEST_SOURCE,4831,MeanOS,0.481438275,0.531771918,0.624153992,0.861171926,0.838555693,0.814932357,421,0.0001,0.839216437,3,0.545788062,0.838219992,0.142715717,0.046239569,0.588696231
models/FCN/2020-06-20_22-42-46TO_TEST_SOURCE,4831,MeanOS,0.478115923,0.530225228,0.632286057,0.866393589,0.845430714,0.813078942,336,0.0001,0.822351037,4,0.546875736,0.841634415,0.154170134,0.053314647,0.592252996
models/FCN/2020-06-20_22-51-27TO_TEST_SOURCE,4831,MeanOS,0.493419929,0.520057916,0.635424566,0.854170729,0.83907371,0.806981893,312,0.0001,0.843264191,5,0.549634137,0.833408777,0.142004637,0.047188836,0.593500146
models/FCN/2020-06-20_23-00-09TO_TEST_SOURCE,4831,MeanOS,0.526363301,0.529088443,0.633347362,0.831618907,0.828673232,0.813580841,291,0.0001,0.83905983,6,0.562933035,0.824624327,0.106984061,0.018038066,0.599517465
models/FCN/2020-06-20_23-08-41TO_TEST_SOURCE,4831,MeanOS,0.515564728,0.556856536,0.610009967,0.839276692,0.8242822,0.815782178,224,0.0001,0.841748183,7,0.56081041,0.826447023,0.094445239,0.023494514,0.595063734
models/FCN/2020-06-20_23-17-17TO_TEST_SOURCE,4831,MeanOS,0.509130945,0.561742855,0.632226737,0.843245981,0.816339177,0.817264682,416,0.0001,0.836876099,8,0.567700179,0.825616613,0.123095792,0.026906804,0.60709934
models/FCN/2020-06-20_23-26-24TO_TEST_SOURCE,4831,MeanOS,0.510579997,0.560898135,0.621528513,0.841767542,0.818562914,0.822700623,299,0.0001,0.843214793,9,0.564335548,0.827677026,0.110948516,0.023204628,0.600847606
models/FCN/2020-06-20_23-35-17TO_TEST_SOURCE,4831,MeanOS,0.522341464,0.534383346,0.586349423,0.834833895,0.827617731,0.840989349,285,0.0001,0.853663323,10,0.547691411,0.834480325,0.064007959,0.013371618,0.575880598
models/FCN/2020-06-20_23-44-17TO_TEST_SOURCE,4831,MeanOS,0.509428081,0.536118897,0.58951487,0.84315348,0.826351395,0.83125077,322,0.0001,0.837423285,11,0.545020616,0.833585215,0.080086789,0.016802085,0.575706137
models/FCN/2020-06-20_23-53-18TO_TEST_SOURCE,4831,MeanOS,0.508536019,0.509762409,0.642637458,0.843593495,0.850520583,0.797949505,260,0.0001,0.819725775,12,0.553645295,0.830687861,0.134101439,0.052571078,0.596604247
models/FCN/2020-06-21_00-02-12TO_TEST_SOURCE,4831,MeanOS,0.5671598,0.576477298,0.63726711,0.800825836,0.796412881,0.816704266,285,0.0001,0.830101744,13,0.593634736,0.804647661,0.07010731,0.020291385,0.629199103
models/FCN/2020-06-21_00-11-12TO_TEST_SOURCE,4831,MeanOS,0.510559582,0.549194837,0.655623069,0.842870119,0.819595296,0.790203061,245,0.0001,0.808428261,14,0.571792496,0.817556159,0.145063487,0.052667058,0.619717394
models/FCN/2020-06-21_00-20-15TO_TEST_SOURCE,4831,MeanOS,0.526595476,0.542740154,0.625415652,0.831603563,0.816510936,0.810482917,322,0.0001,0.828909608,15,0.564917094,0.819532472,0.098820176,0.021120646,0.601590692
models/FCN/2020-06-21_00-29-06TO_TEST_SOURCE,4831,MeanOS,0.454348065,0.502033642,0.616566517,0.878610971,0.842579825,0.81100805,422,0.0001,0.840032975,16,0.524316075,0.844066282,0.162218452,0.067602921,0.574549956
models/FCN/2020-06-21_00-38-06TO_TEST_SOURCE,4831,MeanOS,0.506413696,0.532965885,0.599782569,0.844461708,0.836304888,0.828322215,308,0.0001,0.842026981,17,0.546387383,0.836362937,0.093368873,0.016139493,0.578182057
models/FCN/2020-06-21_00-47-18TO_TEST_SOURCE,4831,MeanOS,0.524002867,0.541474269,0.648986116,0.833149673,0.826319392,0.81256212,322,0.0001,0.834438826,18,0.571487751,0.824010395,0.124983249,0.020587553,0.611240746
models/FCN/2020-06-21_00-56-17TO_TEST_SOURCE,4831,MeanOS,0.536168791,0.562400397,0.656262408,0.824205095,0.809477197,0.79604162,208,0.0001,0.808274375,19,0.584943865,0.809907971,0.120093617,0.028163475,0.627303725
models/FCN/2020-06-21_01-05-15TO_TEST_SOURCE,4831,MeanOS,0.521627556,0.539238294,0.687159121,0.835104268,0.823889712,0.780276913,266,0.0001,0.805489986,20,0.58267499,0.813090298,0.165531565,0.054827355,0.636279906
models/FCN/2020-06-21_01-14-15TO_TEST_SOURCE,4831,MeanOS,0.568182971,0.547636635,0.625718411,0.80128282,0.81615044,0.815101215,167,0.0001,0.829332817,21,0.580512672,0.810844825,0.078081776,0.01486762,0.615704842
models/FCN/2020-06-21_01-23-12TO_TEST_SOURCE,4831,MeanOS,0.443469695,0.497679565,0.643839532,0.885405767,0.844170644,0.794548805,660,0.0001,0.816891501,22,0.528329597,0.841375072,0.200369837,0.090856962,0.593883061
models/FCN/2020-06-21_01-32-19TO_TEST_SOURCE,4831,MeanOS,0.56873662,0.599697681,0.600189077,0.801801177,0.752589957,0.835777566,125,0.0001,0.844665744,23,0.589541126,0.7967229,0.031452457,0.083187609,0.629912497
models/FCN/2020-06-21_01-41-18TO_TEST_SOURCE,4831,MeanOS,0.579939026,0.619866759,0.679750307,0.791811481,0.740975976,0.786270573,186,0.0001,0.79088645,24,0.626518697,0.773019343,0.099811281,0.050835505,0.67571624
models/FCN/2020-06-21_01-50-13TO_TEST_SOURCE,4831,MeanOS,0.467816955,0.496209704,0.589746997,0.871033568,0.847009439,0.830911795,496,0.0001,0.834243231,25,0.517924552,0.849651601,0.121930042,0.040121773,0.554370972
models/FCN/2020-06-21_01-59-26TO_TEST_SOURCE,4831,MeanOS,0.508080561,0.540232593,0.639806231,0.844596021,0.816112517,0.799363232,427,0.0001,0.815182723,26,0.562706462,0.820023923,0.13172567,0.045232789,0.606982378
models/FCN/2020-06-21_02-08-38TO_TEST_SOURCE,4831,MeanOS,0.521564801,0.542879089,0.620205052,0.835250159,0.82893959,0.820924254,224,0.0001,0.84070807,27,0.561549647,0.828371334,0.098640251,0.014325905,0.595591753
models/FCN/2020-06-21_02-17-28TO_TEST_SOURCE,4831,MeanOS,0.542298973,0.557566652,0.658175778,0.822402396,0.806054192,0.791235181,183,0.0001,0.826567878,28,0.586013801,0.806563923,0.115876805,0.031167215,0.628672029
models/FCN/2020-06-21_02-26-19TO_TEST_SOURCE,4831,MeanOS,0.459157004,0.534764442,0.622759788,0.87533481,0.839310896,0.821425563,432,0.0001,0.840087602,29,0.538893745,0.84535709,0.163602784,0.053909247,0.586509144
models/FCN/2020-06-21_02-34-39TO_TEST_SOURCE,4831,MeanOS,0.561267783,0.601398331,0.675078284,0.803670924,0.791776164,0.799908295,254,0.0001,0.828073185,30,0.612581466,0.798451794,0.113810501,0.01189476,0.654959577
models/FCN/2020-06-21_02-42-31TO_TEST_SOURCE,4831,MeanOS,0.529779503,0.513433853,0.611228291,0.829778682,0.831393494,0.826632841,305,0.0001,0.831985589,31,0.551480549,0.829268339,0.097794438,0.004760653,0.585548044
models/FCN/2020-06-21_02-50-09TO_TEST_SOURCE,4831,MeanOS,0.459923148,0.485705287,0.635096718,0.875428214,0.864019115,0.804456365,467,0.0001,0.826664483,32,0.526908384,0.847967898,0.17517357,0.070971849,0.58005947
models/FCN/2020-06-21_02-57-49TO_TEST_SOURCE,4831,MeanOS,0.474415343,0.493817439,0.646640893,0.867381401,0.846645717,0.798823333,335,0.0001,0.816235555,33,0.538291225,0.837616817,0.17222555,0.068558068,0.592019923
models/FCN/2020-06-21_03-05-22TO_TEST_SOURCE,4831,MeanOS,0.540316388,0.547642295,0.631903317,0.821452626,0.817995579,0.807677671,241,0.0001,0.832165555,34,0.573287333,0.815708625,0.091586929,0.013774955,0.609261514
models/FCN/2020-06-21_03-13-09TO_TEST_SOURCE,4831,MeanOS,0.502513586,0.545377138,0.612872433,0.847701209,0.819636233,0.820475929,345,0.0001,0.835778518,35,0.553587719,0.829271124,0.110358847,0.028064976,0.590401923
models/FCN/2020-06-21_03-21-18TO_TEST_SOURCE,4831,MeanOS,0.49284843,0.514427407,0.601010346,0.856016778,0.850861395,0.823364261,401,0.0001,0.832115059,36,0.536095394,0.843414145,0.108161916,0.032652517,0.569809257
models/FCN/2020-06-21_03-29-43TO_TEST_SOURCE,4831,MeanOS,0.425412077,0.482711825,0.627895475,0.894519386,0.865909046,0.809853953,516,0.0001,0.833465725,37,0.512006459,0.856760795,0.202483398,0.084665433,0.575183315
models/FCN/2020-06-21_03-38-04TO_TEST_SOURCE,4831,MeanOS,0.469134281,0.530481218,0.677192166,0.871444127,0.836732352,0.779283657,462,0.0001,0.808952463,38,0.558935888,0.829153379,0.208057885,0.09216047,0.627199754
models/FCN/2020-06-21_03-46-32TO_TEST_SOURCE,4831,MeanOS,0.518833538,0.55462302,0.603816835,0.836036991,0.818076946,0.830021379,315,0.0001,0.846208871,39,0.559091131,0.828045105,0.084983297,0.017960045,0.591351082
models/FCN/2020-06-21_03-55-03TO_TEST_SOURCE,4831,MeanOS,0.534266299,0.555985576,0.653872494,0.824938093,0.822495518,0.800495758,248,0.0001,0.824153855,40,0.58137479,0.815976456,0.119606195,0.024442335,0.621903835
models/FCN/2020-06-21_04-03-25TO_TEST_SOURCE,4831,MeanOS,0.477174439,0.545742313,0.633540983,0.864974915,0.817222626,0.811776757,285,0.0001,0.839642879,41,0.552152578,0.831324766,0.156366544,0.053198158,0.600503409
models/FCN/2020-06-21_04-11-54TO_TEST_SOURCE,4831,MeanOS,0.517663053,0.555743642,0.582786645,0.838279686,0.803090101,0.83717031,191,0.0001,0.842690814,42,0.552064447,0.826180032,0.065123592,0.035189585,0.583496292
models/FCN/2020-06-21_04-20-33TO_TEST_SOURCE,4831,MeanOS,0.478086942,0.504238217,0.627978756,0.864262243,0.854976638,0.809194816,330,0.0001,0.84404267,43,0.536767972,0.842811232,0.149891814,0.055067427,0.581659816
models/FCN/2020-06-21_04-29-12TO_TEST_SOURCE,4831,MeanOS,0.59165025,0.584532621,0.632788244,0.78174752,0.784727194,0.818525786,130,0.0001,0.824657376,44,0.602990372,0.795000167,0.048255623,0.036778266,0.639768369
models/FCN/2020-06-21_04-37-46TO_TEST_SOURCE,4831,MeanOS,0.530079021,0.548338663,0.632063635,0.830172719,0.808572818,0.816242133,225,0.0001,0.835987129,45,0.57016044,0.818329223,0.101984614,0.021599901,0.607416344
models/FCN/2020-06-21_04-46-29TO_TEST_SOURCE,4831,MeanOS,0.514684715,0.518532079,0.621837766,0.840387404,0.838870687,0.82248058,215,0.0001,0.827048957,46,0.551684853,0.83391289,0.107153051,0.017906824,0.586296458
models/FCN/2020-06-21_04-55-09TO_TEST_SOURCE,4831,MeanOS,0.50353218,0.524569702,0.650461124,0.847905611,0.830867617,0.810377317,219,0.0001,0.816655862,47,0.559521002,0.829716848,0.146928944,0.037528294,0.604199132
